	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
213	8.970652	SwipeModes	2.231722	3	1	8.970652	0	0	2	3	1	2	3	1	1	1	1	36	1.754565	0	2.072386	189.0761	150	163.3986	159.8986
214	15.94682	Basic	2.39407	3	1	6.976171	0	0	4	1	1	4	1	1	1	1	1	35	0.5381151	0	2.825749	189.0761	132	174.657	128.0822
215	22.39468	Basic	2.391492	3	1	6.447857	0	0	4	0	0	4	0	0	1	1	1	36	0.5343874	0	2.310817	189.0761	-6.000011	196.3995	-7.848375
216	28.03123	Basic	2.390124	3	1	5.636547	0	0	9	1	1	9	1	1	1	1	1	38	0.5330895	0	1.487565	189.0761	168	163.6881	-177.8209
217	34.54967	Basic	2.390656	3	1	6.51844	0	0	8	3	1	8	3	1	1	1	1	36	0.603373	0	2.316107	189.0761	-6.000011	170.4397	-13.01538
218	40.56835	Basic	2.389293	3	1	6.018681	0	0	9	0	0	9	0	0	1	1	1	37	0.5330231	0	1.677053	189.0761	30	135.9712	20.43155
219	46.57164	Basic	2.389394	3	1	6.003288	0	0	8	1	1	8	1	1	1	1	1	37	0.5326655	0	1.660215	189.0761	12	159.6362	7.547715
220	51.87807	Basic	2.389532	3	1	5.306431	1	0	9	2	0	9	2	0	1	1	1	38	0.5343203	0	1.06214	189.0761	168	171.6558	171.4434
221	57.16614	Basic	2.391016	3	1	5.288071	1	0	5	0	0	5	0	0	1	1	1	38	0.5369751	0	1.148568	189.0761	-6.000011	151.6973	-7.062468
222	62.49841	Basic	2.392293	3	1	5.332268	1	0	4	0	0	4	0	0	1	1	1	38	0.5334482	0	1.097692	189.0761	150	151.7268	160.3988
