Time	Message
0.01658371	Big Time Step Reading0.01660156
0.01658371	Jogo executando - Esperando jogador ler
0.1249628	Big Time Step Reading0
0.1249628	Jogo executando - Esperando jogador ler
0.2243628	Big Time Step Reading0
0.2243628	Jogo executando - Esperando jogador ler
0.9259899	Big Time Step Reading0.0168457
0.9259899	Jogo executando - Esperando jogador ler
1.058524	Big Time Step Reading0.01660156
1.058524	Jogo executando - Esperando jogador ler
1.375209	Big Time Step Reading0.01708984
1.375209	Jogo executando - Esperando jogador ler
1.540876	Big Time Step Reading0
1.540876	Jogo executando - Esperando jogador ler
1.574185	Big Time Step Reading0.01660156
1.574185	Jogo executando - Esperando jogador ler
1.77281	Big Time Step Reading0.01660156
1.77281	Jogo executando - Esperando jogador ler
1.789376	Big Time Step Reading0.01660156
1.789376	Jogo executando - Esperando jogador ler
1.805942	Big Time Step Reading0.01660156
1.805942	Jogo executando - Esperando jogador ler
1.822509	Big Time Step Reading0.01660156
1.822509	Jogo executando - Esperando jogador ler
2.140451	Big Time Step Reading0.01660156
2.140451	Jogo executando - Esperando jogador ler
2.405518	Big Time Step Reading0
2.405518	Jogo executando - Esperando jogador ler
2.690057	Big Time Step Reading0
2.690057	Jogo executando - Esperando jogador ler
2.706623	Big Time Step Reading0
2.706623	Jogo executando - Esperando jogador ler
2.855723	Big Time Step Reading0.01660156
2.855723	Jogo executando - Esperando jogador ler
3.153923	Big Time Step Reading0
3.153923	Jogo executando - Esperando jogador ler
3.2899	Big Time Step Reading0
3.2899	Jogo executando - Esperando jogador ler
3.356068	Big Time Step Reading0.01660156
3.356068	Jogo executando - Esperando jogador ler
3.555117	Jogo executando - Esperando jogador iniciar
3.687401	Big Time Step Reading0.0168457
3.687401	Jogo executando - Esperando jogador iniciar
3.704192	Big Time Step Reading0.0168457
3.704192	Jogo executando - Esperando jogador iniciar
3.720534	Big Time Step Reading0.0168457
3.720534	Jogo executando - Esperando jogador iniciar
3.737215	Big Time Step Reading0.0168457
3.737215	Jogo executando - Esperando jogador iniciar
3.753667	Big Time Step Reading0
3.753667	Jogo executando - Esperando jogador iniciar
4.385966	Big Time Step Reading0.01660156
4.385966	Jogo executando - Esperando jogador iniciar
4.402534	Big Time Step Reading0.01660156
4.402534	Jogo executando - Esperando jogador iniciar
4.4191	Big Time Step Reading0.01660156
4.4191	Jogo executando - Esperando jogador iniciar
4.435709	Big Time Step Reading0
4.435709	Jogo executando - Esperando jogador iniciar
4.535067	Big Time Step Reading0.01660156
4.535067	Jogo executando - Esperando jogador iniciar
4.57831	Big Time Step Reading0.04272461
4.57831	Jogo executando - Esperando jogador iniciar
4.594501	Big Time Step Reading0
4.594501	Jogo executando - Esperando jogador iniciar
4.727036	Big Time Step Reading0.01660156
4.727036	Jogo executando - Esperando jogador iniciar
4.793302	Big Time Step Reading0
4.793302	Jogo executando - Esperando jogador iniciar
5.025235	Big Time Step Reading0.01660156
5.025235	Jogo executando - Esperando jogador iniciar
5.058369	Big Time Step Reading0.01660156
5.058369	Jogo executando - Esperando jogador iniciar
5.074935	Big Time Step Reading0
5.074935	Jogo executando - Esperando jogador iniciar
5.091502	Big Time Step Reading0.01660156
5.091502	Jogo executando - Esperando jogador iniciar
5.475443	Big Time Step Reading0.04956055
5.475443	Jogo executando - Esperando jogador iniciar
5.607883	Big Time Step Reading0.01660156
5.607883	Jogo executando - Esperando jogador iniciar
5.64106	Big Time Step Reading0.01660156
5.64106	Jogo executando - Esperando jogador iniciar
5.657583	Big Time Step Reading0.01660156
5.657583	Jogo executando - Esperando jogador iniciar
5.876729	Big Time Step Reading0.0168457
5.876729	Jogo executando - Esperando jogador iniciar
6.058962	Big Time Step Reading0.01660156
6.058962	Jogo executando - Esperando jogador iniciar
6.222195	Big Time Step Reading0.01660156
6.222195	Jogo executando - Esperando jogador iniciar
6.354727	Jogo executando - Esperando jogador escolher
6.503827	Big Time Step Reading0
6.503827	Jogo executando - Esperando jogador escolher
6.520392	Big Time Step Reading0
6.520392	Jogo executando - Esperando jogador escolher
6.706897	Big Time Step Reading0.01660156
6.706897	Jogo executando - Esperando jogador escolher
6.723464	Big Time Step Reading0.01660156
6.723464	Jogo executando - Esperando jogador escolher
6.806297	Big Time Step Reading0
6.806297	Jogo executando - Esperando jogador escolher
6.822896	Big Time Step Reading0
6.822896	Jogo executando - Esperando jogador escolher
6.872564	Big Time Step Reading0
6.872564	Jogo executando - Esperando jogador escolher
7.071364	Big Time Step Reading0
7.071364	Jogo executando - Esperando jogador escolher
7.207699	Big Time Step Reading0
7.207699	Jogo executando - Esperando jogador escolher
7.240833	Big Time Step Reading0
7.240833	Jogo executando - Esperando jogador escolher
7.2574	Big Time Step Reading0
7.2574	Jogo executando - Esperando jogador escolher
7.406499	Big Time Step Reading0
7.406499	Jogo executando - Esperando jogador escolher
7.638434	Big Time Step Reading0.0168457
7.638434	Jogo executando - Esperando jogador escolher
8.304229	Big Time Step Reading0
8.304229	Jogo executando - Esperando jogador escolher
8.62275	Big Time Step Reading0.01660156
8.62275	Jogo executando - Esperando jogador escolher
8.655884	Big Time Step Reading0.01660156
8.655884	Jogo executando - Esperando jogador escolher
8.67245	Big Time Step Reading0.01660156
8.67245	Jogo executando - Esperando jogador escolher
8.970652	Jogo executando - Escolha certa
9.020348	Big Time Step Reading0.01660156
9.020348	Jogo executando - Escolha certa
9.070048	Big Time Step Reading0
9.070048	Jogo executando - Escolha certa
9.086615	Big Time Step Reading0
9.086615	Jogo executando - Escolha certa
9.103181	Big Time Step Reading0
9.103181	Jogo executando - Escolha certa
9.119747	Big Time Step Reading0.01660156
9.119747	Jogo executando - Escolha certa
9.353713	Big Time Step Reading0.01660156
9.353713	Jogo executando - Escolha certa
9.370279	Big Time Step Reading0
9.370279	Jogo executando - Escolha certa
9.386846	Big Time Step Reading0.01660156
9.386846	Jogo executando - Escolha certa
9.585647	Big Time Step Reading0.01660156
9.585647	Jogo executando - Escolha certa
9.602213	Big Time Step Reading0.01660156
9.602213	Jogo executando - Escolha certa
9.751459	Big Time Step Reading0.03320313
9.751459	Jogo executando - Escolha certa
9.784446	Big Time Step Reading0
9.784446	Jogo executando - Escolha certa
9.919078	Big Time Step Reading0
9.919078	Jogo executando - Escolha certa
9.935636	Big Time Step Reading0
9.935636	Jogo executando - Escolha certa
9.968769	Big Time Step Reading0.01660156
9.968769	Jogo executando - Escolha certa
9.985336	Big Time Step Reading0.01660156
9.985336	Jogo executando - Escolha certa
10.06818	Jogo executando - Turno terminando
10.16757	Big Time Step Reading0.0168457
10.16757	Jogo executando - Turno terminando
10.2504	Big Time Step Reading0
10.2504	Jogo executando - Turno terminando
10.26697	Big Time Step Reading0.01660156
10.26697	Jogo executando - Turno terminando
10.55082	Big Time Step Reading0.01635742
10.55082	Jogo executando - Turno terminando
10.74962	Big Time Step Reading0.01660156
10.74962	Jogo executando - Turno terminando
10.76618	Big Time Step Reading0
10.76618	Jogo executando - Turno terminando
10.81588	Big Time Step Reading0.03369141
10.81588	Jogo executando - Turno terminando
10.93185	Big Time Step Reading0.01660156
10.93185	Jogo executando - Turno terminando
11.04787	Jogo executando - Novo turno
11.06439	Jogo executando - Esperando jogador ler
11.09173	Jogo executando - Esperando jogador iniciar
11.24083	Big Time Step Reading0.01660156
11.24083	Jogo executando - Esperando jogador iniciar
11.2574	Big Time Step Reading0.01660156
11.2574	Jogo executando - Esperando jogador iniciar
11.29054	Big Time Step Reading0
11.29054	Jogo executando - Esperando jogador iniciar
11.48933	Big Time Step Reading0.01660156
11.48933	Jogo executando - Esperando jogador iniciar
11.67954	Big Time Step Reading0.01660156
11.67954	Jogo executando - Esperando jogador iniciar
11.69611	Big Time Step Reading0.01660156
11.69611	Jogo executando - Esperando jogador iniciar
11.83192	Big Time Step Reading0
