Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01656239	-0.2045209	0.381276	0.003269961	-0.006095991	-5.229528E-05	9.749093E-05	0	0
0.04730245	-0.2045209	0.381276	0	0	5.230713E-05	-9.751303E-05	0	0
0.06387037	-0.2044957	0.3812582	0.001522682	-0.00107748	0.03218658	-0.02277585	0	0
0.08043829	-0.2045209	0.3812403	-0.001522682	-0.001079278	-0.09190546	-5.428714E-05	0	0
0.09700462	-0.2044957	0.3812224	0.001522827	-0.001079381	0.09191423	-3.105884E-06	0	0
0.1135856	-0.2044957	0.3812224	0	0	-0.04594123	0.03256319	0	0
0.1306027	-0.2044704	0.3812045	0.001482485	-0.001049035	0.04412407	-0.03122306	0	0
0.1467032	-0.2044704	0.3812045	0	0	-0.04476416	0.031676	0	0
0.1632724	-0.2044452	0.3811867	0.001522572	-0.001079201	0.04660513	-0.03303376	0	0
0.1798371	-0.2044452	0.3811867	0	0	-0.04595215	0.03257093	0	0
0.1964038	-0.2044452	0.3811867	0	0	0	0	0	0
0.212973	-0.2044452	0.3811867	0	0	0	0	0	0
0.2296609	-0.2044452	0.3811867	0	0	0	0	0	0
0.2461727	-0.20442	0.3811688	0.001528754	-0.001082943	0.0460471	-0.03261896	0	0
0.26267	-0.20442	0.3811688	0	0	-0.04631307	0.03280737	0	0
0.2792367	-0.20442	0.3811688	0	0	0	0	0	0
0.2958039	-0.20442	0.3811688	0	0	0	0	0	0
0.3123706	-0.20442	0.3811688	0	0	0	0	0	0
0.3289381	-0.20442	0.3811688	0	0	0	0	0	0
0.3455049	-0.20442	0.3811688	0	0	0	0	0	0
0.3620704	-0.20442	0.3811688	0	0	0	0	0	0
0.3786387	-0.20442	0.3811688	0	0	0	0	0	0
0.3952039	-0.20442	0.3811688	0	0	0	0	0	0
0.4117883	-0.20442	0.3811688	0	0	0	0	0	0
0.4283365	-0.20442	0.3811688	0	0	0	0	0	0
0.4449029	-0.20442	0.3811688	0	0	0	0	0	0
