Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01676451	-0.2397459	0.3944523	0.003533379	-0.005813445	-5.208748E-05	8.569919E-05	0	0
0.1324948	-0.239572	0.3942913	0.001502087	-0.00139084	2.998837E-05	-6.52918E-05	0	0
0.1493592	-0.2395472	0.3942735	0.001472058	-0.001060306	-0.0002264711	0.002492818	0	0
0.1656283	-0.2395224	0.3942556	0.001526836	-0.001099102	0.001653269	-0.001170922	0	0
0.1821946	-0.2395224	0.3942556	0	0	-0.04649967	0.03347307	0	0
0.2031834	-0.2395224	0.3942556	0	0	0	0	0	0
0.2197517	-0.2395224	0.3942556	0	0	0	0	0	0
0.2364203	-0.2395224	0.3942556	0	0	0	0	0	0
0.2528848	-0.2394975	0.3942377	0.001508715	-0.001086057	0.04553499	-0.03277863	0	0
0.2694511	-0.2394727	0.3942198	0.001498541	-0.001079381	-0.0003080082	0.0002021163	0	0
0.2860183	-0.2394479	0.3942019	0.001499368	-0.001081128	2.494955E-05	-5.270991E-05	0	0
0.302585	-0.2392989	0.3940946	0.008994634	-0.006476136	0.2262117	-0.1628246	0	0
0.3191513	-0.2390504	0.3939158	0.01499441	-0.01079561	0.1810811	-0.1303675	0	0
0.3359905	-0.2385784	0.393576	0.02803052	-0.0201778	0.3902391	-0.2808579	0	0
0.3522848	-0.2378329	0.3930395	0.04575326	-0.03292559	0.5348892	-0.3847406	0	0
0.3688512	-0.2328559	0.3894632	0.3004278	-0.2158745	7.750126	-5.567407	0	0
0.3855264	-0.2215649	0.3813475	0.6771111	-0.4866924	11.33168	-8.146952	0	0
0.4020399	-0.2118768	0.3744853	0.5866821	-0.4155521	-2.72469	2.143508	0	0
0.418551	-0.1994443	0.3656777	0.7529764	-0.5334392	5.035479	-3.569685	0	0
0.4351177	-0.1917719	0.3602655	0.463122	-0.3266905	-8.762806	6.250376	0	0
0.4516844	-0.1850683	0.3555861	0.4046425	-0.2824549	-1.764969	1.335074	0	0
0.4682511	-0.1834661	0.354461	0.0967139	-0.06791488	-9.293588	6.475028	0	0
0.4848183	-0.183695	0.3546217	-0.01381901	0.009701367	-3.33595	2.342505	0	0
0.5016092	-0.183695	0.3546217	0	0	0.4142628	-0.2908252	0	0
0.5181195	-0.183695	0.3546217	0	0	0	0	0	0
0.5345177	-0.183695	0.3546217	0	0	0	0	0	0
0.5511425	-0.183695	0.3546217	0	0	0	0	0	0
0.5676519	-0.183695	0.3546217	0	0	0	0	0	0
0.5842178	-0.183695	0.3546217	0	0	0	0	0	0
0.6007842	-0.1836187	0.3545682	0.00460626	-0.003232747	0.1390264	-0.09757099	0	0
0.6173509	-0.1836441	0.3545503	-0.001535381	-0.001079354	-0.1853628	0.06499221	0	0
0.650713	-0.1835933	0.3545146	0.001524864	-0.001070174	0.06129221	0.0001838605	0	0
0.6670511	-0.1835678	0.3544967	0.001556862	-0.001092631	0.0006438257	-0.0004518466	0	0
0.6837403	-0.1835678	0.3544967	0	0	-0.04713866	0.03308267	0	0
0.7002533	-0.1835678	0.3544967	0	0	0	0	0	0
0.7167529	-0.1835678	0.3544967	0	0	0	0	0	0
0.7333201	-0.1835424	0.3544788	0.001536248	-0.001079331	0.04645898	-0.03264097	0	0
0.7498872	-0.1835424	0.3544788	0	0	-0.04636438	0.0325745	0	0
0.766452	-0.1835424	0.3544788	0	0	0	0	0	0
0.78331	-0.1835678	0.354461	-0.001509735	-0.001058936	-0.04517079	-0.03168302	0	0
0.7998195	-0.1835678	0.354461	0	0	0.04524567	0.03173554	0	0
0.8161513	-0.1835933	0.3544788	-0.001557465	0.001093054	-0.04742393	0.03328288	0	0
0.8328436	-0.1835678	0.3544967	0.001523835	0.001071237	0.09330449	-0.0006606219	0	0
0.8560983	-0.1835678	0.3544967	0	0	-0.03814644	-0.02681648	0	0
0.8728711	-0.1835678	0.3544967	0	0	0	0	0	0
0.8892341	-0.1835933	0.3544788	-0.001554498	-0.001092793	-0.04691289	-0.03297919	0	0
0.9181619	-0.1835933	0.3544788	0	0	0.03432261	0.02412838	0	0
0.9349145	-0.1835933	0.3544788	0	0	0	0	0	0
0.9512962	-0.1835933	0.3544788	0	0	0	0	0	0
0.9678629	-0.1835933	0.3544788	0	0	0	0	0	0
0.984449	-0.1835678	0.354461	0.001533594	-0.001076301	0.04625832	-0.03246483	0	0
1.03413	-0.1835678	0.354461	0	0	-0.02314249	0.01624177	0	0
1.050696	-0.1835678	0.354461	0	0	0	0	0	0
1.067263	-0.1835678	0.354461	0	0	0	0	0	0
1.083832	-0.1835424	0.3544431	0.00153606	-0.0010774	0.04635637	-0.0325146	0	0
1.100532	-0.1835424	0.3544431	0	0	-0.046171	0.03238458	0	0
1.116963	-0.1835678	0.3544253	-0.001548942	-0.001086436	-0.04675188	-0.03279201	0	0
1.133554	-0.1835678	0.3544253	0	0	0.04690512	0.0328995	0	0
1.150096	-0.1835678	0.3544253	0	0	0	0	0	0
1.166663	-0.1835678	0.3544253	0	0	0	0	0	0
1.183589	-0.1835678	0.3544253	0	0	0	0	0	0
1.199797	-0.1835678	0.3544253	0	0	0	0	0	0
1.216362	-0.1835678	0.3544253	0	0	0	0	0	0
1.232929	-0.1835678	0.3544253	0	0	0	0	0	0
1.249496	-0.1835678	0.3544253	0	0	0	0	0	0
1.266063	-0.1835678	0.3544253	0	0	0	0	0	0
1.28263	-0.1835678	0.3544253	0	0	0	0	0	0
1.299197	-0.1835678	0.3544253	0	0	0	0	0	0
1.315763	-0.1835678	0.3544253	0	0	0	0	0	0
1.33233	-0.1835678	0.3544253	0	0	0	0	0	0
1.348897	-0.1835678	0.3544253	0	0	0	0	0	0
1.365463	-0.1835678	0.3544253	0	0	0	0	0	0
1.38203	-0.1835678	0.3544253	0	0	0	0	0	0
1.398742	-0.1835678	0.3544253	0	0	0	0	0	0
1.415163	-0.1835678	0.3544253	0	0	0	0	0	0
1.431729	-0.1835678	0.3544253	0	0	0	0	0	0
1.448296	-0.1835678	0.3544253	0	0	0	0	0	0
1.464863	-0.1835678	0.3544253	0	0	0	0	0	0
1.48143	-0.1835678	0.3544253	0	0	0	0	0	0
1.497996	-0.1835424	0.3544074	0.001536281	-0.001079354	0.04636638	-0.03257591	0	0
1.514563	-0.1835424	0.3544074	0	0	-0.04636638	0.03257591	0	0
1.53113	-0.1835424	0.3543717	0	-0.002155157	0	-0.06504533	0	0
1.547696	-0.1835424	0.3543717	0	0	0	0.06504533	0	0
1.568081	-0.1835424	0.3543717	0	0	0	0	0	0
1.584648	-0.1835169	0.3543538	0.001535348	-0.001077532	0.04155031	-0.02916068	0	0
1.601215	-0.1835169	0.3543538	0	0	-0.04633773	0.03252056	0	0
1.617898	-0.1835169	0.3543538	0	0	0	0	0	0
1.634408	-0.1835169	0.3543538	0	0	0	0	0	0
1.650916	-0.1835169	0.3543538	0	0	0	0	0	0
1.667482	-0.1835169	0.3543538	0	0	0	0	0	0
1.684048	-0.1835169	0.3543538	0	0	0	0	0	0
1.700615	-0.1834915	0.354336	0.001535381	-0.001079354	0.0463404	-0.03257673	0	0
1.717182	-0.1834915	0.354336	0	0	-0.04633873	0.03257556	0	0
1.733748	-0.1834915	0.354336	0	0	0	0	0	0
1.750315	-0.1834915	0.354336	0	0	0	0	0	0
1.766881	-0.1834915	0.354336	0	0	0	0	0	0
1.783448	-0.1834915	0.354336	0	0	0	0	0	0
1.800032	-0.1834915	0.354336	0	0	0	0	0	0
1.817046	-0.1834915	0.354336	0	0	0	0	0	0
1.833151	-0.1834915	0.354336	0	0	0	0	0	0
1.849717	-0.1834915	0.354336	0	0	0	0	0	0
1.866282	-0.1834915	0.354336	0	0	0	0	0	0
1.882849	-0.1834915	0.354336	0	0	0	0	0	0
1.965681	-0.1834915	0.354336	0	0	0	0	0	0
1.982248	-0.1834915	0.354336	0	0	0	0	0	0
1.999167	-0.1834915	0.354336	0	0	0	0	0	0
2.015382	-0.1834915	0.354336	0	0	0	0	0	0
2.031949	-0.1834915	0.354336	0	0	0	0	0	0
2.048515	-0.1835169	0.3543538	-0.001535425	0.001079385	-0.04634057	0.03257685	0	0
2.065081	-0.1835169	0.3543538	0	0	0.0463419	-0.03257778	0	0
2.081649	-0.1835169	0.3543538	0	0	0	0	0	0
2.098238	-0.1835169	0.3543538	0	0	0	0	0	0
2.114782	-0.1835169	0.3543538	0	0	0	0	0	0
2.131349	-0.1835169	0.3543538	0	0	0	0	0	0
2.147915	-0.1835169	0.3543538	0	0	0	0	0	0
2.164481	-0.1835169	0.3543538	0	0	0	0	0	0
2.181049	-0.1835169	0.3543538	0	0	0	0	0	0
2.197807	-0.1834915	0.354336	0.001517797	-0.001066993	0.04554407	-0.03201691	0	0
2.230749	-0.1835169	0.3543181	-0.0007721634	-0.0005419166	-0.04607543	0.01056486	0	0
2.247315	-0.1835169	0.3543181	0	0	0.01559686	0.01094613	0	0
2.263882	-0.1835169	0.3543181	0	0	0	0	0	0
2.280449	-0.1835169	0.3543181	0	0	0	0	0	0
2.301704	-0.1835169	0.3543181	0	0	0	0	0	0
2.318392	-0.1835169	0.3543181	0	0	0	0	0	0
2.334838	-0.1835169	0.3543181	0	0	0	0	0	0
2.351404	-0.1834915	0.3543003	0.001535381	-0.001077555	0.04650924	-0.03264093	0	0
2.367971	-0.1834915	0.3543003	0	0	-0.04633923	0.03252162	0	0
2.384538	-0.1834915	0.3542645	0	-0.002156909	0	-0.06509753	0	0
2.40145	-0.1834915	0.3542645	0	0	0	0.06442579	0	0
2.417962	-0.1834915	0.3542288	0	-0.002162267	0	-0.06469179	0	0
2.434238	-0.1834661	0.354211	0.001562798	-0.001096796	0.04766365	0.03249573	0	0
2.450987	-0.1834661	0.3541752	0	-0.002133482	-0.04732196	-0.03139115	0	0
2.467499	-0.1834152	0.3541395	0.003081729	-0.002162174	0.0926521	-0.0008626087	0	0
2.483938	-0.1834152	0.3541395	0	0	-0.0935236	0.06561714	0	0
2.500504	-0.1834152	0.3541038	0	-0.002156971	0	-0.06535287	0	0
2.533639	-0.1833897	0.354086	0.0007676741	-0.000538766	0.015446	0.03255914	0	0
2.550205	-0.1833643	0.3540681	0.001535448	-0.001077602	0.01544808	-0.01084171	0	0
2.566772	-0.1833643	0.3540681	0	0	-0.04634223	0.03252372	0	0
2.583338	-0.1833389	0.3540502	0.001536281	-0.001079354	0.04636638	-0.03257591	0	0
2.600092	-0.1833134	0.3540324	0.001518273	-0.001065548	-0.0005404547	0.0004143412	0	0
2.616604	-0.183288	0.3540145	0.001540458	-0.001081118	0.0006669134	-0.0004680502	0	0
2.633038	-0.1833134	0.3539967	-0.001547766	-0.001086247	-0.09373493	-0.0001556711	0	0
2.649626	-0.1833134	0.3539967	0	0	0.04686984	0.032894	0	0
2.666171	-0.183288	0.3539788	0.001537439	-0.001080801	0.046402	-0.03262004	0	0
2.682738	-0.183288	0.3539788	0	0	-0.04643174	0.03264094	0	0
2.699304	-0.183288	0.3539788	0	0	0	0	0	0
2.715871	-0.1833134	0.3539609	-0.001535381	-0.001077555	-0.04634023	-0.03252232	0	0
2.732438	-0.183288	0.3539431	0.001535337	-0.001077524	0.09267579	9.38097E-07	0	0
2.749005	-0.1832625	0.3539252	0.001536325	-0.001077586	2.981224E-05	-1.872707E-06	0	0
2.765571	-0.1832625	0.3539252	0	0	-0.04636838	0.03252302	0	0
2.782138	-0.1832625	0.3538895	0	-0.002156909	0	-0.06509753	0	0
2.798704	-0.1832116	0.3538538	0.00307175	-0.002155172	0.09270961	5.242251E-05	0	0
2.815271	-0.1831862	0.3538359	0.001535381	-0.001079354	-0.04636971	0.03246966	0	0
2.864974	-0.1830335	0.3537288	0.003071515	-0.002155607	0.02318013	-0.01624057	0	0
2.88154	-0.1829318	0.3536573	0.006143501	-0.004312144	0.04635636	-0.03254221	0	0
2.898104	-0.1827791	0.3535502	0.009217212	-0.00646986	0.09277548	-0.06512751	0	0
2.914671	-0.1814046	0.3525858	0.08296455	-0.05820957	2.225924	-1.561665	0	0
2.931325	-0.1787046	0.3506928	0.1621208	-0.1136655	2.382717	-1.669303	0	0
2.947804	-0.1738584	0.3472998	0.294084	-0.2058979	3.982802	-2.783679	0	0
2.964371	-0.1677507	0.3430319	0.368675	-0.2576202	2.257201	-1.565174	0	0
2.985209	-0.1628348	0.3396033	0.2359123	-0.1645371	-3.549397	2.488569	0	0
3.001776	-0.1623479	0.339264	0.02938864	-0.02047986	-5.521283	3.851281	0	0
3.018386	-0.1623479	0.339264	0	0	-0.8858165	0.6172928	0	0
3.034909	-0.1623223	0.3392462	0.001551115	-0.001080369	0.04681475	-0.03260702	0	0
3.051476	-0.1623223	0.3392462	0	0	-0.04687513	0.03264907	0	0
3.068046	-0.1623223	0.3392462	0	0	0	0	0	0
3.084937	-0.1623223	0.3392105	0	-0.002115474	0	-0.06322236	0	0
3.101176	-0.1623223	0.3392105	0	0	0	0.06385249	0	0
3.117743	-0.1623223	0.3392105	0	0	0	0	0	0
3.134469	-0.1623223	0.3392105	0	0	0	0	0	0
3.150877	-0.1623223	0.3392105	0	0	0	0	0	0
3.167443	-0.1622967	0.3392283	0.001547119	0.001079385	0.04691935	0.03273443	0	0
3.184009	-0.1622967	0.3392283	0	0	-0.04669483	-0.03257778	0	0
3.200576	-0.1622967	0.3392283	0	0	0	0	0	0
3.217143	-0.1622967	0.3392283	0	0	0	0	0	0
3.233709	-0.1623223	0.3392462	-0.001547074	0.001077555	-0.04669281	0.03252209	0	0
3.25055	-0.1623223	0.3392462	0	0	0.04630926	-0.03225494	0	0
3.266843	-0.1623223	0.3392462	0	0	0	0	0	0
3.283409	-0.1623223	0.3392462	0	0	0	0	0	0
3.300085	-0.1623223	0.3392462	0	0	0	0	0	0
3.316543	-0.1623223	0.3392462	0	0	0	0	0	0
3.333109	-0.1623223	0.3392462	0	0	0	0	0	0
3.349677	-0.1623223	0.3392105	0	-0.002156847	0	-0.06509471	0	0
3.366243	-0.1623223	0.3392105	0	0	0	0.06509565	0	0
3.432509	-0.1623223	0.3392105	0	0	0	0	0	0
3.449076	-0.1623223	0.3392105	0	0	0	0	0	0
3.465703	-0.1622967	0.3391926	0.001541484	-0.001073661	0.0464392	-0.03234544	0	0
3.482215	-0.1622967	0.3391926	0	0	-0.04651571	0.03239873	0	0
3.498776	-0.1622967	0.3391926	0	0	0	0	0	0
3.515343	-0.1622967	0.3391926	0	0	0	0	0	0
3.531909	-0.1622967	0.3391926	0	0	0	0	0	0
3.548476	-0.1622967	0.3391926	0	0	0	0	0	0
3.565043	-0.1622967	0.3391926	0	0	0	0	0	0
3.581609	-0.1622967	0.3391926	0	0	0	0	0	0
3.598176	-0.1622967	0.3391926	0	0	0	0	0	0
3.614743	-0.1622967	0.3391926	0	0	0	0	0	0
3.63132	-0.1622967	0.3391926	0	0	0	0	0	0
3.647877	-0.1622967	0.3391926	0	0	0	0	0	0
3.681355	-0.1622967	0.3391926	0	0	0	0	0	0
3.714145	-0.1622967	0.3391926	0	0	0	0	0	0
3.735311	-0.1622967	0.3391926	0	0	0	0	0	0
3.751879	-0.1622967	0.3391926	0	0	0	0	0	0
3.768446	-0.1622967	0.3391926	0	0	0	0	0	0
3.785012	-0.1622967	0.3391926	0	0	0	0	0	0
3.801579	-0.1622967	0.3391926	0	0	0	0	0	0
3.818452	-0.1622967	0.3391926	0	0	0	0	0	0
3.834712	-0.1622967	0.3391926	0	0	0	0	0	0
3.851484	-0.1622967	0.3391926	0	0	0	0	0	0
3.867845	-0.1622967	0.3391926	0	0	0	0	0	0
3.884498	-0.1622967	0.3391926	0	0	0	0	0	0
3.900979	-0.1622967	0.3391926	0	0	0	0	0	0
3.917546	-0.1622967	0.3391926	0	0	0	0	0	0
3.934112	-0.1622967	0.3391926	0	0	0	0	0	0
3.951046	-0.1622967	0.3391926	0	0	0	0	0	0
3.967245	-0.1622967	0.3391926	0	0	0	0	0	0
3.983813	-0.1622967	0.3391926	0	0	0	0	0	0
4.000379	-0.1622967	0.3391926	0	0	0	0	0	0
4.017091	-0.1622967	0.3391926	0	0	0	0	0	0
4.033512	-0.1622967	0.3391926	0	0	0	0	0	0
4.050115	-0.1622967	0.3391926	0	0	0	0	0	0
4.066646	-0.1622967	0.3391926	0	0	0	0	0	0
4.083212	-0.1622967	0.3391926	0	0	0	0	0	0
4.100151	-0.1622967	0.3391926	0	0	0	0	0	0
4.116346	-0.1622967	0.3391926	0	0	0	0	0	0
4.133174	-0.1622967	0.3391926	0	0	0	0	0	0
4.149478	-0.1622967	0.3391926	0	0	0	0	0	0
4.166197	-0.1622967	0.3391926	0	0	0	0	0	0
4.182612	-0.1622967	0.3391926	0	0	0	0	0	0
4.199221	-0.1622967	0.3391926	0	0	0	0	0	0
4.215746	-0.1622967	0.3391926	0	0	0	0	0	0
4.232312	-0.1622967	0.3391926	0	0	0	0	0	0
4.248878	-0.1622967	0.3391926	0	0	0	0	0	0
4.282012	-0.1622967	0.3391926	0	0	0	0	0	0
4.298579	-0.1622967	0.3391926	0	0	0	0	0	0
4.315145	-0.1622967	0.3391926	0	0	0	0	0	0
4.331712	-0.1622967	0.3391926	0	0	0	0	0	0
4.348326	-0.1622967	0.3391926	0	0	0	0	0	0
4.364846	-0.1622967	0.3391926	0	0	0	0	0	0
4.381413	-0.1622967	0.3391926	0	0	0	0	0	0
4.397979	-0.1622967	0.3391926	0	0	0	0	0	0
4.452569	-0.1622967	0.3391926	0	0	0	0	0	0
4.469136	-0.1622967	0.3391926	0	0	0	0	0	0
4.485926	-0.1623223	0.3391747	-0.001526555	-0.001063263	-0.04576396	-0.03187513	0	0
4.502269	-0.1623223	0.3391747	0	0	0.04607351	0.03209073	0	0
4.518948	-0.1623223	0.3391747	0	0	0	0	0	0
