	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.080835	CountSuits	2.042725	7	1	5.080835	0	0	1	3	1	1	3	1	1	1	1	36	0.6163451	0	2.389004	189.0761	56.57144	133.2454	56.33973
1	11.92	CountSuits	2.055498	7	1	6.839162	36	0	3	1	1	3	1	1	1	1	1	37	0.6163175	0	1.57333	189.0761	-56.57145	202.6321	-62.91017
2	18.91809	CountSuits	2.259417	7	1	6.998092	36	0	0	0	0	0	0	0	1	1	1	38	0.5666449	0	1.495937	189.0761	-12.85714	151.888	-16.93973
3	25.2618	CountSuits	2.340288	7	1	6.343716	37	0	1	1	1	1	1	1	1	1	1	38	0.535949	0	1.466494	189.0761	5.142869	183.6332	-9.239758
4	33.02175	CountSuits	2.384404	7	1	7.759947	37	0	6	3	1	6	3	1	1	1	1	35	0.5333026	0	2.560535	189.0761	72	132.4623	78.81561
5	40.59748	CountSuits	2.30147	7	1	7.575726	36	0.5055975	9	0	0	9	0	0	1	1	1	35	0.5506999	0	2.625523	189.0761	133.7143	140.3432	126.649
6	48.22496	CountSuits	2.240765	7	1	7.627487	36	0	9	1	1	9	1	1	1	1	1	35	0.5674638	0	2.761893	189.0761	-77.14285	198.7995	-75.82497
7	55.8786	CountSuits	2.187663	7	1	7.653637	36	0	6	0	0	6	0	0	1	1	1	36	0.5823669	0	2.084137	189.0761	-10.28571	168.4758	-13.81485
8	64.58517	CountSuits	2.190197	7	1	8.706566	36	0	8	0	0	8	0	0	1	1	1	34	0.5829728	0	3.053866	189.0761	7.714298	183.4505	-5.344817
