Time	Message
0.0210188	Jogo executando - Esperando jogador ler
0.1703314	Jogo executando - Esperando jogador iniciar
0.5182351	Big Time Step Reading0.01660156
0.5182351	Jogo executando - Esperando jogador iniciar
0.5679365	Big Time Step Reading0.01660156
0.5679365	Jogo executando - Esperando jogador iniciar
1.071943	Big Time Step Reading0.01660156
1.071943	Jogo executando - Esperando jogador iniciar
1.088509	Big Time Step Reading0.01660156
1.088509	Jogo executando - Esperando jogador iniciar
1.121642	Big Time Step Reading0.01660156
1.121642	Jogo executando - Esperando jogador iniciar
1.154854	Big Time Step Reading0.01660156
1.154854	Jogo executando - Esperando jogador iniciar
1.28731	Big Time Step Reading0.0168457
1.28731	Jogo executando - Esperando jogador iniciar
1.539796	Big Time Step Reading0
1.539796	Jogo executando - Esperando jogador iniciar
1.556372	Big Time Step Reading0
1.556372	Jogo executando - Esperando jogador iniciar
1.589495	Big Time Step Reading0
1.589495	Jogo executando - Esperando jogador iniciar
1.738595	Big Time Step Reading0.01660156
1.738595	Jogo executando - Esperando jogador iniciar
1.755162	Big Time Step Reading0.01660156
1.755162	Jogo executando - Esperando jogador iniciar
1.970529	Jogo executando - Esperando jogador escolher
2.855736	Big Time Step Reading0.01708984
2.855736	Jogo executando - Esperando jogador escolher
3.120803	Big Time Step Reading0
3.120803	Jogo executando - Esperando jogador escolher
3.153937	Big Time Step Reading0
3.153937	Jogo executando - Esperando jogador escolher
3.303037	Big Time Step Reading0
3.303037	Jogo executando - Esperando jogador escolher
3.319603	Big Time Step Reading0
3.319603	Jogo executando - Esperando jogador escolher
3.33617	Big Time Step Reading0.01660156
3.33617	Jogo executando - Esperando jogador escolher
3.555044	Big Time Step Reading0.01660156
3.555044	Jogo executando - Esperando jogador escolher
3.621311	Big Time Step Reading0
3.621311	Jogo executando - Esperando jogador escolher
3.803544	Big Time Step Reading0
3.803544	Jogo executando - Esperando jogador escolher
3.836678	Big Time Step Reading0
3.836678	Jogo executando - Esperando jogador escolher
3.886378	Big Time Step Reading0.01660156
3.886378	Jogo executando - Esperando jogador escolher
3.936078	Big Time Step Reading0.0168457
3.936078	Jogo executando - Esperando jogador escolher
4.002367	Big Time Step Reading0.01660156
4.002367	Jogo executando - Esperando jogador escolher
4.068915	Big Time Step Reading0
4.068915	Jogo executando - Esperando jogador escolher
4.231864	Big Time Step Reading0.05981445
4.231864	Jogo executando - Esperando jogador escolher
4.24843	Big Time Step Reading0.01660156
4.24843	Jogo executando - Esperando jogador escolher
4.513516	Big Time Step Reading0.01660156
4.513516	Jogo executando - Esperando jogador escolher
4.579764	Big Time Step Reading0.01660156
4.579764	Jogo executando - Esperando jogador escolher
4.596331	Big Time Step Reading0
4.596331	Jogo executando - Esperando jogador escolher
4.629464	Big Time Step Reading0
4.629464	Jogo executando - Esperando jogador escolher
4.662629	Big Time Step Reading0
4.662629	Jogo executando - Esperando jogador escolher
4.679165	Big Time Step Reading0
4.679165	Jogo executando - Esperando jogador escolher
4.695732	Big Time Step Reading0
4.695732	Jogo executando - Esperando jogador escolher
4.833006	Big Time Step Reading0.01660156
4.833006	Jogo executando - Esperando jogador escolher
4.849572	Big Time Step Reading0.01660156
4.849572	Jogo executando - Esperando jogador escolher
4.982105	Big Time Step Reading0.03320313
4.982105	Jogo executando - Esperando jogador escolher
5.230606	Big Time Step Reading0.01660156
5.230606	Jogo executando - Esperando jogador escolher
5.247172	Big Time Step Reading0.03295898
5.247172	Jogo executando - Esperando jogador escolher
5.263739	Big Time Step Reading0.01660156
5.263739	Jogo executando - Esperando jogador escolher
5.280306	Big Time Step Reading0.01660156
5.280306	Jogo executando - Esperando jogador escolher
5.582802	Big Time Step Reading0
5.582802	Jogo executando - Esperando jogador escolher
5.615936	Big Time Step Reading0
5.615936	Jogo executando - Esperando jogador escolher
5.814736	Jogo executando - Escolha certa
5.980403	Big Time Step Reading0.0168457
5.980403	Jogo executando - Escolha certa
6.552168	Big Time Step Reading0.0168457
6.552168	Jogo executando - Escolha certa
6.568632	Big Time Step Reading0.0168457
6.568632	Jogo executando - Escolha certa
6.585198	Big Time Step Reading0.0168457
6.585198	Jogo executando - Escolha certa
6.601766	Big Time Step Reading0.0168457
6.601766	Jogo executando - Escolha certa
6.634899	Big Time Step Reading0.0168457
6.634899	Jogo executando - Escolha certa
6.651466	Big Time Step Reading0
6.651466	Jogo executando - Escolha certa
6.755089	Big Time Step Reading0
6.755089	Jogo executando - Escolha certa
7.301788	Big Time Step Reading0.01660156
7.301788	Jogo executando - Escolha certa
7.318355	Big Time Step Reading0.01660156
7.318355	Jogo executando - Escolha certa
7.334922	Big Time Step Reading0.01660156
7.334922	Jogo executando - Escolha certa
7.351489	Big Time Step Reading0.01660156
