Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01636304	-0.1693363	0.4006772	0.002611266	-0.006178677	-4.027766E-05	9.530345E-05	0	0
0.04307422	-0.1693363	0.4006772	0	0	4.028383E-05	-9.531807E-05	0	0
0.05964214	-0.1692596	0.4006235	0.004629205	-0.003239634	0.1069617	-0.07485447	0	0
0.07620926	-0.1691829	0.4005698	0.004630325	-0.003239788	3.379852E-05	-4.658715E-06	0	0
0.0927756	-0.1691318	0.4005341	0.00308703	-0.002158763	-0.04657812	0.0326264	0	0
0.1093427	-0.1691062	0.4005162	0.001543442	-0.001081129	-0.04658701	0.03252404	0	0
0.1259091	-0.1690551	0.4004804	0.00308703	-0.002158763	0.04658701	-0.03252404	0	0
0.1591546	-0.1687482	0.4002657	0.009230088	-0.006457879	0.123325	-0.08630699	0	0
0.175721	-0.1680321	0.3997648	0.04322922	-0.03023707	0.6825503	-0.4773795	0	0
0.1922877	-0.1660362	0.3983336	0.1204758	-0.08638618	2.331404	-1.694654	0	0
0.2088545	-0.1659338	0.3982621	0.006180207	-0.004319219	-3.449551	2.476859	0	0
0.2254212	-0.1659338	0.3982621	0	0	-0.1865246	0.1303582	0	0
0.2751387	-0.1659338	0.3982621	0	0	0	0	0	0
0.2917027	-0.1659082	0.39828	0.001545534	0.001079535	0.02331772	0.01628711	0	0
0.3087143	-0.1659082	0.39828	0	0	-0.04603147	-0.03215237	0	0
0.3248212	-0.1659082	0.39828	0	0	0	0	0	0
0.3413875	-0.1659082	0.39828	0	0	0	0	0	0
0.3579542	-0.1659082	0.39828	0	0	0	0	0	0
0.3745214	-0.1659082	0.39828	0	0	0	0	0	0
0.3910881	-0.1659338	0.3982621	-0.001545278	-0.001079356	-0.04663743	-0.03257562	0	0
0.4077847	-0.1659338	0.3982621	0	0	0.04645591	0.03244883	0	0
0.4242958	-0.1659082	0.39828	0.001550485	0.001082993	0.04669056	0.03261273	0	0
0.4407875	-0.1659082	0.39828	0	0	-0.04698039	-0.03281517	0	0
0.4573598	-0.1659338	0.3982621	-0.001544761	-0.001078995	-0.04672033	-0.03263352	0	0
0.4739214	-0.1659338	0.3982621	0	0	0.04662183	0.03256472	0	0
0.4904877	-0.1659338	0.3982621	0	0	0	0	0	0
0.5073588	-0.1659338	0.3982621	0	0	0	0	0	0
0.5238663	-0.1659338	0.3982621	0	0	0	0	0	0
0.5403786	-0.1659338	0.3982621	0	0	0	0	0	0
0.5567542	-0.1659338	0.3982621	0	0	0	0	0	0
0.5734011	-0.1659338	0.3982621	0	0	0	0	0	0
0.589913	-0.1659338	0.3982621	0	0	0	0	0	0
0.6064544	-0.1659082	0.39828	0.001547636	0.001081003	0.04682239	0.03270481	0	0
0.6230212	-0.1659082	0.39828	0	0	-0.04674475	-0.03265059	0	0
0.6395875	-0.1659082	0.39828	0	0	0	0	0	0
0.6561543	-0.1659082	0.39828	0	0	0	0	0	0
0.672721	-0.1659082	0.39828	0	0	0	0	0	0
0.6892878	-0.1659082	0.39828	0	0	0	0	0	0
0.7058545	-0.1659082	0.39828	0	0	0	0	0	0
0.7225057	-0.1659082	0.39828	0	0	0	0	0	0
0.7389876	-0.1659082	0.39828	0	0	0	0	0	0
0.7555544	-0.1659082	0.39828	0	0	0	0	0	0
0.7898327	-0.1659082	0.39828	0	0	0	0	0	0
0.806566	-0.1659082	0.39828	0	0	0	0	0	0
0.8230779	-0.1659082	0.39828	0	0	0	0	0	0
0.8395893	-0.1659082	0.39828	0	0	0	0	0	0
0.9141331	-0.1659082	0.39828	0	0	0	0	0	0
0.9306999	-0.1659082	0.39828	0	0	0	0	0	0
0.9472666	-0.1659338	0.3982978	-0.001545275	0.001079354	-0.04663784	0.03257591	0	0
0.9638334	-0.1659338	0.3982978	0	0	0.04663784	-0.03257591	0	0
0.9806935	-0.1659338	0.3982978	0	0	0	0	0	0
0.9972038	-0.1659338	0.3982978	0	0	0	0	0	0
1.013532	-0.1659338	0.3982978	0	0	0	0	0	0
1.030098	-0.1659338	0.3982978	0	0	0	0	0	0
1.04674	-0.1659338	0.3982978	0	0	0	0	0	0
1.063231	-0.1659338	0.3982978	0	0	0	0	0	0
1.079799	-0.1659082	0.39828	0.001545242	-0.001079331	0.04674279	-0.03264921	0	0
1.096364	-0.1659082	0.39828	0	0	-0.04663751	0.03257567	0	0
1.113286	-0.1659082	0.39828	0	0	0	0	0	0
1.129498	-0.1659082	0.39828	0	0	0	0	0	0
1.146065	-0.1659338	0.3982621	-0.001545275	-0.001079354	-0.04714278	-0.0329286	0	0
1.162632	-0.1659338	0.3982621	0	0	0.04663734	0.03257556	0	0
1.179198	-0.1659338	0.3982621	0	0	0	0	0	0
1.195764	-0.1659338	0.3982621	0	0	0	0	0	0
1.212353	-0.1659338	0.3982621	0	0	0	0	0	0
1.228898	-0.1659082	0.3982442	0.00154738	-0.001080824	0.04670136	-0.03262027	0	0
1.245465	-0.1659082	0.3982442	0	0	-0.04673263	0.03264212	0	0
1.262031	-0.1659082	0.3982442	0	0	0	0	0	0
1.278599	-0.1659082	0.3982442	0	0	0	0	0	0
1.295166	-0.1659082	0.3982442	0	0	0	0	0	0
1.311981	-0.1659082	0.3982442	0	0	0	0	0	0
1.328298	-0.1659082	0.3982442	0	0	0	0	0	0
1.344947	-0.1659082	0.3982442	0	0	0	0	0	0
1.361432	-0.1659082	0.3982442	0	0	0	0	0	0
1.378	-0.1659082	0.3982442	0	0	0	0	0	0
1.394565	-0.1659082	0.3982442	0	0	0	0	0	0
1.428007	-0.1659082	0.3982442	0	0	0	0	0	0
1.444265	-0.1659082	0.3982442	0	0	0	0	0	0
1.461032	-0.1659082	0.3982442	0	0	0	0	0	0
1.477399	-0.1659082	0.3982442	0	0	0	0	0	0
1.510564	-0.1659082	0.3982442	0	0	0	0	0	0
1.527098	-0.1659082	0.3982442	0	0	0	0	0	0
1.544089	-0.1659082	0.3982442	0	0	0	0	0	0
1.560232	-0.1659082	0.3982442	0	0	0	0	0	0
1.576798	-0.1659082	0.3982442	0	0	0	0	0	0
