Time	Message
0.01684346	Jogo executando - Esperando jogador ler
0.04318435	Jogo executando - Esperando jogador iniciar
0.4739183	Big Time Step Reading0.01660156
0.4739183	Jogo executando - Esperando jogador iniciar
0.4904866	Big Time Step Reading0.01660156
0.4904866	Jogo executando - Esperando jogador iniciar
0.5070521	Big Time Step Reading0.01660156
0.5070521	Jogo executando - Esperando jogador iniciar
0.5401848	Big Time Step Reading0.01660156
0.5401848	Jogo executando - Esperando jogador iniciar
0.8398746	Big Time Step Reading0.08276367
0.8398746	Jogo executando - Esperando jogador iniciar
0.8564402	Big Time Step Reading0.01660156
0.8564402	Jogo executando - Esperando jogador iniciar
1.353562	Big Time Step Reading0.03320313
1.353562	Jogo executando - Esperando jogador iniciar
1.386697	Big Time Step Reading0.01660156
1.386697	Jogo executando - Esperando jogador iniciar
1.419834	Big Time Step Reading0
1.419834	Jogo executando - Esperando jogador iniciar
1.452963	Big Time Step Reading0
1.452963	Jogo executando - Esperando jogador iniciar
1.502662	Big Time Step Reading0.01660156
1.502662	Jogo executando - Esperando jogador iniciar
1.519229	Big Time Step Reading0.01660156
1.519229	Jogo executando - Esperando jogador iniciar
1.535795	Big Time Step Reading0
1.535795	Jogo executando - Esperando jogador iniciar
1.684898	Big Time Step Reading0.01660156
1.684898	Jogo executando - Esperando jogador iniciar
1.701463	Big Time Step Reading0.01660156
1.701463	Jogo executando - Esperando jogador iniciar
1.916831	Jogo executando - Esperando jogador ler
1.969575	Big Time Step Reading0.03613281
1.969575	Jogo executando - Esperando jogador ler
2.168375	Big Time Step Reading0.01660156
2.168375	Jogo executando - Esperando jogador ler
2.284342	Big Time Step Reading0
2.284342	Jogo executando - Esperando jogador ler
2.317475	Big Time Step Reading0.01660156
2.317475	Jogo executando - Esperando jogador ler
2.400527	Big Time Step Reading0
2.400527	Jogo executando - Esperando jogador ler
2.466575	Big Time Step Reading0.01660156
2.466575	Jogo executando - Esperando jogador ler
2.616073	Big Time Step Reading0
2.616073	Jogo executando - Esperando jogador ler
2.765173	Big Time Step Reading0.01660156
2.765173	Jogo executando - Esperando jogador ler
2.781742	Big Time Step Reading0
2.781742	Jogo executando - Esperando jogador ler
2.798308	Big Time Step Reading0.01660156
2.798308	Jogo executando - Esperando jogador ler
3.063375	Jogo executando - Esperando jogador iniciar
3.316175	Big Time Step Reading0
3.316175	Jogo executando - Esperando jogador iniciar
3.382358	Big Time Step Reading0.01708984
3.382358	Jogo executando - Esperando jogador iniciar
3.398925	Big Time Step Reading0.01708984
3.398925	Jogo executando - Esperando jogador iniciar
3.415491	Big Time Step Reading0.01708984
3.415491	Jogo executando - Esperando jogador iniciar
3.432058	Big Time Step Reading0.01708984
3.432058	Jogo executando - Esperando jogador iniciar
3.448625	Big Time Step Reading0.06567383
3.448625	Jogo executando - Esperando jogador iniciar
3.697127	Big Time Step Reading0.01660156
3.697127	Jogo executando - Esperando jogador iniciar
4.178919	Big Time Step Reading0.06640625
4.178919	Jogo executando - Esperando jogador iniciar
4.245333	Big Time Step Reading0.0168457
4.245333	Jogo executando - Esperando jogador iniciar
4.908934	Jogo executando - Esperando jogador escolher
4.991858	Big Time Step Reading0
4.991858	Jogo executando - Esperando jogador escolher
5.190567	Big Time Step Reading0.01660156
5.190567	Jogo executando - Esperando jogador escolher
5.488915	Big Time Step Reading0.01660156
5.488915	Jogo executando - Esperando jogador escolher
5.720848	Big Time Step Reading0
5.720848	Jogo executando - Esperando jogador escolher
6.250983	Big Time Step Reading0
6.250983	Jogo executando - Esperando jogador escolher
6.433216	Big Time Step Reading0
6.433216	Jogo executando - Esperando jogador escolher
6.598883	Big Time Step Reading0.01660156
6.598883	Jogo executando - Esperando jogador escolher
6.863949	Jogo executando - Escolha certa
6.971071	Big Time Step Reading0
6.971071	Jogo executando - Escolha certa
6.98764	Big Time Step Reading0
6.98764	Jogo executando - Escolha certa
7.550904	Big Time Step Reading0.08276367
7.550904	Jogo executando - Escolha certa
7.915928	Jogo executando - Turno terminando
8.529552	Big Time Step Reading0
8.529552	Jogo executando - Turno terminando
8.595819	Big Time Step Reading0.0168457
8.595819	Jogo executando - Turno terminando
8.773388	Big Time Step Reading0
8.773388	Jogo executando - Turno terminando
8.806523	Big Time Step Reading0
8.806523	Jogo executando - Turno terminando
8.823088	Big Time Step Reading0
8.823088	Jogo executando - Turno terminando
8.839654	Big Time Step Reading0.01660156
8.839654	Jogo executando - Turno terminando
8.872787	Big Time Step Reading0.01660156
8.872787	Jogo executando - Turno terminando
8.972184	Big Time Step Reading0
8.972184	Jogo executando - Turno terminando
9.155817	Jogo executando - Novo turno
9.172383	Jogo executando - Esperando jogador ler
9.19616	Jogo executando - Esperando jogador iniciar
9.428091	Big Time Step Reading0.01660156
9.428091	Jogo executando - Esperando jogador iniciar
9.461226	Big Time Step Reading0.01660156
9.461226	Jogo executando - Esperando jogador iniciar
9.477792	Big Time Step Reading0.01660156
9.477792	Jogo executando - Esperando jogador iniciar
9.494359	Big Time Step Reading0.01660156
9.494359	Jogo executando - Esperando jogador iniciar
9.67766	Big Time Step Reading0
9.67766	Jogo executando - Esperando jogador iniciar
9.693914	Big Time Step Reading0
9.693914	Jogo executando - Esperando jogador iniciar
9.892711	Big Time Step Reading0.01660156
9.892711	Jogo executando - Esperando jogador iniciar
9.958976	Big Time Step Reading0.01660156
9.958976	Jogo executando - Esperando jogador iniciar
10.48984	Big Time Step Reading0.01660156
10.48984	Jogo executando - Esperando jogador iniciar
10.5064	Big Time Step Reading0.01660156
10.5064	Jogo executando - Esperando jogador iniciar
10.57267	Big Time Step Reading0.01660156
10.57267	Jogo executando - Esperando jogador iniciar
10.62237	Jogo executando - Esperando jogador ler
10.83774	Big Time Step Reading0.01660156
10.83774	Jogo executando - Esperando jogador ler
10.9537	Big Time Step Reading0.01660156
10.9537	Jogo executando - Esperando jogador ler
11.2519	Big Time Step Reading0.01660156
11.2519	Jogo executando - Esperando jogador ler
11.898	Big Time Step Reading0.01660156
11.898	Jogo executando - Esperando jogador ler
11.91457	Big Time Step Reading0.01660156
11.91457	Jogo executando - Esperando jogador ler
11.94775	Big Time Step Reading0.01660156
11.94775	Jogo executando - Esperando jogador ler
11.96429	Big Time Step Reading0.01660156
11.96429	Jogo executando - Esperando jogador ler
11.98083	Big Time Step Reading0.08276367
11.98083	Jogo executando - Esperando jogador ler
12.56066	Jogo executando - Esperando jogador iniciar
12.92513	Big Time Step Reading0.01660156
12.92513	Jogo executando - Esperando jogador iniciar
12.9417	Big Time Step Reading0.01660156
12.9417	Jogo executando - Esperando jogador iniciar
13.00796	Big Time Step Reading0.01660156
13.00796	Jogo executando - Esperando jogador iniciar
13.19102	Big Time Step Reading0
13.19102	Jogo executando - Esperando jogador iniciar
13.37326	Big Time Step Reading0
13.37326	Jogo executando - Esperando jogador iniciar
13.38982	Big Time Step Reading0.01660156
13.38982	Jogo executando - Esperando jogador iniciar
13.42296	Big Time Step Reading0.01660156
13.42296	Jogo executando - Esperando jogador iniciar
13.62176	Big Time Step Reading0.01660156
13.62176	Jogo executando - Esperando jogador iniciar
13.67146	Big Time Step Reading0.01660156
13.67146	Jogo executando - Esperando jogador iniciar
13.70459	Big Time Step Reading0.01660156
13.70459	Jogo executando - Esperando jogador iniciar
13.93719	Big Time Step Reading0
13.93719	Jogo executando - Esperando jogador iniciar
14.13598	Big Time Step Reading0.01660156
14.13598	Jogo executando - Esperando jogador iniciar
14.15255	Big Time Step Reading0.01660156
14.15255	Jogo executando - Esperando jogador iniciar
14.25195	Jogo executando - Esperando jogador escolher
14.35135	Big Time Step Reading0
14.35135	Jogo executando - Esperando jogador escolher
14.73239	Big Time Step Reading0.01660156
14.73239	Jogo executando - Esperando jogador escolher
14.74896	Big Time Step Reading0.01660156
14.74896	Jogo executando - Esperando jogador escolher
14.76553	Big Time Step Reading0.01660156
14.76553	Jogo executando - Esperando jogador escolher
14.78209	Big Time Step Reading0.01660156
14.78209	Jogo executando - Esperando jogador escolher
14.81523	Big Time Step Reading0.08276367
14.81523	Jogo executando - Esperando jogador escolher
15.01403	Big Time Step Reading0.01660156
15.01403	Jogo executando - Esperando jogador escolher
15.19696	Big Time Step Reading0.01660156
15.19696	Jogo executando - Esperando jogador escolher
15.67739	Big Time Step Reading0
15.67739	Jogo executando - Esperando jogador escolher
15.92604	Jogo executando - Escolha certa
15.99222	Big Time Step Reading0
15.99222	Jogo executando - Escolha certa
16.20758	Big Time Step Reading0.01733398
16.20758	Jogo executando - Escolha certa
16.27385	Big Time Step Reading0
16.27385	Jogo executando - Escolha certa
16.50578	Big Time Step Reading0.01660156
16.50578	Jogo executando - Escolha certa
16.52235	Big Time Step Reading0.01660156
16.52235	Jogo executando - Escolha certa
16.53892	Big Time Step Reading0.04956055
16.53892	Jogo executando - Escolha certa
16.72492	Big Time Step Reading0
16.72492	Jogo executando - Escolha certa
16.89059	Big Time Step Reading0.01660156
16.89059	Jogo executando - Escolha certa
16.92373	Big Time Step Reading0.01660156
16.92373	Jogo executando - Escolha certa
16.95686	Jogo executando - Turno terminando
17.32173	Big Time Step Reading0
17.32173	Jogo executando - Turno terminando
17.50397	Big Time Step Reading0
17.50397	Jogo executando - Turno terminando
17.52053	Big Time Step Reading0
17.52053	Jogo executando - Turno terminando
17.75247	Big Time Step Reading0
17.75247	Jogo executando - Turno terminando
17.78587	Big Time Step Reading0.03320313
17.78587	Jogo executando - Turno terminando
18.16705	Jogo executando - Novo turno
18.18362	Jogo executando - Esperando jogador ler
18.2025	Jogo executando - Esperando jogador iniciar
18.36817	Big Time Step Reading0.09936523
18.36817	Jogo executando - Esperando jogador iniciar
18.50088	Big Time Step Reading0.0168457
18.50088	Jogo executando - Esperando jogador iniciar
19.1485	Big Time Step Reading0.03320313
19.1485	Jogo executando - Esperando jogador iniciar
19.16507	Big Time Step Reading0.03320313
19.16507	Jogo executando - Esperando jogador iniciar
19.18163	Big Time Step Reading0.03320313
19.18163	Jogo executando - Esperando jogador iniciar
19.1982	Big Time Step Reading0.03320313
19.1982	Jogo executando - Esperando jogador iniciar
19.21489	Big Time Step Reading0.03320313
19.21489	Jogo executando - Esperando jogador iniciar
19.2314	Big Time Step Reading0.03320313
19.2314	Jogo executando - Esperando jogador iniciar
19.24792	Big Time Step Reading0.09936523
19.24792	Jogo executando - Esperando jogador iniciar
19.99406	Jogo executando - Esperando jogador ler
20.06033	Big Time Step Reading0.0168457
20.06033	Jogo executando - Esperando jogador ler
20.19431	Big Time Step Reading0
20.19431	Jogo executando - Esperando jogador ler
20.27715	Big Time Step Reading0
20.27715	Jogo executando - Esperando jogador ler
20.29371	Big Time Step Reading0
20.29371	Jogo executando - Esperando jogador ler
20.31028	Big Time Step Reading0.01660156
20.31028	Jogo executando - Esperando jogador ler
20.59192	Big Time Step Reading0
20.59192	Jogo executando - Esperando jogador ler
20.62505	Big Time Step Reading0
20.62505	Jogo executando - Esperando jogador ler
20.72445	Big Time Step Reading0.01660156
20.72445	Jogo executando - Esperando jogador ler
20.7615	Big Time Step Reading0
20.7615	Jogo executando - Esperando jogador ler
20.84423	Big Time Step Reading0
20.84423	Jogo executando - Esperando jogador iniciar
20.87737	Big Time Step Reading0
20.87737	Jogo executando - Esperando jogador iniciar
21.42478	Big Time Step Reading0
21.42478	Jogo executando - Esperando jogador iniciar
21.45792	Big Time Step Reading0.0168457
21.45792	Jogo executando - Esperando jogador iniciar
21.49105	Big Time Step Reading0.01660156
21.49105	Jogo executando - Esperando jogador iniciar
21.70668	Big Time Step Reading0.0168457
21.70668	Jogo executando - Esperando jogador iniciar
21.88881	Big Time Step Reading0
21.88881	Jogo executando - Esperando jogador iniciar
22.00463	Big Time Step Reading0
22.00463	Jogo executando - Esperando jogador iniciar
22.03776	Big Time Step Reading0
22.03776	Jogo executando - Esperando jogador iniciar
22.32765	Big Time Step Reading0.01660156
22.32765	Jogo executando - Esperando jogador iniciar
22.34421	Big Time Step Reading0.01660156
22.34421	Jogo executando - Esperando jogador iniciar
22.36078	Big Time Step Reading0.01660156
22.36078	Jogo executando - Esperando jogador iniciar
22.37735	Big Time Step Reading0.01660156
22.37735	Jogo executando - Esperando jogador iniciar
22.4272	Jogo executando - Esperando jogador escolher
22.64242	Big Time Step Reading0
22.64242	Jogo executando - Esperando jogador escolher
22.65898	Big Time Step Reading0
22.65898	Jogo executando - Esperando jogador escolher
23.20582	Big Time Step Reading0
23.20582	Jogo executando - Esperando jogador escolher
23.6037	Big Time Step Reading0.03295898
23.6037	Jogo executando - Esperando jogador escolher
23.62027	Big Time Step Reading0.01660156
23.62027	Jogo executando - Esperando jogador escolher
23.63684	Big Time Step Reading0.01660156
23.63684	Jogo executando - Esperando jogador escolher
23.6534	Big Time Step Reading0.01660156
23.6534	Jogo executando - Esperando jogador escolher
23.67008	Jogo executando - Escolha certa
23.68654	Big Time Step Reading0.01660156
23.68654	Jogo executando - Escolha certa
23.7031	Big Time Step Reading0.08300781
23.7031	Jogo executando - Escolha certa
23.8025	Big Time Step Reading0.01660156
23.8025	Jogo executando - Escolha certa
23.83564	Big Time Step Reading0
23.83564	Jogo executando - Escolha certa
24.15142	Big Time Step Reading0.03369141
24.15142	Jogo executando - Escolha certa
24.16793	Big Time Step Reading0.0168457
24.16793	Jogo executando - Escolha certa
24.4001	Big Time Step Reading0.01708984
24.4001	Jogo executando - Escolha certa
24.41638	Big Time Step Reading0.01635742
24.41638	Jogo executando - Escolha certa
24.48267	Big Time Step Reading0
24.48267	Jogo executando - Escolha certa
24.61518	Big Time Step Reading0.01660156
24.61518	Jogo executando - Escolha certa
24.66488	Jogo executando - Turno terminando
24.78098	Big Time Step Reading0.03320313
24.78098	Jogo executando - Turno terminando
25.56012	Big Time Step Reading0.08349609
25.56012	Jogo executando - Turno terminando
25.82519	Jogo executando - Novo turno
25.84175	Jogo executando - Esperando jogador ler
25.8623	Jogo executando - Esperando jogador iniciar
26.07767	Big Time Step Reading0.01660156
26.07767	Jogo executando - Esperando jogador iniciar
26.30998	Big Time Step Reading0.01660156
26.30998	Jogo executando - Esperando jogador iniciar
26.32654	Big Time Step Reading0.01660156
26.32654	Jogo executando - Esperando jogador iniciar
26.34311	Big Time Step Reading0.03320313
26.34311	Jogo executando - Esperando jogador iniciar
26.35968	Big Time Step Reading0.03320313
26.35968	Jogo executando - Esperando jogador iniciar
26.37625	Big Time Step Reading0.03320313
26.37625	Jogo executando - Esperando jogador iniciar
26.39304	Big Time Step Reading0.04956055
