Time	Message
0.0168332	Jogo executando - Esperando jogador ler
0.05008035	Jogo executando - Esperando jogador iniciar
0.8249133	Big Time Step Reading0.01660156
0.8249133	Jogo executando - Esperando jogador iniciar
0.9409807	Big Time Step Reading0
0.9409807	Jogo executando - Esperando jogador iniciar
1.172752	Big Time Step Reading0
1.172752	Jogo executando - Esperando jogador iniciar
1.624784	Big Time Step Reading0.01660156
1.624784	Jogo executando - Esperando jogador iniciar
1.64135	Big Time Step Reading0.01660156
1.64135	Jogo executando - Esperando jogador iniciar
1.657917	Big Time Step Reading0.01660156
1.657917	Jogo executando - Esperando jogador iniciar
1.674483	Big Time Step Reading0.06616211
1.674483	Jogo executando - Esperando jogador iniciar
1.823606	Big Time Step Reading0.01660156
1.823606	Jogo executando - Esperando jogador iniciar
1.84015	Big Time Step Reading0.01660156
1.84015	Jogo executando - Esperando jogador iniciar
1.889851	Big Time Step Reading0
1.889851	Jogo executando - Esperando jogador iniciar
1.906417	Big Time Step Reading0
1.906417	Jogo executando - Esperando jogador iniciar
1.964339	Big Time Step Reading0.01660156
1.964339	Jogo executando - Esperando jogador iniciar
1.980906	Big Time Step Reading0.01660156
1.980906	Jogo executando - Esperando jogador iniciar
2.030606	Jogo executando - Esperando jogador escolher
2.229408	Big Time Step Reading0.01660156
2.229408	Jogo executando - Esperando jogador escolher
2.445268	Big Time Step Reading0.01660156
2.445268	Jogo executando - Esperando jogador escolher
2.511534	Big Time Step Reading0.01660156
2.511534	Jogo executando - Esperando jogador escolher
2.5281	Big Time Step Reading0.01660156
2.5281	Jogo executando - Esperando jogador escolher
2.566658	Big Time Step Reading0.01660156
2.566658	Jogo executando - Esperando jogador escolher
2.583224	Big Time Step Reading0.01660156
2.583224	Jogo executando - Esperando jogador escolher
2.599791	Big Time Step Reading0.01660156
2.599791	Jogo executando - Esperando jogador escolher
3.047469	Big Time Step Reading0
3.047469	Jogo executando - Esperando jogador escolher
3.469243	Big Time Step Reading0
3.469243	Jogo executando - Esperando jogador escolher
3.485811	Big Time Step Reading0
3.485811	Jogo executando - Esperando jogador escolher
3.502378	Big Time Step Reading0.01660156
3.502378	Jogo executando - Esperando jogador escolher
3.552325	Jogo executando - Escolha certa
3.668043	Big Time Step Reading0.01660156
3.668043	Jogo executando - Escolha certa
