	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.390458	MultiSuits	2.411866	7	1	4.390458	0	0	2	0	0	2	0	0	1	1	1	36	0.5189683	0	2.001283	189.0761	-159.4286	173.4444	-171.9444
1	10.77355	MultiSuits	2.249359	7	1	6.383096	36	0	3	3	1	3	3	1	1	1	1	38	0.5632682	0	1.196957	189.0761	-177.4286	186.3739	177.6512
2	17.57199	MultiSuits	2.45044	7	1	6.798441	37	0	7	0	0	7	0	0	1	1	1	37	0.5259222	0	1.708951	189.0761	30.85714	162.5198	19.67771
3	23.51748	MultiSuits	2.432135	7	1	5.945482	37	0	1	2	0	1	2	0	1	1	1	38	0.5178668	0	1.456048	189.0761	30.85714	161.3006	28.30007
4	29.99507	MultiSuits	2.454595	7	1	6.477591	37	0	2	2	0	2	2	0	1	1	1	37	0.5200404	0	1.901452	189.0761	-108	150.5122	-111.8717
5	36.55398	MultiSuits	2.423531	7	1	6.558914	37	0	6	2	0	6	2	0	1	1	1	38	0.5186781	0	1.436666	189.0761	-38.57143	181.2929	-44.3704
6	43.31717	MultiSuits	2.441554	7	1	6.763191	37	0	8	1	1	8	1	1	1	1	1	37	0.5205634	0	1.777135	189.0761	-126	156.0636	-127.1042
7	49.79325	MultiSuits	2.430108	7	1	6.476074	37	0	0	3	1	0	3	1	1	1	1	37	0.522298	0	1.569761	189.0761	12.85713	155.9302	3.678292
8	56.59322	MultiSuits	2.434484	7	1	6.799973	37	0	6	0	0	6	0	0	1	1	1	37	0.5211738	0	1.789733	189.0761	82.2857	135.8842	85.4169
9	63.8293	MultiSuits	2.425668	7	1	7.236084	37	0	5	1	1	5	1	1	1	1	1	36	0.5355871	0	2.157287	189.0761	-74.57143	158.2834	-76.68734
