Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01673016	-0.1952438	0.3847257	0.002944496	-0.005802096	-4.441741E-05	8.7524E-05	0	0
0.0868586	-0.1952438	0.3847257	0	0	4.445333E-05	-8.759478E-05	0	0
0.1038197	-0.1952438	0.3847257	0	0	0	0	0	0
0.1203043	-0.1952438	0.3847257	0	0	0	0	0	0
0.1368205	-0.1952438	0.3847257	0	0	0	0	0	0
0.1531259	-0.1952438	0.3847257	0	0	0	0	0	0
0.1696923	-0.1952438	0.3847257	0	0	0	0	0	0
0.1863597	-0.1952438	0.3847257	0	0	0	0	0	0
0.2028273	-0.1952438	0.3847257	0	0	0	0	0	0
0.2193933	-0.1952438	0.3847257	0	0	0	0	0	0
0.2359592	-0.1952438	0.3847257	0	0	0	0	0	0
0.2525259	-0.1952438	0.3847257	0	0	0	0	0	0
0.2694108	-0.1952438	0.3847257	0	0	0	0	0	0
0.285659	-0.1952438	0.3847257	0	0	0	0	0	0
0.3022257	-0.1952438	0.3847257	0	0	0	0	0	0
0.3189441	-0.1952438	0.3847257	0	0	0	0	0	0
0.3354599	-0.1952438	0.3847257	0	0	0	0	0	0
0.351926	-0.1952185	0.3847078	0.001537529	-0.001085953	0.04661734	-0.03292573	0	0
0.3684927	-0.1952438	0.3847257	-0.001528188	0.001079356	-0.09280825	0.06555027	0	0
0.3850594	-0.1952438	0.3847257	0	0	0.04612222	-0.03257603	0	0
0.4016261	-0.1952438	0.3847257	0	0	0	0	0	0
0.4181929	-0.1952438	0.3847257	0	0	0	0	0	0
0.4347596	-0.1952438	0.3847257	0	0	0	0	0	0
0.4515395	-0.1952438	0.3847257	0	0	0	0	0	0
0.4680517	-0.1952438	0.3847257	0	0	0	0	0	0
0.4845636	-0.1952438	0.3847257	0	0	0	0	0	0
0.5010257	-0.1952438	0.3847257	0	0	0	0	0	0
0.5175925	-0.1952438	0.3847257	0	0	0	0	0	0
0.5341596	-0.1952438	0.3847257	0	0	0	0	0	0
0.5507264	-0.1952438	0.3847257	0	0	0	0	0	0
0.5672923	-0.1952185	0.3847078	0.001528263	-0.001079408	0.04612554	-0.03257837	0	0
0.583859	-0.1952185	0.3847078	0	0	-0.04612554	0.03257837	0	0
0.6006448	-0.1952185	0.3847078	0	0	0	0	0	0
0.6169925	-0.1952185	0.3847078	0	0	0	0	0	0
0.6336863	-0.1952185	0.3847078	0	0	0	0	0	0
0.6501792	-0.1952185	0.3847078	0	0	0	0	0	0
0.666693	-0.1952185	0.3847078	0	0	0	0	0	0
0.6832598	-0.1952185	0.3847078	0	0	0	0	0	0
0.6998257	-0.1952185	0.3847078	0	0	0	0	0	0
0.7163932	-0.1952185	0.3847078	0	0	0	0	0	0
0.7329568	-0.1952185	0.3847078	0	0	0	0	0	0
0.7535524	-0.1952438	0.3847257	-0.001229246	0.0008682138	-0.03308053	0.0233647	0	0
0.77012	-0.1952438	0.3847257	0	0	0.03307702	-0.02336223	0	0
0.7867748	-0.1952438	0.3847257	0	0	0	0	0	0
0.8032839	-0.1952438	0.3847257	0	0	0	0	0	0
0.8198198	-0.1952438	0.3847257	0	0	0	0	0	0
0.8363878	-0.1952438	0.3847257	0	0	0	0	0	0
0.8538178	-0.1952438	0.3847257	0	0	0	0	0	0
0.8695197	-0.1952438	0.3847257	0	0	0	0	0	0
0.8863438	-0.1952438	0.3847257	0	0	0	0	0	0
0.9026539	-0.1952438	0.3847257	0	0	0	0	0	0
0.9192207	-0.1952438	0.3847257	0	0	0	0	0	0
0.9358766	-0.1952438	0.3847257	0	0	0	0	0	0
0.9523534	-0.1952438	0.3847257	0	0	0	0	0	0
0.9689217	-0.1952438	0.3847257	0	0	0	0	0	0
0.9854876	-0.1952438	0.3847257	0	0	0	0	0	0
1.002056	-0.1952438	0.3847257	0	0	0	0	0	0
1.018936	-0.1952185	0.3847078	0.001499781	-0.001059292	0.04483809	-0.03166905	0	0
1.03519	-0.1952185	0.3847078	0	0	-0.0452643	0.03197008	0	0
1.051757	-0.1952185	0.3847078	0	0	0	0	0	0
1.068474	-0.1952185	0.3847078	0	0	0	0	0	0
1.084988	-0.1952185	0.3847078	0	0	0	0	0	0
1.101456	-0.1952185	0.3847078	0	0	0	0	0	0
1.118023	-0.1952185	0.3847078	0	0	0	0	0	0
1.13459	-0.1952185	0.3847078	0	0	0	0	0	0
1.151156	-0.1952185	0.3847078	0	0	0	0	0	0
1.167722	-0.1952185	0.3847078	0	0	0	0	0	0
1.184288	-0.1952185	0.3847078	0	0	0	0	0	0
1.201069	-0.1952185	0.3847078	0	0	0	0	0	0
1.217423	-0.1952185	0.3847078	0	0	0	0	0	0
1.234124	-0.1952185	0.3847078	0	0	0	0	0	0
1.250624	-0.1952185	0.3847078	0	0	0	0	0	0
1.267123	-0.1952438	0.3847257	-0.001534512	0.001083823	-0.0465019	0.03284419	0	0
1.28369	-0.1952438	0.3847257	0	0	0.04640818	-0.032778	0	0
1.300256	-0.1952438	0.3847257	0	0	0	0	0	0
1.316823	-0.1952438	0.3847257	0	0	0	0	0	0
1.33339	-0.1952438	0.3847257	0	0	0	0	0	0
1.349956	-0.1952438	0.3847257	0	0	0	0	0	0
1.366523	-0.1952185	0.3847078	0.001528152	-0.001079331	0.04612106	-0.0325752	0	0
1.38309	-0.1952185	0.3847078	0	0	-0.04612106	0.0325752	0	0
1.420824	-0.1952185	0.3847078	0	0	0	0	0	0
1.43739	-0.1952185	0.3847078	0	0	0	0	0	0
1.453957	-0.1952185	0.3847078	0	0	0	0	0	0
1.470765	-0.1952185	0.3847078	0	0	0	0	0	0
1.48709	-0.1952185	0.3847078	0	0	0	0	0	0
1.503657	-0.1952185	0.3847078	0	0	0	0	0	0
1.520295	-0.1952185	0.3847078	0	0	0	0	0	0
1.536806	-0.1952185	0.3847078	0	0	0	0	0	0
1.553357	-0.1952185	0.3847078	0	0	0	0	0	0
1.569924	-0.1952185	0.3847078	0	0	0	0	0	0
1.58649	-0.1952185	0.3847078	0	0	0	0	0	0
1.603057	-0.1952185	0.3847078	0	0	0	0	0	0
1.61962	-0.1952185	0.3847078	0	0	0	0	0	0
1.636187	-0.1952185	0.3847078	0	0	0	0	0	0
1.652883	-0.1952185	0.3847078	0	0	0	0	0	0
1.669394	-0.1952185	0.3847078	0	0	0	0	0	0
1.685906	-0.1952185	0.3847078	0	0	0	0	0	0
1.702454	-0.1952185	0.3847078	0	0	0	0	0	0
1.752154	-0.1952185	0.3847078	0	0	0	0	0	0
1.768721	-0.1952185	0.3847078	0	0	0	0	0	0
1.785477	-0.1952185	0.3847078	0	0	0	0	0	0
1.801989	-0.1952185	0.3847078	0	0	0	0	0	0
1.818421	-0.1952185	0.3847078	0	0	0	0	0	0
1.834987	-0.1952185	0.3847078	0	0	0	0	0	0
1.851554	-0.1952185	0.3847078	0	0	0	0	0	0
1.868121	-0.1952185	0.3847078	0	0	0	0	0	0
1.884688	-0.1952185	0.3847078	0	0	0	0	0	0
1.901254	-0.1952185	0.3847078	0	0	0	0	0	0
1.917821	-0.1952185	0.3847078	0	0	0	0	0	0
1.934387	-0.1952185	0.3847078	0	0	0	0	0	0
1.951094	-0.1952185	0.3847078	0	0	0	0	0	0
1.967521	-0.1952185	0.3847078	0	0	0	0	0	0
1.984117	-0.1952185	0.3847078	0	0	0	0	0	0
2.000654	-0.1952185	0.3847078	0	0	0	0	0	0
2.017641	-0.1952185	0.3847078	0	0	0	0	0	0
2.033788	-0.1952185	0.3847078	0	0	0	0	0	0
2.057842	-0.1952185	0.3847078	0	0	0	0	0	0
2.07441	-0.1952185	0.3847078	0	0	0	0	0	0
2.090977	-0.1952185	0.3847078	0	0	0	0	0	0
2.107544	-0.1952185	0.3847078	0	0	0	0	0	0
2.124111	-0.1952185	0.3847078	0	0	0	0	0	0
2.140677	-0.1952185	0.3847078	0	0	0	0	0	0
2.157243	-0.1952185	0.3847078	0	0	0	0	0	0
2.17381	-0.1952185	0.3847078	0	0	0	0	0	0
2.190377	-0.1952185	0.3847078	0	0	0	0	0	0
2.206944	-0.1952438	0.3847257	-0.001528186	0.001079354	-0.04612272	0.03257638	0	0
2.22351	-0.1952438	0.3847257	0	0	0.04612206	-0.03257591	0	0
2.240077	-0.1952438	0.3847257	0	0	0	0	0	0
2.256643	-0.1952438	0.3847257	0	0	0	0	0	0
2.273322	-0.1952438	0.3847257	0	0	0	0	0	0
2.289834	-0.1952438	0.3847257	0	0	0	0	0	0
2.306345	-0.1952438	0.3847257	0	0	0	0	0	0
2.32291	-0.1952438	0.3847257	0	0	0	0	0	0
2.339477	-0.1952438	0.3847257	0	0	0	0	0	0
2.356043	-0.1952438	0.3847257	0	0	0	0	0	0
2.37261	-0.1952438	0.3847257	0	0	0	0	0	0
2.389176	-0.1952438	0.3847257	0	0	0	0	0	0
2.422426	-0.1952438	0.3847257	0	0	0	0	0	0
2.438876	-0.1952438	0.3847257	0	0	0	0	0	0
2.455451	-0.1952438	0.3847257	0	0	0	0	0	0
2.472009	-0.1952438	0.3847257	0	0	0	0	0	0
2.488576	-0.1952438	0.3847257	0	0	0	0	0	0
2.505143	-0.1952438	0.3847257	0	0	0	0	0	0
2.52171	-0.1952438	0.3847257	0	0	0	0	0	0
2.53851	-0.1952438	0.3847257	0	0	0	0	0	0
2.554843	-0.1952438	0.3847257	0	0	0	0	0	0
2.57141	-0.1952438	0.3847257	0	0	0	0	0	0
2.587976	-0.1952438	0.3847257	0	0	0	0	0	0
2.604559	-0.1952438	0.3847257	0	0	0	0	0	0
2.621568	-0.1952438	0.3847257	0	0	0	0	0	0
2.637677	-0.1952438	0.3847257	0	0	0	0	0	0
2.654243	-0.1952438	0.3847257	0	0	0	0	0	0
2.67081	-0.1952438	0.3847257	0	0	0	0	0	0
2.687376	-0.1952438	0.3847257	0	0	0	0	0	0
2.704126	-0.1952438	0.3847257	0	0	0	0	0	0
2.758454	-0.1952438	0.3847257	0	0	0	0	0	0
2.775022	-0.1952438	0.3847257	0	0	0	0	0	0
2.791589	-0.1952438	0.3847257	0	0	0	0	0	0
2.808155	-0.1952438	0.3847257	0	0	0	0	0	0
2.82472	-0.1952185	0.3847078	0.001528295	-0.001079432	0.0461277	-0.03257989	0	0
2.841726	-0.1952185	0.3847078	0	0	-0.04552459	0.03215392	0	0
2.857853	-0.1952185	0.3847078	0	0	0	0	0	0
2.874747	-0.1952185	0.3847078	0	0	0	0	0	0
2.890987	-0.1952185	0.3847078	0	0	0	0	0	0
2.907555	-0.1952185	0.3847078	0	0	0	0	0	0
2.924284	-0.1952438	0.3847257	-0.001513397	0.001068909	-0.04545202	0.03210266	0	0
2.940795	-0.1952185	0.3847078	0.001533261	-0.001082939	0.09165483	-0.06473561	0	0
2.957306	-0.1952185	0.3847078	0	0	-0.04643126	0.0327943	0	0
2.97382	-0.1952438	0.3847257	-0.001533039	0.001082782	-0.0464212	0.03278719	0	0
3.017684	-0.1952438	0.3847257	0	0	0.02539036	-0.01793316	0	0
3.034252	-0.1951172	0.3848151	0.007642176	0.005394584	0.1264582	0.08926636	0	0
3.050819	-0.1947373	0.3850832	0.02293358	0.01618491	0.4614921	0.3256505	0	0
3.067386	-0.194332	0.3853692	0.02446536	0.01726427	0.04623065	0.03257592	0	0
3.083953	-0.1937999	0.3856731	0.0321166	0.01834283	0.2309164	0.03255133	0	0
3.100519	-0.1935465	0.3858162	0.01529735	0.008633655	-0.5076278	-0.2930362	0	0
3.117086	-0.1933691	0.3859413	0.01070809	0.00755368	-0.138513	-0.03259584	0	0
3.133652	-0.1881429	0.3883011	0.315461	0.1424424	9.197727	4.071065	0	0
3.150441	-0.1766396	0.3894096	0.6851879	0.06602725	11.08452	-2.290948	0	0
3.166786	-0.1531081	0.3914301	1.439698	0.1236179	22.77198	1.738152	0	0
3.183352	-0.1330255	0.3935939	1.212255	0.1306128	-6.910848	0.2125398	0	0
3.233052	-0.08766944	0.4063497	0.9126013	0.2566567	-4.521975	1.902088	0	0
3.249619	-0.07606349	0.4136896	0.7005566	0.4430551	-3.199876	2.812858	0	0
3.266186	-0.06543277	0.4210696	0.6416715	0.4454564	-1.777181	0.07247399	0	0
3.282753	-0.05987571	0.4248689	0.3354345	0.2293286	-9.242384	-6.522845	0	0
3.299319	-0.0514283	0.4309647	0.5099017	0.3679554	5.265583	4.183887	0	0
3.315886	-0.03929555	0.4396485	0.7323761	0.5241872	6.714581	4.715288	0	0
3.332452	-0.03051684	0.4462923	0.5298994	0.4010322	-6.111024	-3.716986	0	0
3.349019	-0.01955014	0.4543614	0.6619703	0.4870657	3.986022	2.596572	0	0
3.365586	-0.0142885	0.4606209	0.3176024	0.3778333	-10.39334	-3.296736	0	0
3.382153	-0.01407802	0.4687946	0.01270518	0.4933836	-9.202081	3.487414	0	0
3.398719	-0.01431481	0.4772483	-0.01429335	0.5102773	-0.8148406	0.509868	0	0
3.415285	-0.01318345	0.4860377	0.06829424	0.5305668	2.492624	0.6123704	0	0
3.435863	-0.007289344	0.4921451	0.2864286	0.2967964	5.872677	-6.293633	0	0
3.452655	-0.004578915	0.4939351	0.1614114	0.106599	-3.345394	-5.08958	0	0
3.468998	-0.002157891	0.4955991	0.1481437	0.1018182	-0.4004185	-0.1442866	0	0
3.485679	-0.00210526	0.4955267	0.003155042	-0.004337697	-4.390393	-3.214499	0	0
3.502131	-0.001842103	0.4953459	0.01599559	-0.01099393	0.3875397	-0.2008912	0	0
3.518701	-0.001526315	0.4951288	0.01905802	-0.01309911	0.09273981	-0.0637515	0	0
3.535264	-0.001263157	0.4949479	0.0158881	-0.01092002	-0.0956724	0.06576777	0	0
3.551831	-0.001236841	0.4949299	0.001588516	-0.001091978	-0.4316275	0.2966558	0	0
3.568398	-0.001210526	0.4949479	0.001588418	0.001091915	-2.97244E-06	0.06591193	0	0
3.584965	-0.001210526	0.4949479	0	0	-0.04793923	-0.03295454	0	0
3.634664	-0.0006578946	0.4946766	0.01111944	-0.005459212	0.1677993	-0.08238293	0	0
3.684364	0.0007894735	0.4940075	0.02912194	-0.01346314	0.1811121	-0.0805226	0	0
3.700931	0.001499999	0.4936639	0.04288863	-0.02073979	0.2077456	-0.109808	0	0
3.717498	0.002552626	0.4932661	0.0635367	-0.02401314	0.6231689	-0.0987913	0	0
3.734064	0.003789456	0.4935012	0.07466056	0.01419052	0.335731	1.15303	0	0
3.750631	0.006710425	0.4951831	0.1763152	0.101524	3.068096	2.635864	0	0
3.767377	0.007736688	0.4957076	0.0612856	0.03132475	-3.453063	-2.107307	0	0
3.783765	0.00781563	0.4956534	0.004817117	-0.003311584	-1.704271	-1.045357	0	0
3.800332	0.008210341	0.495382	0.02382482	-0.01637693	0.5767745	-0.3964581	0	0
3.816898	0.008368226	0.4952735	0.009530465	-0.006551868	-0.4314169	0.2965294	0	0
3.833464	0.008394539	0.4952554	0.001588383	-0.001091978	-0.2397063	0.1647893	0	0
3.866598	0.01539352	0.490446	0.2112342	-0.1451523	4.218225	-2.898597	0	0
3.883165	0.01805067	0.4885847	0.1603905	-0.11235	-1.023003	0.66	0	0
3.899732	0.02320636	0.4850444	0.3112069	-0.2136977	4.551779	-3.058769	0	0
3.916298	0.02599414	0.4831667	0.1682808	-0.1133444	-4.313706	3.028799	0	0
3.932996	0.02909705	0.4810369	0.1858262	-0.1275505	0.5274575	-0.4270671	0	0
3.949431	0.03088491	0.4797738	0.1087798	-0.07685208	-2.325332	1.530124	0	0
3.965998	0.03482801	0.4770679	0.2380198	-0.1633362	3.916139	-2.620579	0	0
3.982565	0.04210668	0.4720739	0.4393409	-0.3014369	6.076057	-4.16801	0	0
3.999132	0.04693918	0.4687586	0.2916988	-0.2001195	-4.455912	3.057812	0	0
4.015698	0.05121832	0.465823	0.2582971	-0.1772012	-1.008095	0.6916951	0	0
4.032265	0.05310791	0.4645266	0.1140622	-0.07825363	-4.353205	2.986372	0	0
4.048831	0.05457732	0.4635185	0.08869915	-0.06085394	-0.7655031	0.5251539	0	0
4.065588	0.0573843	0.4615926	0.1675151	-0.1149316	2.365225	-1.622843	0	0
4.082099	0.05801377	0.4611247	0.0381237	-0.02833771	-3.889369	2.602921	0	0
4.103349	0.05819736	0.4609628	0.008639418	-0.007620891	-0.7807989	0.5486202	0	0
4.120126	0.05814491	0.4609268	-0.003126421	-0.002145862	-0.3094051	0.1439763	0	0
4.136639	0.05809246	0.4608908	-0.003176662	-0.002178386	-0.0015092	-0.0009769961	0	0
4.15305	0.05806623	0.4608728	-0.001598094	-0.001096874	0.04794626	0.03284905	0	0
4.169617	0.05798755	0.4608188	-0.004749246	-0.003259556	-0.095553	-0.06557943	0	0
4.186183	0.05796132	0.4608008	-0.001583098	-0.001084782	0.09555729	0.06563669	0	0
4.20275	0.05793509	0.4607828	-0.001583278	-0.00108655	-5.410903E-06	-5.335361E-05	0	0
4.219316	0.05790887	0.4608008	-0.001583098	0.001086581	5.410903E-06	0.06558805	0	0
4.235884	0.05790887	0.4608008	0	0	0.04777938	-0.03279402	0	0
4.25272	0.05788264	0.4608188	-0.001557898	0.001067362	-0.04663824	0.03195325	0	0
4.269017	0.05788264	0.4608188	0	0	0.0470188	-0.03221399	0	0
4.285743	0.05785641	0.4608008	-0.001567979	-0.001074422	-0.04748159	-0.03253568	0	0
4.30215	0.05785641	0.4608008	0	0	0.04732442	0.03242799	0	0
4.318766	0.05783018	0.4607828	-0.001578552	-0.001083307	-0.04780177	-0.03280474	0	0
