Time	Message
0.01656634	Jogo executando - Esperando jogador ler
0.06695697	Jogo executando - Esperando jogador iniciar
0.3320247	Big Time Step Reading0.01654053
0.3320247	Jogo executando - Esperando jogador iniciar
0.8008376	Big Time Step Reading0.0168457
0.8008376	Jogo executando - Esperando jogador iniciar
1.391679	Big Time Step Reading0
1.391679	Jogo executando - Esperando jogador iniciar
1.557345	Big Time Step Reading0.01660156
1.557345	Jogo executando - Esperando jogador iniciar
1.792791	Jogo executando - Esperando jogador escolher
2.1571	Big Time Step Reading0.08282471
2.1571	Jogo executando - Esperando jogador escolher
2.405599	Big Time Step Reading0
2.405599	Jogo executando - Esperando jogador escolher
3.485791	Big Time Step Reading0.01660156
3.485791	Jogo executando - Esperando jogador escolher
3.502358	Big Time Step Reading0.01660156
3.502358	Jogo executando - Esperando jogador escolher
3.519008	Big Time Step Reading0
3.519008	Jogo executando - Esperando jogador escolher
3.572546	Big Time Step Reading0.02044678
3.572546	Jogo executando - Esperando jogador escolher
3.821046	Big Time Step Reading0
3.821046	Jogo executando - Esperando jogador escolher
4.318074	Jogo executando - Escolha certa
4.702345	Big Time Step Reading0.03314209
4.702345	Jogo executando - Escolha certa
4.967065	Big Time Step Reading0.01660156
4.967065	Jogo executando - Escolha certa
5.497198	Jogo executando - Turno terminando
5.513919	Big Time Step Reading0.04968262
5.513919	Jogo executando - Turno terminando
5.636125	Big Time Step Reading0.01660156
5.636125	Jogo executando - Turno terminando
5.851491	Big Time Step Reading0.01654053
5.851491	Jogo executando - Turno terminando
6.265658	Big Time Step Reading0.01660156
6.265658	Jogo executando - Turno terminando
6.315486	Big Time Step Reading0.01660156
6.315486	Jogo executando - Turno terminando
6.331997	Big Time Step Reading0.01660156
6.331997	Jogo executando - Turno terminando
6.348509	Big Time Step Reading0.01660156
6.348509	Jogo executando - Turno terminando
6.365058	Big Time Step Reading0.01660156
6.365058	Jogo executando - Turno terminando
6.69754	Jogo executando - Novo turno
6.714107	Jogo executando - Esperando jogador ler
6.731017	Jogo executando - Esperando jogador iniciar
7.095485	Big Time Step Reading0.0166626
7.095485	Jogo executando - Esperando jogador iniciar
7.112051	Big Time Step Reading0.0166626
7.112051	Jogo executando - Esperando jogador iniciar
7.128617	Big Time Step Reading0.0166626
7.128617	Jogo executando - Esperando jogador iniciar
7.145185	Big Time Step Reading0.04962158
7.145185	Jogo executando - Esperando jogador iniciar
7.161751	Big Time Step Reading0.04962158
7.161751	Jogo executando - Esperando jogador iniciar
7.178318	Big Time Step Reading0.04962158
7.178318	Jogo executando - Esperando jogador iniciar
7.194884	Big Time Step Reading0.04962158
7.194884	Jogo executando - Esperando jogador iniciar
7.211451	Big Time Step Reading0.04962158
7.211451	Jogo executando - Esperando jogador iniciar
7.228018	Big Time Step Reading0
7.228018	Jogo executando - Esperando jogador iniciar
7.975917	Big Time Step Reading0.08312988
7.975917	Jogo executando - Esperando jogador iniciar
8.191312	Big Time Step Reading0.01654053
8.191312	Jogo executando - Esperando jogador iniciar
8.277499	Big Time Step Reading0
8.277499	Jogo executando - Esperando jogador iniciar
8.509447	Big Time Step Reading0.01660156
8.509447	Jogo executando - Esperando jogador iniciar
8.973298	Big Time Step Reading0.01672363
8.973298	Jogo executando - Esperando jogador iniciar
8.989873	Big Time Step Reading0.01672363
8.989873	Jogo executando - Esperando jogador iniciar
9.006431	Big Time Step Reading0.01672363
9.006431	Jogo executando - Esperando jogador iniciar
9.022998	Big Time Step Reading0.01672363
9.022998	Jogo executando - Esperando jogador iniciar
9.039564	Big Time Step Reading0.06616211
9.039564	Jogo executando - Esperando jogador iniciar
9.292078	Big Time Step Reading0
9.292078	Jogo executando - Esperando jogador iniciar
9.441192	Jogo executando - Esperando jogador escolher
9.805638	Big Time Step Reading0
9.805638	Jogo executando - Esperando jogador escolher
10.60433	Big Time Step Reading0.01660156
10.60433	Jogo executando - Esperando jogador escolher
10.6209	Big Time Step Reading0.01660156
10.6209	Jogo executando - Esperando jogador escolher
10.63747	Big Time Step Reading0.01660156
10.63747	Jogo executando - Esperando jogador escolher
10.65404	Big Time Step Reading0.01660156
10.65404	Jogo executando - Esperando jogador escolher
10.6706	Big Time Step Reading0.01660156
10.6706	Jogo executando - Esperando jogador escolher
10.68717	Big Time Step Reading0.01660156
10.68717	Jogo executando - Esperando jogador escolher
10.70373	Big Time Step Reading0.01660156
10.70373	Jogo executando - Esperando jogador escolher
11.56823	Big Time Step Reading0.01660156
11.56823	Jogo executando - Esperando jogador escolher
11.7339	Jogo executando - Escolha certa
12.17961	Big Time Step Reading0.09527588
12.17961	Jogo executando - Escolha certa
12.36158	Big Time Step Reading0.01660156
12.36158	Jogo executando - Escolha certa
12.47755	Big Time Step Reading0
12.47755	Jogo executando - Escolha certa
12.79231	Big Time Step Reading0
12.79231	Jogo executando - Escolha certa
12.87514	Jogo executando - Turno terminando
13.01119	Big Time Step Reading0
13.01119	Jogo executando - Turno terminando
13.24286	Big Time Step Reading0
13.24286	Jogo executando - Turno terminando
13.773	Big Time Step Reading0
13.773	Jogo executando - Turno terminando
14.00817	Jogo executando - Novo turno
14.02473	Jogo executando - Esperando jogador ler
14.04204	Jogo executando - Esperando jogador iniciar
14.20771	Big Time Step Reading0.01660156
