Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01656634	-0.01363073	0.2186194	0.0002222694	-0.003564914	-3.625413E-06	5.814695E-05	0	0
0.06695697	-0.01360442	0.2186014	0.0005221367	-0.0003566298	-4.893803E-06	-5.235888E-05	0	0
0.0835245	-0.01363073	0.2186194	-0.001588094	0.0010847	-0.03151566	0.02152583	0	0
0.1000912	-0.01363073	0.2186194	0	0	0.04792906	-0.03273651	0	0
0.116658	-0.01363073	0.2186194	0	0	0	0	0	0
0.1336179	-0.01363073	0.2186194	0	0	0	0	0	0
0.1497914	-0.01363073	0.2186194	0	0	0	0	0	0
0.1666392	-0.01363073	0.2186194	0	0	0	0	0	0
0.1829249	-0.01363073	0.2186194	0	0	0	0	0	0
0.1994916	-0.01363073	0.2186194	0	0	0	0	0	0
0.216058	-0.01363073	0.2186194	0	0	0	0	0	0
0.2326247	-0.01360442	0.2186014	0.00158817	-0.001084752	0.04793306	-0.03273925	0	0
0.2492045	-0.01360442	0.2186014	0	0	-0.04791365	0.03272599	0	0
0.2657586	-0.01360442	0.2186014	0	0	0	0	0	0
0.2823249	-0.01360442	0.2186014	0	0	0	0	0	0
0.3485914	-0.01360442	0.2186014	0	0	0	0	0	0
0.3651586	-0.01357811	0.2185834	0.001588131	-0.001085625	0.01917254	-0.01310609	0	0
0.3817979	-0.01357811	0.2185834	0	0	-0.04782588	0.03269312	0	0
0.3983074	-0.01360442	0.2185654	-0.001593676	-0.001089415	-0.0480763	-0.03286431	0	0
0.4148608	-0.01360442	0.2185654	0	0	0.04820145	0.03294986	0	0
0.4318305	-0.01360442	0.2185654	0	0	0	0	0	0
0.4479938	-0.01357811	0.2185474	0.001627812	-0.00111275	0.04912953	-0.03358428	0	0
0.4811277	-0.01357811	0.2185474	0	0	-0.0330204	0.0225723	0	0
0.4983774	-0.01357811	0.2185474	0	0	0	0	0	0
0.5142612	-0.01357811	0.2185474	0	0	0	0	0	0
0.5357695	-0.01357811	0.2185474	0	0	0	0	0	0
0.5524163	-0.01357811	0.2185474	0	0	0	0	0	0
0.5689057	-0.01357811	0.2185474	0	0	0	0	0	0
0.5854732	-0.01357811	0.2185474	0	0	0	0	0	0
0.60204	-0.01357811	0.2185474	0	0	0	0	0	0
0.6186063	-0.01357811	0.2185474	0	0	0	0	0	0
0.6351731	-0.01357811	0.2185474	0	0	0	0	0	0
0.6517386	-0.0135518	0.2185295	0.001588283	-0.001085729	0.04793757	-0.03276948	0	0
0.6683062	-0.01357811	0.2185115	-0.001588094	-0.0010856	-0.0958672	3.893032E-06	0	0
0.6848721	-0.0135518	0.2184935	0.001588248	-0.001085705	0.09586515	-3.183257E-06	0	0
