	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.394134	Basic	2.506112	5	1	3.394134	0	0	1	2	0	1	2	0	1	1	1	38	0.5135676	0	1.377682	189.0761	-53.99998	180.2315	-61.83278
1	8.388689	Basic	2.561159	5	1	4.994555	38	0	7	1	1	7	1	1	1	1	1	39	0.5327018	0	0.8774837	189.0761	-144	174.7164	-157.3293
2	13.51666	Basic	2.686208	5	1	5.127973	38	0	2	1	1	2	1	1	1	1	1	38	0.4675176	0	1.250607	189.0761	-18	169.1039	-20.9411
3	19.0167	Basic	2.665704	5	1	5.500043	38	0	3	1	1	3	1	1	1	1	1	37	0.4804345	0	1.576525	189.0761	-108	141.0066	-98.70995
4	25.33313	Basic	2.614713	5	1	6.316423	38	0	7	3	1	7	3	1	1	1	1	36	0.4804345	0	2.320708	189.0761	1.001791E-05	157.5952	10.34906
5	31.25107	Basic	2.509699	5	1	5.917946	37	0	8	2	0	8	2	0	1	1	1	37	0.5135671	0	1.671132	189.0761	90	154.4541	77.10809
6	37.80621	Basic	2.493822	5	1	6.555132	37	0	2	3	1	2	3	1	1	1	1	36	0.5166404	0	2.16953	189.0761	126	168.3731	130.5666
7	43.70277	Basic	2.446881	5	1	5.896564	37	0	6	3	1	6	3	1	1	1	1	38	0.5112338	0	1.231156	189.0761	-36	171.4428	-29.36781
8	49.24095	Basic	2.470324	5	1	5.538177	37	0	7	2	0	7	2	0	1	1	1	39	0.5188896	0	0.9215934	189.0761	126	161.5973	127.1261
9	55.20892	Basic	2.505754	5	1	5.967976	37	0	1	0	0	1	0	0	1	1	1	37	0.5013317	0	1.712971	189.0761	90	155.3755	102.2792
10	60.25826	Basic	2.494531	5	1	5.049332	37	0	7	2	0	7	2	0	1	1	1	39	0.5138194	0	0.8542087	189.0761	-162	157.6391	-175.7567
