Time	Message
0.01656397	Jogo executando - Esperando jogador ler
0.07870215	Big Time Step Reading0.0456543
0.07870215	Jogo executando - Esperando jogador ler
0.1118356	Big Time Step Reading0.01696777
0.1118356	Jogo executando - Esperando jogador ler
0.3641061	Big Time Step Reading0.01660156
0.3641061	Jogo executando - Esperando jogador ler
0.6126059	Big Time Step Reading0
0.6126059	Jogo executando - Esperando jogador ler
0.9108064	Big Time Step Reading0.01660156
0.9108064	Jogo executando - Esperando jogador ler
0.9273727	Big Time Step Reading0
0.9273727	Jogo executando - Esperando jogador ler
1.128886	Big Time Step Reading0.01660156
1.128886	Jogo executando - Esperando jogador ler
1.277986	Big Time Step Reading0.01660156
1.277986	Jogo executando - Esperando jogador ler
1.576186	Big Time Step Reading0
1.576186	Jogo executando - Esperando jogador ler
1.592752	Big Time Step Reading0.01660156
1.592752	Jogo executando - Esperando jogador ler
1.692153	Jogo executando - Esperando jogador iniciar
2.143187	Big Time Step Reading0
2.143187	Jogo executando - Esperando jogador iniciar
2.159755	Big Time Step Reading0.01660156
2.159755	Jogo executando - Esperando jogador iniciar
2.474521	Big Time Step Reading0
2.474521	Jogo executando - Esperando jogador iniciar
2.491088	Big Time Step Reading0
2.491088	Jogo executando - Esperando jogador iniciar
2.507654	Big Time Step Reading0
2.507654	Jogo executando - Esperando jogador iniciar
2.859031	Big Time Step Reading0.01672363
2.859031	Jogo executando - Esperando jogador iniciar
2.975129	Big Time Step Reading0.01672363
2.975129	Jogo executando - Esperando jogador iniciar
3.455432	Big Time Step Reading0.01660156
3.455432	Jogo executando - Esperando jogador iniciar
3.571399	Big Time Step Reading0
3.571399	Jogo executando - Esperando jogador iniciar
3.789072	Big Time Step Reading0
3.789072	Jogo executando - Esperando jogador iniciar
3.838772	Jogo executando - Esperando jogador escolher
4.770407	Big Time Step Reading0.01940918
4.770407	Jogo executando - Esperando jogador escolher
4.820107	Big Time Step Reading0.03308105
4.820107	Jogo executando - Esperando jogador escolher
5.134874	Big Time Step Reading0.01660156
5.134874	Jogo executando - Esperando jogador escolher
5.15144	Big Time Step Reading0.01660156
5.15144	Jogo executando - Esperando jogador escolher
5.168007	Big Time Step Reading0.01660156
5.168007	Jogo executando - Esperando jogador escolher
5.201141	Big Time Step Reading0
5.201141	Jogo executando - Esperando jogador escolher
5.499341	Big Time Step Reading0
5.499341	Jogo executando - Esperando jogador escolher
5.767476	Big Time Step Reading0
5.767476	Jogo executando - Esperando jogador escolher
6.015975	Big Time Step Reading0.01696777
6.015975	Jogo executando - Esperando jogador escolher
6.131942	Big Time Step Reading0
6.131942	Jogo executando - Esperando jogador escolher
6.165075	Big Time Step Reading0
6.165075	Jogo executando - Esperando jogador escolher
6.181642	Big Time Step Reading0.01660156
6.181642	Jogo executando - Esperando jogador escolher
6.550373	Big Time Step Reading0
6.550373	Jogo executando - Esperando jogador escolher
6.583509	Big Time Step Reading0.0168457
6.583509	Jogo executando - Esperando jogador escolher
6.716043	Big Time Step Reading0.03320313
6.716043	Jogo executando - Esperando jogador escolher
6.91484	Jogo executando - Escolha certa
7.295872	Big Time Step Reading0.01660156
7.295872	Jogo executando - Escolha certa
7.345572	Big Time Step Reading0
7.345572	Jogo executando - Escolha certa
7.830156	Big Time Step Reading0.01696777
7.830156	Jogo executando - Escolha certa
7.847074	Big Time Step Reading0.01696777
7.847074	Jogo executando - Escolha certa
7.91299	Big Time Step Reading0
7.91299	Jogo executando - Escolha certa
7.995823	Big Time Step Reading0
7.995823	Jogo executando - Escolha certa
8.144921	Jogo executando - Turno terminando
8.227841	Big Time Step Reading0.01660156
8.227841	Jogo executando - Turno terminando
8.277456	Big Time Step Reading0.01660156
8.277456	Jogo executando - Turno terminando
8.681627	Big Time Step Reading0.08288574
8.681627	Jogo executando - Turno terminando
9.244887	Jogo executando - Novo turno
9.261564	Jogo executando - Esperando jogador ler
9.290364	Jogo executando - Esperando jogador iniciar
9.373199	Big Time Step Reading0.1121826
9.373199	Jogo executando - Esperando jogador iniciar
9.522299	Big Time Step Reading0.01660156
9.522299	Jogo executando - Esperando jogador iniciar
9.538865	Big Time Step Reading0.01660156
9.538865	Jogo executando - Esperando jogador iniciar
9.555431	Big Time Step Reading0.03308105
9.555431	Jogo executando - Esperando jogador iniciar
9.605131	Big Time Step Reading0
9.605131	Jogo executando - Esperando jogador iniciar
10.41888	Big Time Step Reading0
10.41888	Jogo executando - Esperando jogador iniciar
10.50169	Big Time Step Reading0
10.50169	Jogo executando - Esperando jogador iniciar
10.73364	Big Time Step Reading0.01660156
10.73364	Jogo executando - Esperando jogador iniciar
10.76675	Big Time Step Reading0.01696777
10.76675	Jogo executando - Esperando jogador iniciar
11.11487	Jogo executando - Esperando jogador escolher
11.23459	Big Time Step Reading0.01660156
11.23459	Jogo executando - Esperando jogador escolher
11.25115	Big Time Step Reading0.01660156
11.25115	Jogo executando - Esperando jogador escolher
11.26772	Big Time Step Reading0.01660156
11.26772	Jogo executando - Esperando jogador escolher
11.28428	Big Time Step Reading0.01660156
11.28428	Jogo executando - Esperando jogador escolher
11.31742	Big Time Step Reading0.08288574
11.31742	Jogo executando - Esperando jogador escolher
12.07948	Big Time Step Reading0.08300781
12.07948	Jogo executando - Esperando jogador escolher
12.09606	Big Time Step Reading0.08300781
12.09606	Jogo executando - Esperando jogador escolher
12.11262	Big Time Step Reading0.08300781
12.11262	Jogo executando - Esperando jogador escolher
12.6298	Big Time Step Reading0.01672363
12.6298	Jogo executando - Esperando jogador escolher
12.66293	Big Time Step Reading0.01660156
12.66293	Jogo executando - Esperando jogador escolher
12.7789	Big Time Step Reading0.01647949
12.7789	Jogo executando - Esperando jogador escolher
12.81203	Big Time Step Reading0.01647949
12.81203	Jogo executando - Esperando jogador escolher
12.94466	Big Time Step Reading0
12.94466	Jogo executando - Esperando jogador escolher
13.3122	Jogo executando - Escolha certa
13.34533	Big Time Step Reading0.01672363
13.34533	Jogo executando - Escolha certa
13.3619	Big Time Step Reading0.01647949
13.3619	Jogo executando - Escolha certa
13.39503	Big Time Step Reading0.03308105
13.39503	Jogo executando - Escolha certa
13.5607	Big Time Step Reading0.01660156
13.5607	Jogo executando - Escolha certa
13.6601	Big Time Step Reading0.01660156
13.6601	Jogo executando - Escolha certa
14.16025	Big Time Step Reading0.01660156
14.16025	Jogo executando - Escolha certa
14.19338	Big Time Step Reading0.01660156
14.19338	Jogo executando - Escolha certa
14.50814	Big Time Step Reading0.01672363
14.50814	Jogo executando - Turno terminando
14.67381	Big Time Step Reading0.01647949
14.67381	Jogo executando - Turno terminando
14.7239	Big Time Step Reading0.08288574
14.7239	Jogo executando - Turno terminando
15.09751	Big Time Step Reading0.01660156
15.09751	Jogo executando - Turno terminando
15.19691	Big Time Step Reading0
15.19691	Jogo executando - Turno terminando
15.21348	Big Time Step Reading0
15.21348	Jogo executando - Turno terminando
15.37936	Big Time Step Reading0
15.37936	Jogo executando - Turno terminando
15.41238	Big Time Step Reading0
15.41238	Jogo executando - Turno terminando
15.57794	Jogo executando - Novo turno
15.59451	Jogo executando - Esperando jogador ler
15.61115	Jogo executando - Esperando jogador iniciar
15.66085	Big Time Step Reading0
15.66085	Jogo executando - Esperando jogador iniciar
15.91329	Big Time Step Reading0.01660156
15.91329	Jogo executando - Esperando jogador iniciar
15.94676	Big Time Step Reading0
15.94676	Jogo executando - Esperando jogador iniciar
15.96327	Big Time Step Reading0.01660156
15.96327	Jogo executando - Esperando jogador iniciar
16.01269	Big Time Step Reading0.01647949
16.01269	Jogo executando - Esperando jogador iniciar
16.06239	Big Time Step Reading0
16.06239	Jogo executando - Esperando jogador iniciar
16.12866	Big Time Step Reading0.0168457
16.12866	Jogo executando - Esperando jogador iniciar
16.19493	Big Time Step Reading0.01660156
16.19493	Jogo executando - Esperando jogador iniciar
16.42686	Big Time Step Reading0.01660156
