	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.46695	CountSuits	2.335415	6	1	3.46695	0	0	0	2	0	0	2	0	1	1	1	38	0.5371121	0	1.152249	189.0761	24	149.9569	18.79553
1	9.829471	CountSuits	2.673876	6	1	6.362521	38	0	9	0	0	9	0	0	1	1	1	36	0.4804341	0	2.337086	189.0761	-120	133.1049	-113.7178
2	15.89862	CountSuits	2.377666	6	1	6.069147	37	0	8	0	0	8	0	0	1	1	1	38	0.53275	0	1.47383	189.0761	-138	137.5842	-136.0969
3	22.14417	CountSuits	2.422806	6	1	6.245555	37	0	1	0	0	1	0	0	1	1	1	37	0.5301343	0	1.526501	189.0761	18	157.5806	9.646581
4	28.39983	CountSuits	2.438792	6	1	6.255657	37	0	0	2	0	0	2	0	1	1	1	38	0.516692	0	1.373569	189.0761	84	132.6019	81.99999
5	35.12054	CountSuits	2.463676	6	1	6.720707	37	0	4	0	0	4	0	0	1	1	1	36	0.5135671	0	2.084777	189.0761	18	153.6847	23.45343
6	41.28579	CountSuits	2.420999	6	1	6.165257	37	0	8	1	1	8	1	1	1	1	1	38	0.5178835	0	1.455465	189.0761	48.00001	158.9824	55.08937
7	48.61477	CountSuits	2.435466	6	1	7.328976	37	0	6	2	0	6	2	0	1	1	1	35	0.5175748	0	2.739891	189.0761	42	142.1169	43.48207
8	54.55976	CountSuits	2.36604	6	1	5.944992	37	0.62727	9	3	1	9	3	1	1	1	1	38	0.530135	0	1.22478	189.0761	150	157.1491	149.4532
9	60.71131	CountSuits	2.396214	6	1	6.151546	37	0	0	3	1	0	3	1	1	1	1	37	0.5350293	0	1.659466	189.0761	-6.000011	161.7726	-0.1071811
