Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.09410791	0.03926928	0.1346316	-0.0006412692	-0.002198541	1.047478E-05	3.591196E-05	0	0
0.1106758	0.03926928	0.1346316	0	0	-1.047479E-05	-3.591199E-05	0	0
0.1272422	0.03926928	0.1346316	0	0	0	0	0	0
0.1438089	0.03926928	0.1346316	0	0	0	0	0	0
0.1603756	0.039243	0.1346134	-0.001585977	-0.001099143	-0.04786631	-0.0331732	0	0
0.1771232	0.039243	0.1346134	0	0	0.04760654	0.03299316	0	0
0.1935087	0.039243	0.1346134	0	0	0	0	0	0
0.2101465	0.03926928	0.1345952	0.001579205	-0.001095345	0.04782088	-0.03316883	0	0
0.2266651	0.03926928	0.1345952	0	0	-0.04762901	0.03303574	0	0
0.2432093	0.03926928	0.1345952	0	0	0	0	0	0
0.2693023	0.03926928	0.1345952	0	0	0	0	0	0
0.2858698	0.03926928	0.1345952	0	0	0	0	0	0
0.3027129	0.03926928	0.1345952	0	0	0	0	0	0
0.3190037	0.03926928	0.1345952	0	0	0	0	0	0
0.3357461	0.03926928	0.1345952	0	0	0	0	0	0
0.3522469	0.03926928	0.1345952	0	0	0	0	0	0
0.3687031	0.03929555	0.134577	0.001596629	-0.001106525	0.0484458	-0.0335748	0	0
0.3852722	0.03929555	0.134577	0	0	-0.0483456	0.03350535	0	0
0.4018366	0.03929555	0.134577	0	0	0	0	0	0
0.4184033	0.03926928	0.1345588	-0.001585979	-0.001099144	-0.0478698	-0.03317561	0	0
0.4349697	0.03929555	0.1345405	0.001586016	-0.001100069	0.09573504	-2.792585E-05	0	0
0.4515364	0.03929555	0.1345405	0	0	-0.04786808	0.03320157	0	0
0.4681027	0.03932182	0.1345223	0.001586016	-0.00109917	0.04786808	-0.03317442	0	0
0.4848416	0.0393481	0.1345041	0.001569892	-0.001087841	-0.0004841388	0.0003401593	0	0
0.5053488	0.03937438	0.1344495	0.001281231	-0.002664553	-0.007750104	-0.04233229	0	0
0.5219167	0.03947948	0.1343766	0.006343447	-0.004398052	0.1365393	-0.04675634	0	0
0.5384839	0.0396634	0.1342491	0.01110159	-0.007696528	0.1435985	-0.09954643	0	0
0.5550502	0.03992614	0.1340305	0.01585993	-0.01319454	0.1436114	-0.1659353	0	0
0.5719031	0.0409245	0.1333383	0.05923999	-0.04107588	1.298056	-0.8342899	0	0
