Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01672622	0.001789472	0.2510788	-2.713298E-05	-0.003806998	4.115089E-07	5.773835E-05	0	0
0.04584304	0.001789472	0.2510788	0	0	-4.115873E-07	-5.774935E-05	0	0
0.06241017	0.001789472	0.2510788	0	0	0	0	0	0
0.07927139	0.001789472	0.2510788	0	0	0	0	0	0
0.09554403	0.001789472	0.2510788	0	0	0	0	0	0
0.1122939	0.001789472	0.2510788	0	0	0	0	0	0
0.1286775	0.001789472	0.2510788	0	0	0	0	0	0
0.1452435	0.001789472	0.2510788	0	0	0	0	0	0
0.1618106	0.001789472	0.2510788	0	0	0	0	0	0
0.1783773	0.001789472	0.2510788	0	0	0	0	0	0
0.1949441	0.001789472	0.2510788	0	0	0	0	0	0
0.2118653	0.001789472	0.2510788	0	0	0	0	0	0
0.2280775	0.001789472	0.2510788	0	0	0	0	0	0
0.2446435	0.001789472	0.2510788	0	0	0	0	0	0
0.2612106	0.001789472	0.2510788	0	0	0	0	0	0
0.2779112	0.001815788	0.2510608	0.001575743	-0.00107249	0.04736556	-0.0322382	0	0
0.2944226	0.001815788	0.2510608	0	0	-0.04744494	0.03229222	0	0
0.3109357	0.001789472	0.2510429	-0.001593637	-0.001086474	-0.04825616	-0.03289901	0	0
0.3937445	0.001789472	0.2510429	0	0	0.01604518	0.01093892	0	0
0.4600106	0.001789472	0.2510429	0	0	0	0	0	0
0.4765773	0.001789472	0.2510429	0	0	0	0	0	0
0.4931441	0.001789472	0.2510429	0	0	0	0	0	0
0.5097128	0.001789472	0.2510429	0	0	0	0	0	0
0.5265886	0.001789472	0.2510429	0	0	0	0	0	0
0.5428438	0.001789472	0.2510429	0	0	0	0	0	0
0.5594106	0.001789472	0.2510429	0	0	0	0	0	0
0.5761226	0.001789472	0.2510429	0	0	0	0	0	0
0.5926337	0.001789472	0.2510429	0	0	0	0	0	0
0.6259685	0.001789472	0.2510429	0	0	0	0	0	0
0.6425356	0.001789472	0.2510429	0	0	0	0	0	0
0.6591817	0.001789472	0.2510429	0	0	0	0	0	0
0.6756927	0.001789472	0.2510429	0	0	0	0	0	0
0.6922366	0.001789472	0.2510429	0	0	0	0	0	0
0.7088025	0.001789472	0.2510429	0	0	0	0	0	0
0.7253693	0.001789472	0.2510429	0	0	0	0	0	0
0.7585039	0.001763156	0.2510608	-0.0007942046	0.0005414575	-0.01597952	0.01089421	0	0
0.7752629	0.001763156	0.2510608	0	0	0.01591796	-0.01085224	0	0
0.7916386	0.001763156	0.2510608	0	0	0	0	0	0
0.8082033	0.001763156	0.2510608	0	0	0	0	0	0
0.8247693	0.001763156	0.2510608	0	0	0	0	0	0
0.8413439	0.001763156	0.2510608	0	0	0	0	0	0
0.8579078	0.001763156	0.2510608	0	0	0	0	0	0
0.8744754	0.001763156	0.2510608	0	0	0	0	0	0
0.8910405	0.001763156	0.2510608	0	0	0	0	0	0
0.9076096	0.001763156	0.2510608	0	0	0	0	0	0
