Time	Message
0.01656713	Jogo executando - Esperando jogador ler
0.05793758	Jogo executando - Esperando jogador iniciar
0.07450471	Big Time Step Reading0.04138184
0.07450471	Jogo executando - Esperando jogador iniciar
0.09107144	Big Time Step Reading0
0.09107144	Jogo executando - Esperando jogador iniciar
0.1407717	Big Time Step Reading0.0168457
0.1407717	Jogo executando - Esperando jogador iniciar
0.2898719	Big Time Step Reading0.01660156
0.2898719	Jogo executando - Esperando jogador iniciar
0.3230049	Big Time Step Reading0.01660156
0.3230049	Jogo executando - Esperando jogador iniciar
0.356138	Big Time Step Reading0
0.356138	Jogo executando - Esperando jogador iniciar
0.7371728	Big Time Step Reading0
0.7371728	Jogo executando - Esperando jogador iniciar
0.9531151	Big Time Step Reading0.01672363
0.9531151	Jogo executando - Esperando jogador iniciar
0.9695674	Big Time Step Reading0
0.9695674	Jogo executando - Esperando jogador iniciar
1.814467	Big Time Step Reading0.03320313
1.814467	Jogo executando - Esperando jogador iniciar
1.835547	Big Time Step Reading0.03320313
1.835547	Jogo executando - Esperando jogador iniciar
2.017781	Big Time Step Reading0.01660156
2.017781	Jogo executando - Esperando jogador iniciar
2.080376	Jogo executando - Esperando jogador ler
2.362012	Big Time Step Reading0
2.362012	Jogo executando - Esperando jogador ler
2.378579	Big Time Step Reading0
2.378579	Jogo executando - Esperando jogador ler
2.395145	Big Time Step Reading0.01660156
2.395145	Jogo executando - Esperando jogador ler
2.594278	Jogo executando - Esperando jogador iniciar
2.610511	Big Time Step Reading0.01696777
2.610511	Jogo executando - Esperando jogador iniciar
2.942317	Big Time Step Reading0
2.942317	Jogo executando - Esperando jogador iniciar
2.958884	Big Time Step Reading0
2.958884	Jogo executando - Esperando jogador iniciar
3.074851	Big Time Step Reading0
3.074851	Jogo executando - Esperando jogador iniciar
3.257084	Big Time Step Reading0.01672363
3.257084	Jogo executando - Esperando jogador iniciar
3.472452	Big Time Step Reading0
3.472452	Jogo executando - Esperando jogador iniciar
3.522151	Big Time Step Reading0.01647949
3.522151	Jogo executando - Esperando jogador iniciar
3.655036	Big Time Step Reading0
3.655036	Jogo executando - Esperando jogador iniciar
4.019503	Big Time Step Reading0.0168457
4.019503	Jogo executando - Esperando jogador iniciar
4.118904	Jogo executando - Esperando jogador escolher
4.417105	Big Time Step Reading0.04980469
4.417105	Jogo executando - Esperando jogador escolher
4.433671	Big Time Step Reading0.01647949
4.433671	Jogo executando - Esperando jogador escolher
4.516506	Big Time Step Reading0.01660156
4.516506	Jogo executando - Esperando jogador escolher
4.765988	Big Time Step Reading0.01660156
4.765988	Jogo executando - Esperando jogador escolher
4.799121	Big Time Step Reading0.01660156
4.799121	Jogo executando - Esperando jogador escolher
4.91509	Big Time Step Reading0
4.91509	Jogo executando - Esperando jogador escolher
5.213287	Big Time Step Reading0.01696777
5.213287	Jogo executando - Esperando jogador escolher
5.229854	Big Time Step Reading0.01696777
5.229854	Jogo executando - Esperando jogador escolher
5.246652	Big Time Step Reading0.01696777
5.246652	Jogo executando - Esperando jogador escolher
5.262987	Big Time Step Reading0.01696777
5.262987	Jogo executando - Esperando jogador escolher
5.279674	Big Time Step Reading0.06591797
5.279674	Jogo executando - Esperando jogador escolher
5.34582	Big Time Step Reading0
5.34582	Jogo executando - Esperando jogador escolher
5.378953	Big Time Step Reading0.01660156
5.378953	Jogo executando - Esperando jogador escolher
5.448273	Big Time Step Reading0
5.448273	Jogo executando - Esperando jogador escolher
5.796172	Big Time Step Reading0.01660156
5.796172	Jogo executando - Esperando jogador escolher
5.845872	Jogo executando - Escolha certa
5.879005	Big Time Step Reading0
5.879005	Jogo executando - Escolha certa
6.309741	Big Time Step Reading0
6.309741	Jogo executando - Escolha certa
6.70922	Big Time Step Reading0.01660156
6.70922	Jogo executando - Escolha certa
6.742353	Big Time Step Reading0.01696777
6.742353	Jogo executando - Escolha certa
6.85832	Jogo executando - Turno terminando
6.874887	Big Time Step Reading0
6.874887	Jogo executando - Turno terminando
7.073687	Big Time Step Reading0
7.073687	Jogo executando - Turno terminando
7.189654	Big Time Step Reading0.01660156
7.189654	Jogo executando - Turno terminando
7.241201	Big Time Step Reading0.03491211
7.241201	Jogo executando - Turno terminando
7.440001	Big Time Step Reading0
7.440001	Jogo executando - Turno terminando
7.669954	Big Time Step Reading0
7.669954	Jogo executando - Turno terminando
7.68652	Big Time Step Reading0.01660156
7.68652	Jogo executando - Turno terminando
8.017853	Big Time Step Reading0.0168457
8.017853	Jogo executando - Turno terminando
8.133819	Big Time Step Reading0.01660156
8.133819	Jogo executando - Turno terminando
8.234262	Jogo executando - Novo turno
8.250648	Jogo executando - Esperando jogador ler
8.273721	Jogo executando - Esperando jogador iniciar
8.621617	Big Time Step Reading0.01660156
8.621617	Jogo executando - Esperando jogador iniciar
8.654751	Big Time Step Reading0.0168457
8.654751	Jogo executando - Esperando jogador iniciar
8.737611	Big Time Step Reading0.01660156
8.737611	Jogo executando - Esperando jogador iniciar
8.75415	Big Time Step Reading0
8.75415	Jogo executando - Esperando jogador iniciar
8.836983	Big Time Step Reading0.0168457
8.836983	Jogo executando - Esperando jogador iniciar
8.969516	Big Time Step Reading0
8.969516	Jogo executando - Esperando jogador iniciar
9.35124	Big Time Step Reading0.01660156
9.35124	Jogo executando - Esperando jogador iniciar
9.367808	Big Time Step Reading0.01660156
9.367808	Jogo executando - Esperando jogador iniciar
9.400941	Big Time Step Reading0
9.400941	Jogo executando - Esperando jogador iniciar
9.715797	Big Time Step Reading0.01660156
9.715797	Jogo executando - Esperando jogador iniciar
9.732272	Big Time Step Reading0
9.732272	Jogo executando - Esperando jogador iniciar
9.765406	Big Time Step Reading0.01660156
9.765406	Jogo executando - Esperando jogador iniciar
10.13059	Jogo executando - Esperando jogador ler
10.49501	Big Time Step Reading0.01660156
10.49501	Jogo executando - Esperando jogador ler
10.62755	Jogo executando - Esperando jogador iniciar
11.17587	Big Time Step Reading0.01660156
11.17587	Jogo executando - Esperando jogador iniciar
11.22586	Big Time Step Reading0.03320313
11.22586	Jogo executando - Esperando jogador iniciar
11.83879	Big Time Step Reading0.01660156
11.83879	Jogo executando - Esperando jogador iniciar
11.85532	Big Time Step Reading0
11.85532	Jogo executando - Esperando jogador iniciar
11.88845	Big Time Step Reading0.01660156
11.88845	Jogo executando - Esperando jogador iniciar
12.48485	Big Time Step Reading0.08288574
12.48485	Jogo executando - Esperando jogador iniciar
12.55111	Big Time Step Reading0.01660156
12.55111	Jogo executando - Esperando jogador escolher
12.58425	Big Time Step Reading0.01660156
12.58425	Jogo executando - Esperando jogador escolher
12.66708	Big Time Step Reading0
12.66708	Jogo executando - Esperando jogador escolher
12.75004	Big Time Step Reading0
12.75004	Jogo executando - Esperando jogador escolher
12.7666	Big Time Step Reading0
12.7666	Jogo executando - Esperando jogador escolher
12.83287	Big Time Step Reading0.01660156
12.83287	Jogo executando - Esperando jogador escolher
13.02913	Big Time Step Reading0
