	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	3.437432	MultiSuits	2.298913	4	1	3.437432	0	0	9	2	0	9	2	0	1	1	1	38	0.5504308	0	1.292129	189.0761	-180	182.73	172.8621
1	9.515686	MultiSuits	2.603935	4	1	6.078255	38	0.9173381	0	2	0	0	2	0	1	1	1	36	0.4836659	0	2.185729	189.0761	72	135.5121	73.99702
2	15.89585	MultiSuits	2.380535	4	1	6.380169	37	0	2	0	0	2	0	0	1	1	1	37	0.533269	0	1.99852	189.0761	-71.99999	147.5352	-74.12262
3	21.32558	MultiSuits	2.33727	4	1	5.429729	37	0	9	2	0	9	2	0	1	1	1	39	0.5354142	0	0.8805436	189.0761	-126	145.6384	-128.483
4	26.61346	MultiSuits	2.455385	4	1	5.28788	37	0	4	2	0	4	2	0	1	1	1	38	0.5171934	0	1.137697	189.0761	-180	178.3425	-177.9138
5	32.02988	MultiSuits	2.500538	4	1	5.416416	37	0	0	3	1	0	3	1	1	1	1	38	0.50046	0	1.051777	189.0761	-18	180.1971	-31.94889
6	37.8891	MultiSuits	2.5378	4	1	5.859219	37	0	6	2	0	6	2	0	1	1	1	37	0.5013428	0	1.842802	189.0761	90	156.8423	91.5568
7	44.07378	MultiSuits	2.507914	4	1	6.184681	37	0	5	0	0	5	0	0	1	1	1	37	0.5135676	0	1.934061	189.0761	-71.99999	184.2616	-74.09324
8	50.30809	MultiSuits	2.479796	4	1	6.23431	37	0	3	3	1	3	3	1	1	1	1	37	0.5156834	0	1.930276	189.0761	-108	147.3499	-112.0789
9	55.80465	MultiSuits	2.458137	4	1	5.496555	37	0	1	3	1	1	3	1	1	1	1	38	0.5135683	0	1.258027	189.0761	-36	141.9435	-38.84146
10	61.66402	MultiSuits	2.474422	4	1	5.859371	37	0.2871197	2	3	1	2	3	1	1	1	1	37	0.5200171	0	1.740276	189.0761	144	176.1242	141.1622
