Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.0165016	0.01518304	0.1822996	-0.0002431263	-0.002919166	3.894215E-06	4.675702E-05	0	0
0.0479992	0.01518304	0.1822996	0	0	-3.895149E-06	-4.676824E-05	0	0
0.0645679	0.01518304	0.1822996	0	0	0	0	0	0
0.08113346	0.01518304	0.1822996	0	0	0	0	0	0
0.09770019	0.01518304	0.1822996	0	0	0	0	0	0
0.1142697	0.01518304	0.1822996	0	0	0	0	0	0
0.1308348	0.01518304	0.1822996	0	0	0	0	0	0
0.1475934	0.01515673	0.1822815	-0.001569933	-0.001078558	-0.04711153	-0.03236604	0	0
0.1639675	0.01515673	0.1822815	0	0	0.0473832	0.03255268	0	0
0.1806176	0.01515673	0.1822815	0	0	0	0	0	0
0.1971002	0.01515673	0.1822815	0	0	0	0	0	0
0.2136673	0.01515673	0.1822815	0	0	0	0	0	0
0.2302341	0.01518304	0.1822635	0.001588114	-0.001090149	0.04793023	-0.03290134	0	0
0.2468004	0.01515673	0.1822454	-0.001588152	-0.001091075	-0.0958639	-2.794692E-05	0	0
0.2633668	0.01515673	0.1822454	0	0	0.04793311	0.03293047	0	0
0.2799335	0.01515673	0.1822454	0	0	0	0	0	0
0.2967011	0.01515673	0.1822093	0	-0.002155061	0	-0.06464982	0	0
0.3333625	0.01513042	0.1821912	-0.0007176445	-0.0004930281	-0.01343172	0.03110729	0	0
0.3499297	0.01513042	0.1821912	0	0	0.01348232	0.009262473	0	0
0.3664964	0.01513042	0.1821912	0	0	0	0	0	0
0.3832613	0.01513042	0.1821912	0	0	0	0	0	0
0.3996295	0.01510411	0.1821731	-0.001607379	-0.001103373	-0.04851279	-0.03330124	0	0
0.4161958	0.0150778	0.1821551	-0.001588152	-0.001091075	0.0005837783	0.0003734182	0	0
0.432763	0.0150778	0.1821189	0	-0.002181144	0.04793195	-0.03289933	0	0
0.4493293	0.0150515	0.1821008	-0.001588096	-0.001091075	-0.04793025	0.03289933	0	0
0.4658968	0.01502519	0.1820828	-0.001588038	-0.001090996	1.749715E-06	2.368089E-06	0	0
0.4824628	0.01499888	0.1820286	-0.001588189	-0.003272401	-4.567583E-06	-0.06583688	0	0
0.4990295	0.01497257	0.1820105	-0.001588115	-0.00109015	2.241684E-06	0.06586403	0	0
0.5158536	0.01494626	0.1819563	-0.001563817	-0.003222184	0.0007276696	-0.06385084	0	0
0.5323651	0.01494626	0.1819563	0	0	0.04691138	0.09665903	0	0
0.5488789	0.01494626	0.1819201	0	-0.002189088	0	-0.06628526	0	0
0.5652961	0.01494626	0.181884	0	-0.002201072	0	-0.0003638994	0	0
0.5819015	0.01491995	0.1818659	-0.001584469	-0.001088505	-0.04798137	0.03369107	0	0
0.5984299	0.01494626	0.1818479	0.001591851	-0.001092675	0.09586324	-0.000125853	0	0
0.6149963	0.01494626	0.1818117	0	-0.002182149	-0.04809979	-0.03291982	0	0
0.6315626	0.01491995	0.1817937	-0.001588208	-0.001090175	-0.04793481	0.03295762	0	0
0.6481293	0.01491995	0.1817575	0	-0.002182094	0.04793421	-0.03295555	0	0
0.6646961	0.01491995	0.1817214	0	-0.002181195	0	2.714548E-05	0	0
0.6812632	0.01489364	0.1817033	-0.001588078	-0.001091024	-0.04792915	0.03290202	0	0
0.6978295	0.01486733	0.1816852	-0.001588152	-0.001091075	-2.241631E-06	-1.538926E-06	0	0
0.7144938	0.01484102	0.1816672	-0.001578819	-0.001083769	0.0002808561	0.0002198574	0	0
0.7309631	0.01484102	0.1816672	0	0	0.04765023	0.03270914	0	0
0.7480177	0.0147884	0.181631	-0.003085355	-0.002119666	-0.09203443	-0.06322847	0	0
0.7640961	0.0147884	0.181631	0	0	0.09312004	0.06397429	0	0
0.7806625	0.01473578	0.1815949	-0.003176361	-0.00218125	-0.09730081	-0.06681778	0	0
0.7975529	0.01468316	0.1815587	-0.003115362	-0.002140281	0.001823215	0.001224526	0	0
0.8140643	0.01463053	0.1814864	-0.003186921	-0.004377906	-0.002142376	-0.06699105	0	0
0.830363	0.0145516	0.1814322	-0.004842746	-0.003326056	-0.05046685	0.03205867	0	0
0.8469298	0.01444636	0.1813238	-0.006352505	-0.006545383	-0.04593754	-0.09795471	0	0
0.8636007	0.01439374	0.1812877	-0.00315643	-0.002167563	0.09615814	0.1317125	0	0
0.8800629	0.01436743	0.1812696	-0.00159826	-0.00109798	0.0470276	0.03228141	0	0
0.8966296	0.01434112	0.1812515	-0.001588112	-0.001091047	0.0003072438	0.0002099035	0	0
0.9131964	0.01431481	0.1812334	-0.001588168	-0.001091047	-1.697031E-06	0	0	0
0.9297631	0.01431481	0.1812334	0	0	0.0479324	0.03292881	0	0
0.9463295	0.01431481	0.1812334	0	0	0	0	0	0
0.9631698	0.01431481	0.1811973	0	-0.002145767	0	-0.0642318	0	0
0.9796816	0.01431481	0.1811973	0	0	0	0.06433672	0	0
0.9961931	0.01431481	0.1811612	0	-0.002189404	0	-0.06629878	0	0
1.012598	0.0142885	0.1811431	-0.001603876	-0.001101838	-0.0487264	0.03304071	0	0
1.029163	0.01431481	0.181125	0.001588283	-0.001090226	0.09681989	0.00035219	0	0
1.046228	0.0142885	0.1811069	-0.001541773	-0.001059174	-0.09307097	0.0009233202	0	0
1.062297	0.0142885	0.1811069	0	0	0.0465323	0.03196697	0	0
1.078863	0.01426219	0.1810889	-0.001588146	-0.001091071	-0.04866465	-0.03343305	0	0
1.09543	0.01426219	0.1810527	0	-0.002182094	0.04793225	-0.03292846	0	0
1.111998	0.01423588	0.1810346	-0.001587986	-0.001090921	-0.04792412	0.03293071	0	0
1.128564	0.01420957	0.1810166	-0.001588283	-0.001090226	-8.966316E-06	2.098582E-05	0	0
1.14513	0.01420957	0.1810166	0	0	0.04793878	0.03290605	0	0
1.167738	0.01418326	0.1809985	-0.001163715	-0.0007994822	-0.02970597	-0.02040826	0	0
1.184307	0.01418326	0.1809985	0	0	0.02970416	0.02040702	0	0
1.200873	0.01415695	0.1809804	-0.001588168	-0.001091047	-0.04793015	-0.03292727	0	0
1.21744	0.01415695	0.1809804	0	0	0.04793292	0.03292917	0	0
1.234007	0.01415695	0.1809804	0	0	0	0	0	0
1.250574	0.01415695	0.1809804	0	0	0	0	0	0
1.26714	0.01415695	0.1809804	0	0	0	0	0	0
1.283898	0.01415695	0.1809804	0	0	0	0	0	0
1.30041	0.01413064	0.1809624	-0.001593443	-0.001094671	-0.04789462	-0.03290286	0	0
1.316924	0.01413064	0.1809624	0	0	0.04824799	0.03314562	0	0
1.333408	0.01415695	0.1809443	0.001596162	-0.001096539	0.04837154	-0.0332305	0	0
1.349975	0.01413064	0.1809262	-0.001588134	-0.001091024	-0.09634524	0.0001668727	0	0
1.366541	0.01413064	0.1808901	0	-0.002181305	0.04793205	-0.03290617	0	0
1.418865	0.01407802	0.1807455	-0.001005659	-0.002763254	-0.01459795	-0.008447459	0	0
1.435433	0.01407802	0.1807093	0	-0.002182	0.01459762	0.008437173	0	0
1.452	0.0140254	0.1806732	-0.003176337	-0.002182094	-0.09586272	-2.838865E-06	0	0
1.468567	0.0140254	0.1806732	0	0	0.09586135	0.06585526	0	0
1.485133	0.01399909	0.180619	-0.001588226	-0.003273377	-0.04793415	-0.09879356	0	0
1.5017	0.01394646	0.1805828	-0.003176337	-0.002182094	-0.04793237	0.03293711	0	0
1.518563	0.01394646	0.1805467	0	-0.002142908	0.09501597	0.001172215	0	0
1.534833	0.01392015	0.1805286	-0.001617072	-0.001110904	-0.04880492	0.03114695	0	0
1.5514	0.01384122	0.1804382	-0.004764608	-0.005455353	-0.09585324	-0.1323034	0	0
1.568097	0.01376229	0.180384	-0.004727123	-0.00324746	0.001126897	0.06637453	0	0
1.584608	0.01326238	0.1800406	-0.03027717	-0.02079979	-0.7693746	-0.5285438	0	0
1.60112	0.01234148	0.1794079	-0.05577191	-0.03831527	-0.7720298	-0.5304025	0	0
1.618133	0.01192049	0.1791187	-0.02474621	-0.01700126	0.9254696	0.6357785	0	0
1.634233	0.01147318	0.1787752	-0.02778274	-0.02133528	-0.09170344	-0.1308875	0	0
1.650801	0.01147318	0.1787752	0	0	0.8504544	0.6530918	0	0
1.667367	0.01147318	0.1787752	0	0	0	0	0	0
1.683933	0.01147318	0.1787752	0	0	0	0	0	0
1.700692	0.01147318	0.1787752	0	0	0	0	0	0
1.717067	0.01147318	0.1787752	0	0	0	0	0	0
1.733633	0.01147318	0.1787752	0	0	0	0	0	0
1.7502	0.01147318	0.1787752	0	0	0	0	0	0
1.766767	0.01147318	0.1787752	0	0	0	0	0	0
1.783333	0.01149949	0.1787571	0.001588315	-0.001091071	0.04793734	-0.03292988	0	0
1.7999	0.01149949	0.1787571	0	0	-0.04793734	0.03292988	0	0
1.816774	0.01149949	0.1787571	0	0	0	0	0	0
1.833033	0.01149949	0.1787571	0	0	0	0	0	0
1.8496	0.01149949	0.1787571	0	0	0	0	0	0
1.866166	0.01149949	0.1787571	0	0	0	0	0	0
1.882733	0.01149949	0.1787571	0	0	0	0	0	0
1.8993	0.01149949	0.1787571	0	0	0	0	0	0
1.915866	0.01149949	0.1787571	0	0	0	0	0	0
1.932433	0.01149949	0.1787571	0	0	0	0	0	0
1.9987	0.01147318	0.1787752	-0.0003970688	0.0002727608	-0.004793548	0.00329286	0	0
2.015266	0.01147318	0.1787752	0	0	0.004793589	-0.003292889	0	0
2.031834	0.01147318	0.1787752	0	0	0	0	0	0
2.0484	0.01147318	0.1787752	0	0	0	0	0	0
2.064967	0.01144687	0.1787933	-0.001588235	0.001091915	-0.04793441	0.03295501	0	0
2.081543	0.01144687	0.1787933	0	0	0.04791993	-0.03294506	0	0
2.117487	0.01126268	0.1789198	-0.005124305	0.003520519	-0.09756858	0.06703193	0	0
2.134044	0.01094693	0.1791729	-0.01907024	0.01528616	-0.2656319	0.2241033	0	0
2.150611	0.009894414	0.1799683	-0.06353191	0.04800967	-1.342281	0.9879103	0	0
2.167178	0.0008157893	0.1862015	-0.5480027	0.3762476	-14.62178	9.906525	0	0
2.184032	-0.01084168	0.1941971	-0.6916522	0.4743928	-4.298147	2.93661	0	0
2.200311	-0.02893929	0.2065977	-1.111749	0.7617756	-12.67908	8.673603	0	0
2.216878	-0.04318366	0.2163172	-0.859817	0.5866847	7.670258	-5.33078	0	0
2.233444	-0.06079341	0.2283433	-1.062957	0.7259205	-6.130967	4.202266	0	0
2.250011	-0.07242573	0.2362804	-0.7021482	0.4790956	10.88956	-7.449404	0	0
2.266578	-0.07935929	0.2410001	-0.4185227	0.2848928	8.560081	-5.86122	0	0
2.283145	-0.08897499	0.2475648	-0.5804046	0.3962465	-4.885676	3.360708	0	0
2.299712	-0.1027422	0.2569569	-0.8310154	0.5669236	-7.563557	5.151119	0	0
2.316278	-0.1101315	0.2620085	-0.4460447	0.3049317	11.61894	-7.907271	0	0
2.333138	-0.1174309	0.2670044	-0.4329526	0.2963275	0.3916746	-0.2574127	0	0
2.349411	-0.1246141	0.2719629	-0.4413984	0.3046885	-0.254903	0.2523467	0	0
2.365978	-0.1341887	0.2785835	-0.5779591	0.399646	-4.158361	2.891515	0	0
2.382545	-0.1414181	0.283592	-0.4363766	0.3023199	4.273152	-2.937433	0	0
2.399111	-0.1484009	0.2884381	-0.4215098	0.2925332	0.4486994	-0.2953767	0	0
2.415678	-0.15691	0.2943557	-0.5136223	0.3571942	-2.780082	1.95156	0	0
2.432244	-0.1628861	0.2984845	-0.3607301	0.2492247	4.614431	-3.258622	0	0
2.448812	-0.1689528	0.3026841	-0.3661864	0.253488	-0.1646765	0.1286698	0	0
2.465378	-0.17064	0.3038635	-0.1018481	0.07119085	7.977977	-5.501897	0	0
2.481945	-0.1706656	0.3038456	-0.001542577	-0.001079354	3.027357	-2.181213	0	0
2.498511	-0.1706656	0.3038456	0	0	0.04655707	0.03257638	0	0
2.515078	-0.1706911	0.3038278	-0.001542577	-0.001077555	-0.04655707	-0.03252209	0	0
2.531644	-0.1707167	0.3037741	-0.001542577	-0.003236264	0	-0.06515183	0	0
2.548211	-0.1707423	0.3037205	-0.001542577	-0.003236264	0	0	0	0
2.564802	-0.1707423	0.3036491	0	-0.004307433	0.04652192	-0.03230496	0	0
2.581345	-0.1707678	0.3035597	-0.001544822	-0.005401023	-0.0466235	-0.03300508	0	0
2.597911	-0.1707678	0.3034168	0	-0.00862801	0.04665909	-0.09746639	0	0
2.614478	-0.1709211	0.3032381	-0.009255461	-0.01078635	-0.2793444	-0.06514198	0	0
2.631045	-0.1710234	0.3031666	-0.006170308	-0.004315617	0.0931128	0.1952926	0	0
2.647611	-0.1710234	0.3030951	0	-0.004313819	0.1862256	5.429095E-05	0	0
2.664178	-0.1710489	0.3030415	-0.001542577	-0.003236264	-0.04655641	0.03252161	0	0
2.680884	-0.1711256	0.3029879	-0.004588269	-0.003207507	-0.09153714	0.0008642714	0	0
2.697396	-0.1711256	0.3029879	0	0	0.1381283	0.09656096	0	0
2.713878	-0.1711511	0.3029701	-0.001550453	-0.001084865	-0.04699194	-0.03288066	0	0
2.730447	-0.1712789	0.3028807	-0.007711208	-0.00539263	-0.1864014	-0.1303368	0	0
2.747012	-0.1713555	0.3028271	-0.004627298	-0.003236589	0.09307529	0.06507129	0	0
2.796711	-0.1855767	0.2929256	-0.2861447	-0.1992274	-4.248396	-2.95771	0	0
2.886675	-0.2060342	0.2784761	-0.2273962	-0.1606137	0.4206431	0.2764767	0	0
2.903242	-0.2060342	0.2784404	0	-0.002160507	2.134556	1.487392	0	0
2.919809	-0.206362	0.278172	-0.01978456	-0.01619751	-0.5971164	-0.4236497	0	0
2.936376	-0.2077482	0.2770807	-0.08367092	-0.06587468	-1.928122	-1.499282	0	0
2.952942	-0.2165754	0.2703341	-0.5328488	-0.4072525	-13.5567	-10.30317	0	0
