Choice;Time;Mode;Speed;N cards;Match;Turn Time;Precision;Choice changed;Objective Value;Objective Suit;Objective Color;Choice Value;Choice Suit;Choice Color;Points Value;Points Suit;Points Color; Total;Time To Play;Time To Memorize;Time To Choose;Objective Pos Magnitude;Objective Pos Angle;Choice Pos Magnitude;Choice Pos Angle
0;14.67788;Basic;2;3;1;14.67788;0;0;0;0;0;0;0;0;1;1;1;37;3.0276;0;1.787593;189.0761;18;182.1117;26.39043
1;20.91716;Basic;2.356204;3;1;6.239281;37;0.5950797;5;3;1;5;3;1;1;1;1;37;0.5471514;0;1.815299;189.0761;30;189.5501;38.42676
2;26.58386;Basic;2.349277;3;1;5.666698;37;0;0;0;0;0;0;0;1;1;1;38;0.5326679;0;1.445727;189.0761;-77.99999;146.2783;-83.77178
3;32.12868;Basic;2.408564;3;1;5.544821;37;0;1;2;0;1;2;0;1;1;1;38;0.5301066;0;1.325554;189.0761;144;199.1586;141.0712
4;37.63687;Basic;2.453228;3;1;5.50819;37;0;3;1;1;3;1;1;1;1;1;38;0.5171444;0;1.35251;189.0761;90;156.8057;90.17685
5;43.1648;Basic;2.477332;3;1;5.527931;37;0;7;3;1;7;3;1;1;1;1;38;0.5166538;0;1.422696;189.0761;-47.99999;167.3344;-54.51343
6;48.88951;Basic;2.487552;3;1;5.724712;37;0;4;3;1;4;3;1;1;1;1;37;0.5175625;0;1.724383;189.0761;-65.99999;179.5714;-63.64428
7;54.2658;Basic;2.473303;3;1;5.376286;37;0;9;0;0;9;0;0;1;1;1;38;0.5141956;0;1.175194;189.0761;-132;148.4913;-138.0888
8;59.36443;Basic;2.49694;3;1;5.098633;37;0;3;1;1;3;1;1;1;1;1;39;0.5030683;0;0.9326526;189.0761;174;191.2246;168.5027
0;4.318074;Basic;2.5288;4;1;4.318074;0;0.3351456;3;0;0;3;0;0;1;1;1;36;0.5019488;0;2.047517;189.0761;108;168.954;112.7408
1;11.7339;Basic;2.226242;4;1;7.415822;36;0;0;1;1;0;1;1;1;1;1;37;1.662452;0;1.747804;189.0761;162;175.6796;155.9754
