Time	Message
0.01656752	Jogo executando - Esperando jogador ler
0.103569	Big Time Step Reading0
0.103569	Jogo executando - Esperando jogador ler
0.200846	Big Time Step Reading0.01660156
0.200846	Jogo executando - Esperando jogador ler
0.5156132	Big Time Step Reading0.01660156
0.5156132	Jogo executando - Esperando jogador ler
0.5487467	Big Time Step Reading0.01660156
0.5487467	Jogo executando - Esperando jogador ler
0.7144129	Big Time Step Reading0
0.7144129	Jogo executando - Esperando jogador ler
0.7309989	Big Time Step Reading0
0.7309989	Jogo executando - Esperando jogador ler
1.465516	Big Time Step Reading0.01660156
1.465516	Jogo executando - Esperando jogador ler
1.482074	Big Time Step Reading0.01660156
1.482074	Jogo executando - Esperando jogador ler
1.49864	Big Time Step Reading0.01660156
1.49864	Jogo executando - Esperando jogador ler
1.715738	Big Time Step Reading0
1.715738	Jogo executando - Esperando jogador ler
1.732305	Big Time Step Reading0
1.732305	Jogo executando - Esperando jogador ler
1.864838	Big Time Step Reading0.01660156
1.864838	Jogo executando - Esperando jogador ler
2.013938	Big Time Step Reading0
2.013938	Jogo executando - Esperando jogador ler
2.047074	Big Time Step Reading0.01660156
2.047074	Jogo executando - Esperando jogador ler
2.295601	Big Time Step Reading0.01660156
2.295601	Jogo executando - Esperando jogador ler
2.312137	Big Time Step Reading0.01660156
2.312137	Jogo executando - Esperando jogador ler
2.345271	Big Time Step Reading0.01660156
2.345271	Jogo executando - Esperando jogador ler
2.594933	Big Time Step Reading0.01708984
2.594933	Jogo executando - Esperando jogador ler
2.628067	Big Time Step Reading0.01660156
2.628067	Jogo executando - Esperando jogador ler
2.8103	Big Time Step Reading0.01708984
2.8103	Jogo executando - Esperando jogador ler
2.843434	Big Time Step Reading0
2.843434	Jogo executando - Esperando jogador ler
2.86	Big Time Step Reading0
2.86	Jogo executando - Esperando jogador ler
2.876568	Big Time Step Reading0
2.876568	Jogo executando - Esperando jogador ler
2.893133	Big Time Step Reading0.01660156
2.893133	Jogo executando - Esperando jogador ler
2.9097	Big Time Step Reading0.01660156
2.9097	Jogo executando - Esperando jogador ler
3.058801	Big Time Step Reading0.01660156
3.058801	Jogo executando - Esperando jogador ler
3.075366	Big Time Step Reading0.01660156
3.075366	Jogo executando - Esperando jogador ler
3.325874	Big Time Step Reading0
3.325874	Jogo executando - Esperando jogador ler
3.359008	Big Time Step Reading0.01660156
3.359008	Jogo executando - Esperando jogador ler
3.474975	Big Time Step Reading0
3.474975	Jogo executando - Esperando jogador ler
3.491543	Big Time Step Reading0.01660156
3.491543	Jogo executando - Esperando jogador ler
3.60752	Big Time Step Reading0
3.60752	Jogo executando - Esperando jogador ler
3.624076	Big Time Step Reading0
3.624076	Jogo executando - Esperando jogador ler
3.640642	Big Time Step Reading0.01660156
3.640642	Jogo executando - Esperando jogador ler
3.65721	Big Time Step Reading0.01660156
3.65721	Jogo executando - Esperando jogador ler
3.673777	Big Time Step Reading0.01660156
3.673777	Jogo executando - Esperando jogador ler
3.690344	Big Time Step Reading0.01660156
3.690344	Jogo executando - Esperando jogador ler
3.8242	Big Time Step Reading0.01660156
3.8242	Jogo executando - Esperando jogador ler
4.404031	Big Time Step Reading0.01708984
4.404031	Jogo executando - Esperando jogador ler
4.836653	Big Time Step Reading0
4.836653	Jogo executando - Esperando jogador ler
4.936054	Big Time Step Reading0.04980469
4.936054	Jogo executando - Esperando jogador ler
4.952621	Big Time Step Reading0.04980469
4.952621	Jogo executando - Esperando jogador ler
4.969186	Big Time Step Reading0.03320313
4.969186	Jogo executando - Esperando jogador ler
5.264701	Big Time Step Reading0.06298828
5.264701	Jogo executando - Esperando jogador ler
5.863944	Big Time Step Reading0
5.863944	Jogo executando - Esperando jogador ler
6.461848	Big Time Step Reading0.01660156
6.461848	Jogo executando - Esperando jogador ler
6.494981	Big Time Step Reading0.01660156
6.494981	Jogo executando - Esperando jogador ler
6.511548	Big Time Step Reading0.01660156
6.511548	Jogo executando - Esperando jogador ler
6.528115	Big Time Step Reading0.01660156
6.528115	Jogo executando - Esperando jogador ler
6.644082	Big Time Step Reading0.01660156
6.644082	Jogo executando - Esperando jogador ler
6.726915	Big Time Step Reading0.01660156
6.726915	Jogo executando - Esperando jogador ler
6.859448	Big Time Step Reading0.01660156
6.859448	Jogo executando - Esperando jogador ler
6.909148	Jogo executando - Esperando jogador iniciar
6.958899	Big Time Step Reading0
6.958899	Jogo executando - Esperando jogador iniciar
6.975415	Big Time Step Reading0
6.975415	Jogo executando - Esperando jogador iniciar
7.091382	Big Time Step Reading0.01660156
7.091382	Jogo executando - Esperando jogador iniciar
7.124516	Big Time Step Reading0
7.124516	Jogo executando - Esperando jogador iniciar
7.162221	Big Time Step Reading0.03759766
7.162221	Jogo executando - Esperando jogador iniciar
7.592954	Big Time Step Reading0.03320313
7.592954	Jogo executando - Esperando jogador iniciar
7.609862	Big Time Step Reading0.03320313
7.609862	Jogo executando - Esperando jogador iniciar
7.626087	Big Time Step Reading0.03320313
7.626087	Jogo executando - Esperando jogador iniciar
7.642654	Big Time Step Reading0.03320313
7.642654	Jogo executando - Esperando jogador iniciar
7.65922	Big Time Step Reading0.03320313
7.65922	Jogo executando - Esperando jogador iniciar
7.742054	Big Time Step Reading0.01660156
7.742054	Jogo executando - Esperando jogador iniciar
8.041685	Big Time Step Reading0.01660156
8.041685	Jogo executando - Esperando jogador iniciar
8.091383	Big Time Step Reading0
8.091383	Jogo executando - Esperando jogador iniciar
8.124721	Big Time Step Reading0.01660156
8.124721	Jogo executando - Esperando jogador iniciar
8.141232	Big Time Step Reading0
8.141232	Jogo executando - Esperando jogador iniciar
8.15765	Big Time Step Reading0
8.15765	Jogo executando - Esperando jogador iniciar
8.339892	Big Time Step Reading0.01660156
8.339892	Jogo executando - Esperando jogador iniciar
8.356448	Big Time Step Reading0.01660156
8.356448	Jogo executando - Esperando jogador iniciar
8.373015	Big Time Step Reading0.03320313
8.373015	Jogo executando - Esperando jogador iniciar
8.389582	Big Time Step Reading0.01660156
8.389582	Jogo executando - Esperando jogador iniciar
8.455864	Big Time Step Reading0.01660156
8.455864	Jogo executando - Esperando jogador iniciar
8.472463	Big Time Step Reading0.01660156
8.472463	Jogo executando - Esperando jogador iniciar
8.538681	Big Time Step Reading0.01660156
8.538681	Jogo executando - Esperando jogador iniciar
8.788527	Big Time Step Reading0
8.788527	Jogo executando - Esperando jogador iniciar
8.82166	Big Time Step Reading0.03320313
8.82166	Jogo executando - Esperando jogador iniciar
8.838226	Big Time Step Reading0.01660156
8.838226	Jogo executando - Esperando jogador iniciar
9.119857	Big Time Step Reading0.01660156
9.119857	Jogo executando - Esperando jogador iniciar
9.419026	Big Time Step Reading0.01660156
9.419026	Jogo executando - Esperando jogador iniciar
9.468727	Big Time Step Reading0.03320313
9.468727	Jogo executando - Esperando jogador iniciar
9.485292	Big Time Step Reading0.03320313
9.485292	Jogo executando - Esperando jogador iniciar
9.717225	Jogo executando - Esperando jogador escolher
9.816625	Big Time Step Reading0.01660156
9.816625	Jogo executando - Esperando jogador escolher
9.849757	Big Time Step Reading0.01660156
9.849757	Jogo executando - Esperando jogador escolher
10.31529	Big Time Step Reading0
10.31529	Jogo executando - Esperando jogador escolher
10.33185	Big Time Step Reading0.01660156
10.33185	Jogo executando - Esperando jogador escolher
10.49752	Big Time Step Reading0
10.49752	Jogo executando - Esperando jogador escolher
10.70003	Big Time Step Reading0
10.70003	Jogo executando - Esperando jogador escolher
10.81576	Big Time Step Reading0
10.81576	Jogo executando - Esperando jogador escolher
10.98143	Big Time Step Reading0.01660156
10.98143	Jogo executando - Esperando jogador escolher
11.21639	Big Time Step Reading0.01660156
11.21639	Jogo executando - Esperando jogador escolher
11.68025	Big Time Step Reading0.01660156
11.68025	Jogo executando - Esperando jogador escolher
11.69682	Big Time Step Reading0.01660156
11.69682	Jogo executando - Esperando jogador escolher
11.72996	Big Time Step Reading0
11.72996	Jogo executando - Esperando jogador escolher
12.0471	Big Time Step Reading0.03320313
12.0471	Jogo executando - Esperando jogador escolher
12.06368	Big Time Step Reading0.03320313
12.06368	Jogo executando - Esperando jogador escolher
12.08023	Big Time Step Reading0.03320313
12.08023	Jogo executando - Esperando jogador escolher
12.12993	Jogo executando - Escolha certa
12.16306	Big Time Step Reading0.01660156
12.16306	Jogo executando - Escolha certa
12.21276	Big Time Step Reading0.01660156
12.21276	Jogo executando - Escolha certa
12.26246	Big Time Step Reading0.01708984
12.26246	Jogo executando - Escolha certa
12.59783	Big Time Step Reading0.03710938
12.59783	Jogo executando - Escolha certa
12.6144	Big Time Step Reading0.01660156
12.6144	Jogo executando - Escolha certa
