Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01663779	-0.006078872	0.01338578	0.0001005502	-0.0002214133	-1.663644E-06	3.663373E-06	0	0
0.04331857	-0.006078872	0.01338578	0	0	1.663928E-06	-3.663998E-06	0	0
0.05988847	-0.006078872	0.01338578	0	0	0	0	0	0
0.1095891	-0.006078872	0.01338578	0	0	0	0	0	0
0.1261562	-0.006078872	0.01338578	0	0	0	0	0	0
0.1427265	-0.006078872	0.01338578	0	0	0	0	0	0
0.1592889	-0.006078872	0.01338578	0	0	0	0	0	0
0.1758556	-0.006078872	0.01338578	0	0	0	0	0	0
0.1924219	-0.006078872	0.01338578	0	0	0	0	0	0
0.2103688	-0.006078872	0.01338578	0	0	0	0	0	0
0.2269359	-0.006078872	0.01338578	0	0	0	0	0	0
0.2435026	-0.006078872	0.01338578	0	0	0	0	0	0
0.2603054	-0.006078872	0.01338578	0	0	0	0	0	0
0.2768192	-0.006078872	0.01338578	0	0	0	0	0	0
0.2933449	-0.006078872	0.01338578	0	0	0	0	0	0
0.3097703	-0.006078872	0.01338578	0	0	0	0	0	0
0.3263359	-0.006105187	0.01340453	-0.001588536	0.001131829	-0.04815063	0.03430725	0	0
0.3429026	-0.006105187	0.01340453	0	0	0.04794525	-0.03416092	0	0
0.3598751	-0.006105187	0.01340453	0	0	0	0	0	0
0.3760372	-0.006105187	0.01340453	0	0	0	0	0	0
0.3926028	-0.006105187	0.01340453	0	0	0	0	0	0
0.4094099	-0.006105187	0.01340453	0	0	0	0	0	0
0.4257359	-0.006105187	0.01340453	0	0	0	0	0	0
0.4423026	-0.006105187	0.01340453	0	0	0	0	0	0
0.4588697	-0.006105187	0.01340453	0	0	0	0	0	0
0.4754605	-0.006105187	0.01340453	0	0	0	0	0	0
0.4920032	-0.006105187	0.01340453	0	0	0	0	0	0
0.5085691	-0.006105187	0.01340453	0	0	0	0	0	0
0.5251362	-0.006105187	0.01340453	0	0	0	0	0	0
0.5420054	-0.006105187	0.01340453	0	0	0	0	0	0
0.5582697	-0.006105187	0.01340453	0	0	0	0	0	0
0.5748392	-0.006105187	0.01340453	0	0	0	0	0	0
0.6079715	-0.006105187	0.01340453	0	0	0	0	0	0
0.6245655	-0.006105187	0.01340453	0	0	0	0	0	0
0.6411027	-0.006105187	0.01340453	0	0	0	0	0	0
