	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.101379	Basic	2.3219	7	1	4.101379	0	0	1	1	1	1	1	1	1	1	1	37	0.5492607	0	1.538117	189.0761	12.85713	206.8064	7.511891
1	11.3555	Basic	2.480942	7	1	7.254119	37	0	8	0	0	8	0	0	1	1	1	36	0.5644099	0	2.303357	189.0761	-123.4286	176.4273	-130.4474
2	18.59459	Basic	2.289631	7	1	7.239097	36	0	8	2	0	8	2	0	1	1	1	36	0.5525841	0	2.330618	189.0761	131.1428	161.813	130.4877
3	25.91398	Basic	2.221318	7	1	7.319382	36	1.255114	6	2	0	6	2	0	1	1	1	37	0.5632678	0	1.744286	189.0761	115.7143	168.7917	111.9918
4	32.0767	Basic	2.260453	7	1	6.162725	36	0	6	2	0	6	2	0	1	1	1	38	0.5683874	0	1.124909	189.0761	-174.8571	179.4878	174.9992
5	38.1265	Basic	2.345871	7	1	6.049797	36	0	7	0	0	7	0	0	1	1	1	38	0.5343989	0	1.293902	189.0761	131.1428	158.1973	134.0358
6	44.90308	Basic	2.388734	7	1	6.776577	37	0	6	2	0	6	2	0	1	1	1	36	0.5241415	0	2.003973	189.0761	-108	169.483	-122.0098
7	52.60677	Basic	2.368631	7	1	7.703697	36	0.5955808	0	1	1	0	1	1	1	1	1	36	0.5321251	0	2.484651	189.0761	-90	199.9061	-94.34819
8	60.73462	Basic	2.323512	7	1	8.12785	36	0	5	0	0	5	0	0	1	1	1	35	0.5498891	0	2.797031	189.0761	66.85715	149.2077	74.76236
