Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01656673	-0.01912924	-0.1223932	0.0003097891	0.0019821	-5.018236E-06	-3.210779E-05	0	0
0.04891227	-0.01915555	-0.1224128	-0.000813285	-0.0006074156	1.819719E-05	4.195797E-05	0	0
0.06548216	-0.01915555	-0.1224128	0	0	0.01662635	0.01241767	0	0
0.08212785	-0.01915555	-0.1224128	0	0	0	0	0	0
0.09861405	-0.01915555	-0.1224128	0	0	0	0	0	0
0.1151812	-0.01915555	-0.1224128	0	0	0	0	0	0
0.1317475	-0.01915555	-0.1224128	0	0	0	0	0	0
0.1486462	-0.01915555	-0.1224128	0	0	0	0	0	0
0.1648822	-0.01915555	-0.1224128	0	0	0	0	0	0
0.1816715	-0.01915555	-0.1224128	0	0	0	0	0	0
0.198183	-0.01915555	-0.1224128	0	0	0	0	0	0
0.2145808	-0.01915555	-0.1224128	0	0	0	0	0	0
0.2311467	-0.01915555	-0.1224128	0	0	0	0	0	0
0.2477186	-0.01915555	-0.1224128	0	0	0	0	0	0
0.2642822	-0.01915555	-0.1224128	0	0	0	0	0	0
0.2812437	-0.01915555	-0.1224128	0	0	0	0	0	0
0.2977567	-0.01918186	-0.1224325	-0.001593051	-0.001189797	-0.04758995	-0.03554336	0	0
0.3968176	-0.01918186	-0.1224325	0	0	0.01378383	0.01029468	0	0
0.4134057	-0.01918186	-0.1224325	0	0	0	0	0	0
0.4299491	-0.01918186	-0.1224325	0	0	0	0	0	0
0.4465167	-0.01918186	-0.1224325	0	0	0	0	0	0
0.4630798	-0.01918186	-0.1224325	0	0	0	0	0	0
0.4798834	-0.01918186	-0.1224718	0	-0.00233845	0	-0.07008321	0	0
0.4962133	-0.01918186	-0.1224325	0	0.002406285	0	0.1432007	0	0
0.5129076	-0.01918186	-0.1224325	0	0	0	-0.07286446	0	0
0.5299164	-0.01918186	-0.1224325	0	0	0	0	0	0
0.5459309	-0.01918186	-0.1224325	0	0	0	0	0	0
0.5705313	-0.01918186	-0.1224325	0	0	0	0	0	0
0.5871016	-0.01918186	-0.1224325	0	0	0	0	0	0
0.6036679	-0.01918186	-0.1224325	0	0	0	0	0	0
0.6202347	-0.01918186	-0.1224325	0	0	0	0	0	0
0.6368014	-0.01918186	-0.1224325	0	0	0	0	0	0
0.6533685	-0.01918186	-0.1224325	0	0	0	0	0	0
0.6699345	-0.01918186	-0.1224325	0	0	0	0	0	0
0.6865016	-0.01918186	-0.1224325	0	0	0	0	0	0
0.7030679	-0.01918186	-0.1224325	0	0	0	0	0	0
0.7196342	-0.01918186	-0.1224325	0	0	0	0	0	0
0.7365665	-0.01918186	-0.1224325	0	0	0	0	0	0
0.7530784	-0.01918186	-0.1224325	0	0	0	0	0	0
0.7693337	-0.01918186	-0.1224325	0	0	0	0	0	0
0.7861021	-0.01918186	-0.1224325	0	0	0	0	0	0
0.8026116	-0.01918186	-0.1224325	0	0	0	0	0	0
0.8190354	-0.01918186	-0.1224325	0	0	0	0	0	0
0.8356017	-0.01918186	-0.1224325	0	0	0	0	0	0
0.8521681	-0.01918186	-0.1224325	0	0	0	0	0	0
0.8687332	-0.01918186	-0.1224325	0	0	0	0	0	0
0.8853012	-0.01918186	-0.1224325	0	0	0	0	0	0
0.9018691	-0.01918186	-0.1224325	0	0	0	0	0	0
0.918435	-0.01918186	-0.1224325	0	0	0	0	0	0
0.9350014	-0.01918186	-0.1224325	0	0	0	0	0	0
0.9515657	-0.01915555	-0.1224521	0.001588116	-0.001186111	0.04793486	-0.03580096	0	0
0.9681321	-0.01918186	-0.1224718	-0.001587927	-0.00118597	-0.09586404	4.251722E-06	0	0
0.9846996	-0.01918186	-0.1224718	0	0	0.0479246	0.03579329	0	0
1.001266	-0.01915555	-0.1224914	0.001587967	-0.001186	0.04792641	-0.03579465	0	0
1.017833	-0.01915555	-0.1224914	0	0	-0.04792581	0.0357942	0	0
1.034399	-0.01915555	-0.1224914	0	0	0	0	0	0
1.084306	-0.01915555	-0.1224914	0	0	0	0	0	0
1.100666	-0.01915555	-0.1224914	0	0	0	0	0	0
1.117233	-0.01915555	-0.1224914	0	0	0	0	0	0
1.133799	-0.01915555	-0.1224914	0	0	0	0	0	0
1.150365	-0.01915555	-0.1224914	0	0	0	0	0	0
1.166932	-0.01915555	-0.1224914	0	0	0	0	0	0
1.183499	-0.01915555	-0.1224914	0	0	0	0	0	0
1.200066	-0.01915555	-0.1224914	0	0	0	0	0	0
1.216633	-0.01915555	-0.1224914	0	0	0	0	0	0
1.233199	-0.01915555	-0.1224914	0	0	0	0	0	0
1.249765	-0.01915555	-0.1224914	0	0	0	0	0	0
1.266332	-0.01915555	-0.1224914	0	0	0	0	0	0
1.282899	-0.01915555	-0.1224914	0	0	0	0	0	0
1.305548	-0.01915555	-0.1224914	0	0	0	0	0	0
1.322117	-0.01915555	-0.1224914	0	0	0	0	0	0
1.338985	-0.01915555	-0.1224914	0	0	0	0	0	0
1.355249	-0.01915555	-0.1224914	0	0	0	0	0	0
1.371817	-0.01915555	-0.1224914	0	0	0	0	0	0
1.388527	-0.01915555	-0.1224914	0	0	0	0	0	0
