Time	Message
0.01675701	Jogo executando - Esperando jogador ler
0.09126014	Jogo executando - Esperando jogador iniciar
0.2569318	Big Time Step Reading0.01660156
0.2569318	Jogo executando - Esperando jogador iniciar
0.2734954	Big Time Step Reading0.01660156
0.2734954	Jogo executando - Esperando jogador iniciar
0.3074764	Big Time Step Reading0.01757813
0.3074764	Jogo executando - Esperando jogador iniciar
0.3239737	Big Time Step Reading0.01660156
0.3239737	Jogo executando - Esperando jogador iniciar
0.4399183	Big Time Step Reading0.01660156
0.4399183	Jogo executando - Esperando jogador iniciar
0.7154694	Big Time Step Reading0
0.7154694	Jogo executando - Esperando jogador iniciar
1.080002	Big Time Step Reading0.01660156
1.080002	Jogo executando - Esperando jogador iniciar
1.096514	Big Time Step Reading0.01660156
1.096514	Jogo executando - Esperando jogador iniciar
1.535332	Jogo executando - Esperando jogador escolher
1.585033	Big Time Step Reading0.01660156
1.585033	Jogo executando - Esperando jogador escolher
1.601599	Big Time Step Reading0.01660156
1.601599	Jogo executando - Esperando jogador escolher
1.618164	Big Time Step Reading0.01660156
1.618164	Jogo executando - Esperando jogador escolher
1.883232	Big Time Step Reading0
1.883232	Jogo executando - Esperando jogador escolher
2.098599	Big Time Step Reading0.01660156
2.098599	Jogo executando - Esperando jogador escolher
2.143753	Big Time Step Reading0.04492188
2.143753	Jogo executando - Esperando jogador escolher
2.242916	Big Time Step Reading0
2.242916	Jogo executando - Esperando jogador escolher
2.259483	Big Time Step Reading0
2.259483	Jogo executando - Esperando jogador escolher
2.392014	Big Time Step Reading0.01660156
2.392014	Jogo executando - Esperando jogador escolher
2.690215	Big Time Step Reading0.01660156
2.690215	Jogo executando - Esperando jogador escolher
2.756689	Big Time Step Reading0.01660156
2.756689	Jogo executando - Esperando jogador escolher
3.226014	Big Time Step Reading0.01660156
3.226014	Jogo executando - Esperando jogador escolher
3.242535	Big Time Step Reading0.01660156
3.242535	Jogo executando - Esperando jogador escolher
3.27567	Big Time Step Reading0
3.27567	Jogo executando - Esperando jogador escolher
3.292238	Big Time Step Reading0
3.292238	Jogo executando - Esperando jogador escolher
3.308803	Big Time Step Reading0
3.308803	Jogo executando - Esperando jogador escolher
3.32537	Big Time Step Reading0.01660156
3.32537	Jogo executando - Esperando jogador escolher
3.408204	Big Time Step Reading0
3.408204	Jogo executando - Esperando jogador escolher
3.424769	Big Time Step Reading0.01660156
3.424769	Jogo executando - Esperando jogador escolher
3.474469	Jogo executando - Escolha certa
3.728744	Big Time Step Reading0.01757813
3.728744	Jogo executando - Escolha certa
3.778444	Big Time Step Reading0.01660156
3.778444	Jogo executando - Escolha certa
3.811579	Big Time Step Reading0.01660156
3.811579	Jogo executando - Escolha certa
3.993811	Big Time Step Reading0
3.993811	Jogo executando - Escolha certa
4.010377	Big Time Step Reading0
4.010377	Jogo executando - Escolha certa
4.04359	Big Time Step Reading0
4.04359	Jogo executando - Escolha certa
4.060101	Big Time Step Reading0.01660156
4.060101	Jogo executando - Escolha certa
4.076643	Big Time Step Reading0
