	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	4.405653	CountSuits	2.33417	8	1	4.405653	0	0	8	2	0	8	2	0	1	1	1	37	0.5396731	0	1.855271	189.0761	-80.99999	179.4554	-74.17257
1	11.84793	CountSuits	2.322365	8	1	7.44228	37	0	1	2	0	1	2	0	1	1	1	35	0.5526169	0	2.625237	189.0761	117	163.0074	120.1639
2	18.81312	CountSuits	2.129873	8	1	6.965187	36	0	8	3	1	8	3	1	1	1	1	38	0.5879562	0	1.386281	189.0761	153	176.7196	166.5131
3	25.93717	CountSuits	2.272202	8	1	7.124046	36	0.112928	9	2	0	9	2	0	1	1	1	37	1.011056	0	1.646486	189.0761	54	143.9005	45.70001
4	33.42216	CountSuits	2.310841	8	1	7.484995	36	0	8	0	0	8	0	0	1	1	1	36	0.556041	0	2.005004	189.0761	-62.99999	152.5098	-65.95464
5	41.55789	CountSuits	2.298172	8	1	8.135727	36	0	2	3	1	2	3	1	1	1	1	35	0.5467023	0	2.844069	189.0761	-90	164.9819	-80.61449
6	49.84152	CountSuits	2.219804	8	1	8.28363	36	0	2	3	1	2	3	1	1	1	1	35	0.5737166	0	2.697548	189.0761	-45.00001	206.4279	-45.47308
7	56.89758	CountSuits	2.174293	8	1	7.056061	36	0	1	0	0	1	0	0	1	1	1	38	0.5755036	0	1.471402	189.0761	-18	195.8422	-9.84177
8	64.23711	CountSuits	2.216794	8	1	7.339535	36	0	5	2	0	5	2	0	1	1	1	36	0.5768023	0	2.077597	189.0761	-71.99999	152.964	-74.29884
