Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01656555	-0.116107	0.03247673	0.001834564	-0.0005131529	-2.899487E-05	8.110263E-06	0	0
0.04357872	-0.116107	0.03247673	0	0	2.899965E-05	-8.111602E-06	0	0
0.0601494	-0.116081	0.03245808	0.00156694	-0.001125409	0.03595231	-0.02582171	0	0
0.07671535	-0.1160291	0.03242078	0.003134327	-0.002251462	0.04730071	-0.03398211	0	0
0.09334248	-0.1158474	0.03229024	0.01093045	-0.007851345	0.2348719	-0.1687063	0	0
0.1098587	-0.1153281	0.03191723	0.03144307	-0.02258446	0.6189064	-0.4445271	0	0
0.126414	-0.1132762	0.03044346	0.1239422	-0.08902101	2.796944	-2.008877	0	0
0.1429807	-0.1107814	0.02857707	0.1505876	-0.1126586	0.8044618	-0.7136515	0	0
0.1595498	-0.1034192	0.02321517	0.4443348	-0.3236081	8.864939	-6.366203	0	0
0.1764039	-0.09609783	0.01788264	0.4343957	-0.3163936	-0.2973729	0.2158525	0	0
0.1926805	-0.08795668	0.01192305	0.5001753	-0.3661449	1.985458	-1.501667	0	0
0.2092484	-0.07674371	0.003829226	0.676788	-0.488524	5.377239	-3.726013	0	0
0.2259372	-0.06849793	-0.002136184	0.4940931	-0.3574516	-5.493488	3.941239	0	0
0.2424478	-0.05887923	-0.009055961	0.5825744	-0.4191091	2.665147	-1.857188	0	0
0.2589585	-0.05688593	-0.01049077	0.1207283	-0.08690196	-13.98628	10.06037	0	0
0.275513	-0.04906585	-0.0161229	0.4723836	-0.3402174	10.63522	-7.661092	0	0
0.309496	-0.04793693	-0.01693641	0.03322016	-0.02393866	-8.689859	6.258302	0	0
0.3260303	-0.04793693	-0.01693641	0	0	-0.6575994	0.4738703	0	0
0.3425967	-0.04793693	-0.01693641	0	0	0	0	0	0
0.3591638	-0.04793693	-0.01693641	0	0	0	0	0	0
0.3757305	-0.04793693	-0.01693641	0	0	0	0	0	0
0.4030248	-0.04796319	-0.01695533	-0.0009619553	-0.0006932138	-0.02193192	-0.0158048	0	0
0.4195947	-0.0480157	-0.01695533	-0.003169105	0	-0.05031786	0.01580366	0	0
0.4365866	-0.04809446	-0.01701209	-0.004635379	-0.00334066	-0.04368882	-0.09953768	0	0
0.4527266	-0.04814697	-0.01704994	-0.003253279	-0.002344692	0.04171509	0.03006071	0	0
0.4692945	-0.04819948	-0.01708778	-0.003169481	-0.002284248	0.002562004	0.001847999	0	0
0.4858612	-0.04819948	-0.01708778	0	0	0.09565461	0.06893836	0	0
0.5024279	-0.04825199	-0.01704994	-0.003169484	0.002284412	-0.09565814	0.0689458	0	0
0.5190116	-0.0483045	-0.01701209	-0.003166468	0.002281964	9.098194E-05	-7.385171E-05	0	0
0.5355606	-0.0483045	-0.01701209	0	0	0.09556935	-0.06887352	0	0
0.5521692	-0.0483045	-0.01701209	0	0	0	0	0	0
0.5686949	-0.0483045	-0.01701209	0	0	0	0	0	0
0.5852616	-0.0483045	-0.01701209	0	0	0	0	0	0
0.601828	-0.04833075	-0.01703102	-0.001584667	-0.001142233	-0.04782731	-0.03447408	0	0
0.6187196	-0.04835701	-0.01704994	-0.001554373	-0.001120128	0.0009054233	0.0006606786	0	0
