Time	Message
0.01656516	Jogo executando - Esperando jogador ler
0.1271348	Jogo executando - Esperando jogador iniciar
0.1602694	Big Time Step Reading0
0.1602694	Jogo executando - Esperando jogador iniciar
0.2431051	Big Time Step Reading0
0.2431051	Jogo executando - Esperando jogador iniciar
0.2762385	Big Time Step Reading0
0.2762385	Jogo executando - Esperando jogador iniciar
0.2928053	Big Time Step Reading0
0.2928053	Jogo executando - Esperando jogador iniciar
0.3093712	Big Time Step Reading0
0.3093712	Jogo executando - Esperando jogador iniciar
0.4419043	Big Time Step Reading0
0.4419043	Jogo executando - Esperando jogador iniciar
0.4584694	Big Time Step Reading0
0.4584694	Jogo executando - Esperando jogador iniciar
0.4916033	Big Time Step Reading0.01660156
0.4916033	Jogo executando - Esperando jogador iniciar
0.7926851	Big Time Step Reading0
0.7926851	Jogo executando - Esperando jogador iniciar
0.8092514	Big Time Step Reading0
0.8092514	Jogo executando - Esperando jogador iniciar
0.8258182	Big Time Step Reading0
0.8258182	Jogo executando - Esperando jogador iniciar
0.8423901	Big Time Step Reading0
0.8423901	Jogo executando - Esperando jogador iniciar
0.941785	Big Time Step Reading0.03320313
0.941785	Jogo executando - Esperando jogador iniciar
1.090887	Big Time Step Reading0
1.090887	Jogo executando - Esperando jogador iniciar
1.107454	Big Time Step Reading0
1.107454	Jogo executando - Esperando jogador iniciar
1.124019	Big Time Step Reading0
1.124019	Jogo executando - Esperando jogador iniciar
1.157153	Big Time Step Reading0.01660156
1.157153	Jogo executando - Esperando jogador iniciar
1.289796	Big Time Step Reading0.01660156
1.289796	Jogo executando - Esperando jogador iniciar
1.339388	Big Time Step Reading0.01660156
1.339388	Jogo executando - Esperando jogador iniciar
1.753552	Big Time Step Reading0.01660156
1.753552	Jogo executando - Esperando jogador iniciar
1.770138	Big Time Step Reading0.01660156
1.770138	Jogo executando - Esperando jogador iniciar
1.786685	Big Time Step Reading0.03320313
1.786685	Jogo executando - Esperando jogador iniciar
1.803659	Big Time Step Reading0.03320313
1.803659	Jogo executando - Esperando jogador iniciar
1.819818	Big Time Step Reading0.03320313
1.819818	Jogo executando - Esperando jogador iniciar
1.836683	Big Time Step Reading0.03320313
1.836683	Jogo executando - Esperando jogador iniciar
1.852954	Big Time Step Reading0.03320313
1.852954	Jogo executando - Esperando jogador iniciar
1.86952	Big Time Step Reading0.03320313
1.86952	Jogo executando - Esperando jogador iniciar
2.548754	Big Time Step Reading0.1162109
2.548754	Jogo executando - Esperando jogador iniciar
2.681285	Big Time Step Reading0.01660156
2.681285	Jogo executando - Esperando jogador iniciar
2.697853	Big Time Step Reading0.01660156
2.697853	Jogo executando - Esperando jogador iniciar
2.813872	Big Time Step Reading0
2.813872	Jogo executando - Esperando jogador iniciar
2.866414	Jogo executando - Esperando jogador ler
3.03183	Big Time Step Reading0
3.03183	Jogo executando - Esperando jogador ler
3.247196	Big Time Step Reading0
3.247196	Jogo executando - Esperando jogador ler
3.263763	Big Time Step Reading0
3.263763	Jogo executando - Esperando jogador ler
3.28033	Big Time Step Reading0.01660156
3.28033	Jogo executando - Esperando jogador ler
3.363165	Big Time Step Reading0.01660156
3.363165	Jogo executando - Esperando jogador ler
3.810464	Big Time Step Reading0.01660156
3.810464	Jogo executando - Esperando jogador ler
3.82703	Big Time Step Reading0.01660156
3.82703	Jogo executando - Esperando jogador ler
3.893297	Big Time Step Reading0.01660156
3.893297	Jogo executando - Esperando jogador ler
3.910151	Jogo executando - Esperando jogador iniciar
3.942997	Big Time Step Reading0
3.942997	Jogo executando - Esperando jogador iniciar
3.976197	Big Time Step Reading0
3.976197	Jogo executando - Esperando jogador iniciar
4.042397	Big Time Step Reading0
4.042397	Jogo executando - Esperando jogador iniciar
4.058963	Big Time Step Reading0.01660156
4.058963	Jogo executando - Esperando jogador iniciar
4.259145	Big Time Step Reading0
4.259145	Jogo executando - Esperando jogador iniciar
4.49108	Big Time Step Reading0.04980469
4.49108	Jogo executando - Esperando jogador iniciar
4.623651	Big Time Step Reading0.01660156
4.623651	Jogo executando - Esperando jogador iniciar
5.037946	Big Time Step Reading0.01660156
5.037946	Jogo executando - Esperando jogador iniciar
5.087479	Big Time Step Reading0.01660156
5.087479	Jogo executando - Esperando jogador iniciar
5.203446	Big Time Step Reading0.03320313
5.203446	Jogo executando - Esperando jogador iniciar
5.319413	Jogo executando - Esperando jogador escolher
5.402245	Big Time Step Reading0.01660156
5.402245	Jogo executando - Esperando jogador escolher
5.783278	Big Time Step Reading0.01660156
5.783278	Jogo executando - Esperando jogador escolher
5.999125	Big Time Step Reading0.03320313
