	Game								Objective			Choice			Points				Time To			Objective Pos		Choice Pos	
Choice	Time	Mode	Speed	N cards	Match	Turn Time	Precision	Choice changed	Value	Suit	Color	Value	Suit	Color	Value	Suit	Color	Total	Play	Memorize	Choose	Magnitude	Angle	Magnitude	Angle
0	5.609958	MultiSuits	2.207139	3	1	5.609958	0	0	1	0	0	1	0	0	1	1	1	37	0.5828506	0	1.508401	189.0761	-36	205.1965	-41.74631
1	11.6753	MultiSuits	2.4958	3	1	6.065338	37	0	4	3	1	4	3	1	1	1	1	37	0.5166849	0	1.87795	189.0761	120	177.1946	120.3954
2	17.44562	MultiSuits	2.403412	3	1	5.770326	37	0	0	1	1	0	1	1	1	1	1	37	0.533885	0	1.641609	189.0761	-138	215.1075	-135.9193
3	22.71619	MultiSuits	2.412007	3	1	5.270573	37	0	3	2	0	3	2	0	1	1	1	38	0.530325	0	1.061558	189.0761	-102	156.3376	-101.6455
4	28.05663	MultiSuits	2.48881	3	1	5.340431	37	0	5	0	0	5	0	0	1	1	1	38	0.5135676	0	1.244009	189.0761	-36	162.1982	-37.50924
5	33.69252	MultiSuits	2.516647	3	1	5.635895	37	0	1	3	1	1	3	1	1	1	1	38	1.100452	0	1.10481	189.0761	-102	175.908	-103.4147
6	38.53876	MultiSuits	2.546805	3	1	4.846241	37	0	3	0	0	3	0	0	1	1	1	39	0.4998522	0	0.8438454	189.0761	0	203.187	-0.3874654
7	44.17332	MultiSuits	2.586987	3	1	5.634556	37	0	5	3	1	5	3	1	1	1	1	37	0.5000499	0	1.686365	189.0761	-138	167.2158	-140.8373
8	49.45228	MultiSuits	2.564466	3	1	5.278961	37	0	8	3	1	8	3	1	1	1	1	38	0.5034614	0	1.305514	189.0761	-120	189.5652	-126.6464
9	54.84935	MultiSuits	2.568108	3	1	5.397068	37	0	6	0	0	6	0	0	1	1	1	38	0.5028243	0	1.326011	189.0761	138	163.2248	142.3665
10	60.03175	MultiSuits	2.569996	3	1	5.1824	37	0	9	0	0	9	0	0	1	1	1	38	0.4970028	0	1.149087	189.0761	-18	183.2039	-11.30288
