Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.0163133	-0.03070088	-0.01829903	0.0004796657	0.0002859011	-7.496192E-06	-4.468049E-06	0	0
0.09386079	-0.03070088	-0.01829903	0	0	7.503313E-06	4.472293E-06	0	0
0.1104311	-0.03070088	-0.01829903	0	0	0	0	0	0
0.126997	-0.03070088	-0.01829903	0	0	0	0	0	0
0.1435641	-0.03070088	-0.01829903	0	0	0	0	0	0
0.1601317	-0.03070088	-0.01829903	0	0	0	0	0	0
0.1766968	-0.03070088	-0.01829903	0	0	0	0	0	0
0.2266576	-0.03070088	-0.01829903	0	0	0	0	0	0
0.2429638	-0.03070088	-0.01829903	0	0	0	0	0	0
0.2595297	-0.03070088	-0.01829903	0	0	0	0	0	0
0.2760972	-0.03070088	-0.01829903	0	0	0	0	0	0
0.292662	-0.03070088	-0.01829903	0	0	0	0	0	0
0.3092291	-0.03067459	-0.01831795	0.001586951	-0.001142515	0.04789797	-0.03448383	0	0
0.3262309	-0.03070088	-0.01829903	-0.001546384	0.001113309	-0.09334045	0.06719983	0	0
0.3423642	-0.03070088	-0.01829903	0	0	0.04666917	-0.03359916	0	0
0.3790121	-0.03070088	-0.01829903	0	0	0	0	0	0
0.3957743	-0.03070088	-0.01829903	0	0	0	0	0	0
0.4121436	-0.03070088	-0.01829903	0	0	0	0	0	0
0.4287108	-0.03070088	-0.01829903	0	0	0	0	0	0
0.4453182	-0.03070088	-0.01829903	0	0	0	0	0	0
0.4618438	-0.03070088	-0.01829903	0	0	0	0	0	0
0.478411	-0.03070088	-0.01829903	0	0	0	0	0	0
0.4949769	-0.03070088	-0.01829903	0	0	0	0	0	0
0.5115437	-0.03070088	-0.01829903	0	0	0	0	0	0
0.5281108	-0.03070088	-0.01829903	0	0	0	0	0	0
0.5446771	-0.03067459	-0.01831795	0.001587028	-0.00114257	0.04789806	-0.03448389	0	0
0.5612435	-0.03067459	-0.01831795	0	0	-0.04789918	0.03448469	0	0
0.5778137	-0.03067459	-0.01831795	0	0	0	0	0	0
0.5943773	-0.03067459	-0.01831795	0	0	0	0	0	0
0.6109456	-0.03067459	-0.01831795	0	0	0	0	0	0
0.6275116	-0.03067459	-0.01831795	0	0	0	0	0	0
0.6440775	-0.03067459	-0.01831795	0	0	0	0	0	0
0.6606438	-0.03067459	-0.01831795	0	0	0	0	0	0
0.6774786	-0.03067459	-0.01831795	0	0	0	0	0	0
0.6937789	-0.03067459	-0.01831795	0	0	0	0	0	0
0.7104996	-0.03067459	-0.01831795	0	0	0	0	0	0
0.7269108	-0.03067459	-0.01831795	0	0	0	0	0	0
0.7434779	-0.03067459	-0.01831795	0	0	0	0	0	0
0.7600438	-0.03067459	-0.01831795	0	0	0	0	0	0
0.7766117	-0.03067459	-0.01831795	0	0	0	0	0	0
0.7931769	-0.03067459	-0.01831795	0	0	0	0	0	0
0.8097436	-0.03067459	-0.01831795	0	0	0	0	0	0
0.8263108	-0.03067459	-0.01831795	0	0	0	0	0	0
0.8430914	-0.03067459	-0.01831795	0	0	0	0	0	0
0.8594438	-0.03067459	-0.01831795	0	0	0	0	0	0
0.8760105	-0.03064829	-0.01833688	0.001586988	-0.001142654	0.04820871	-0.03471095	0	0
0.9104139	-0.03064829	-0.01833688	0	0	-0.03113564	0.0224181	0	0
0.9269814	-0.03064829	-0.01833688	0	0	0	0	0	0
0.9435482	-0.03064829	-0.01833688	0	0	0	0	0	0
0.9601749	-0.03064829	-0.01833688	0	0	0	0	0	0
0.9766856	-0.03064829	-0.01833688	0	0	0	0	0	0
0.9932488	-0.03064829	-0.01833688	0	0	0	0	0	0
1.01021	-0.03064829	-0.01833688	0	0	0	0	0	0
1.026382	-0.03064829	-0.01833688	0	0	0	0	0	0
1.042949	-0.03064829	-0.01833688	0	0	0	0	0	0
1.064499	-0.030622	-0.01835581	0.001219981	-0.0008784033	0.03200627	-0.02304496	0	0
1.081261	-0.030622	-0.01835581	0	0	-0.03184304	0.02292744	0	0
1.147333	-0.03059571	-0.01837474	0.0003979159	-0.0002864769	0.004803768	-0.003458441	0	0
1.1639	-0.03059571	-0.01837474	0	0	-0.004815104	0.003466602	0	0
1.180466	-0.03059571	-0.01837474	0	0	0	0	0	0
1.197034	-0.03059571	-0.01837474	0	0	0	0	0	0
1.2136	-0.03059571	-0.01837474	0	0	0	0	0	0
1.230167	-0.03059571	-0.01837474	0	0	0	0	0	0
1.246885	-0.03059571	-0.01837474	0	0	0	0	0	0
1.263387	-0.03059571	-0.01837474	0	0	0	0	0	0
1.279867	-0.03059571	-0.01837474	0	0	0	0	0	0
1.296435	-0.03059571	-0.01837474	0	0	0	0	0	0
1.313424	-0.03059571	-0.01837474	0	0	0	0	0	0
1.329935	-0.03059571	-0.01837474	0	0	0	0	0	0
1.346134	-0.03059571	-0.01837474	0	0	0	0	0	0
