Time	Message
0.01680477	Jogo executando - Esperando jogador ler
0.05345117	Jogo executando - Esperando jogador iniciar
0.4013545	Big Time Step Reading0
0.4013545	Jogo executando - Esperando jogador iniciar
0.484189	Big Time Step Reading0.01660156
0.484189	Jogo executando - Esperando jogador iniciar
0.5007538	Big Time Step Reading0.01660156
0.5007538	Jogo executando - Esperando jogador iniciar
0.5173205	Big Time Step Reading0.03320313
0.5173205	Jogo executando - Esperando jogador iniciar
0.5338861	Big Time Step Reading0.01660156
0.5338861	Jogo executando - Esperando jogador iniciar
0.7683357	Big Time Step Reading0.01660156
0.7683357	Jogo executando - Esperando jogador iniciar
0.7848716	Big Time Step Reading0.01660156
0.7848716	Jogo executando - Esperando jogador iniciar
0.8180051	Big Time Step Reading0
0.8180051	Jogo executando - Esperando jogador iniciar
1.397839	Big Time Step Reading0.08300781
1.397839	Jogo executando - Esperando jogador iniciar
1.414407	Big Time Step Reading0.08300781
1.414407	Jogo executando - Esperando jogador iniciar
1.430974	Big Time Step Reading0
1.430974	Jogo executando - Esperando jogador iniciar
1.800221	Big Time Step Reading0.01660156
1.800221	Jogo executando - Esperando jogador iniciar
2.032232	Big Time Step Reading0.01757813
2.032232	Jogo executando - Esperando jogador escolher
2.048742	Big Time Step Reading0.01660156
2.048742	Jogo executando - Esperando jogador escolher
2.065287	Big Time Step Reading0.01660156
2.065287	Jogo executando - Esperando jogador escolher
2.299919	Big Time Step Reading0.01855469
2.299919	Jogo executando - Esperando jogador escolher
2.399067	Big Time Step Reading0.01660156
2.399067	Jogo executando - Esperando jogador escolher
2.415635	Big Time Step Reading0
2.415635	Jogo executando - Esperando jogador escolher
2.432201	Big Time Step Reading0.01660156
2.432201	Jogo executando - Esperando jogador escolher
2.664175	Big Time Step Reading0.01660156
2.664175	Jogo executando - Esperando jogador escolher
2.879501	Big Time Step Reading0.01757813
2.879501	Jogo executando - Esperando jogador escolher
2.89634	Big Time Step Reading0.01757813
2.89634	Jogo executando - Esperando jogador escolher
2.912853	Big Time Step Reading0.01757813
2.912853	Jogo executando - Esperando jogador escolher
3.180461	Big Time Step Reading0.04980469
3.180461	Jogo executando - Esperando jogador escolher
3.462095	Big Time Step Reading0.01660156
3.462095	Jogo executando - Esperando jogador escolher
3.495229	Big Time Step Reading0.01660156
3.495229	Jogo executando - Esperando jogador escolher
3.511795	Big Time Step Reading0.01660156
3.511795	Jogo executando - Esperando jogador escolher
3.528363	Big Time Step Reading0.01660156
3.528363	Jogo executando - Esperando jogador escolher
3.54493	Big Time Step Reading0.01660156
3.54493	Jogo executando - Esperando jogador escolher
3.644328	Big Time Step Reading0
3.644328	Jogo executando - Esperando jogador escolher
3.879177	Jogo executando - Escolha certa
3.895743	Big Time Step Reading0.01660156
3.895743	Jogo executando - Escolha certa
3.979697	Big Time Step Reading0.01660156
3.979697	Jogo executando - Escolha certa
3.996266	Big Time Step Reading0.01660156
3.996266	Jogo executando - Escolha certa
4.012833	Big Time Step Reading0.01660156
4.012833	Jogo executando - Escolha certa
4.029398	Big Time Step Reading0.01660156
4.029398	Jogo executando - Escolha certa
4.045966	Big Time Step Reading0.06640625
4.045966	Jogo executando - Escolha certa
4.313971	Big Time Step Reading0.01660156
4.313971	Jogo executando - Escolha certa
4.463072	Big Time Step Reading0.01660156
4.463072	Jogo executando - Escolha certa
4.815265	Big Time Step Reading0.01660156
4.815265	Jogo executando - Escolha certa
4.831831	Big Time Step Reading0.01660156
4.831831	Jogo executando - Escolha certa
4.864964	Big Time Step Reading0.03417969
4.864964	Jogo executando - Escolha certa
4.898097	Jogo executando - Turno terminando
4.93123	Big Time Step Reading0.01660156
4.93123	Jogo executando - Turno terminando
5.063868	Big Time Step Reading0
5.063868	Jogo executando - Turno terminando
5.080382	Big Time Step Reading0
5.080382	Jogo executando - Turno terminando
5.096897	Big Time Step Reading0
5.096897	Jogo executando - Turno terminando
5.113463	Big Time Step Reading0.01660156
5.113463	Jogo executando - Turno terminando
5.13003	Big Time Step Reading0.01660156
5.13003	Jogo executando - Turno terminando
5.430709	Big Time Step Reading0.01660156
5.430709	Jogo executando - Turno terminando
5.447274	Big Time Step Reading0.01660156
5.447274	Jogo executando - Turno terminando
5.463856	Big Time Step Reading0.01660156
5.463856	Jogo executando - Turno terminando
5.927707	Big Time Step Reading0.01660156
5.927707	Jogo executando - Turno terminando
6.179362	Big Time Step Reading0.01660156
6.179362	Jogo executando - Turno terminando
6.19593	Big Time Step Reading0.01660156
6.19593	Jogo executando - Turno terminando
6.212496	Big Time Step Reading0.01660156
6.212496	Jogo executando - Turno terminando
6.229063	Big Time Step Reading0.01660156
6.229063	Jogo executando - Turno terminando
6.295329	Jogo executando - Novo turno
6.311895	Jogo executando - Esperando jogador ler
6.337781	Jogo executando - Esperando jogador iniciar
6.718815	Big Time Step Reading0.06640625
6.718815	Jogo executando - Esperando jogador iniciar
6.886987	Big Time Step Reading0
6.886987	Jogo executando - Esperando jogador iniciar
7.152053	Big Time Step Reading0.01660156
7.152053	Jogo executando - Esperando jogador iniciar
7.251454	Big Time Step Reading0
7.251454	Jogo executando - Esperando jogador iniciar
7.268022	Big Time Step Reading0.01660156
7.268022	Jogo executando - Esperando jogador iniciar
7.284588	Big Time Step Reading0
7.284588	Jogo executando - Esperando jogador iniciar
7.483389	Big Time Step Reading0.01660156
7.483389	Jogo executando - Esperando jogador iniciar
7.51652	Big Time Step Reading0.01660156
7.51652	Jogo executando - Esperando jogador iniciar
7.570286	Big Time Step Reading0
7.570286	Jogo executando - Esperando jogador iniciar
7.967919	Big Time Step Reading0.01660156
7.967919	Jogo executando - Esperando jogador iniciar
8.133553	Jogo executando - Esperando jogador escolher
8.434747	Big Time Step Reading0.01660156
8.434747	Jogo executando - Esperando jogador escolher
8.451274	Big Time Step Reading0.01660156
8.451274	Jogo executando - Esperando jogador escolher
8.46779	Big Time Step Reading0.03320313
8.46779	Jogo executando - Esperando jogador escolher
8.550622	Big Time Step Reading0.01660156
8.550622	Jogo executando - Esperando jogador escolher
8.848824	Big Time Step Reading0.01660156
8.848824	Jogo executando - Esperando jogador escolher
8.964788	Big Time Step Reading0
8.964788	Jogo executando - Esperando jogador escolher
9.399122	Big Time Step Reading0.08203125
9.399122	Jogo executando - Esperando jogador escolher
9.415689	Big Time Step Reading0
9.415689	Jogo executando - Esperando jogador escolher
9.481958	Big Time Step Reading0.01660156
9.481958	Jogo executando - Esperando jogador escolher
9.804358	Big Time Step Reading0.01660156
9.804358	Jogo executando - Esperando jogador escolher
9.820925	Big Time Step Reading0
9.820925	Jogo executando - Esperando jogador escolher
9.837491	Big Time Step Reading0.01660156
9.837491	Jogo executando - Esperando jogador escolher
9.903784	Big Time Step Reading0.01660156
9.903784	Jogo executando - Esperando jogador escolher
9.99085	Big Time Step Reading0.03710938
9.99085	Jogo executando - Esperando jogador escolher
10.04051	Jogo executando - Escolha certa
10.15647	Big Time Step Reading0
10.15647	Jogo executando - Escolha certa
10.17304	Big Time Step Reading0
10.17304	Jogo executando - Escolha certa
10.32214	Big Time Step Reading0
10.32214	Jogo executando - Escolha certa
10.43816	Big Time Step Reading0
10.43816	Jogo executando - Escolha certa
10.50437	Big Time Step Reading0.01660156
10.50437	Jogo executando - Escolha certa
10.52094	Big Time Step Reading0.01660156
10.52094	Jogo executando - Escolha certa
10.83821	Big Time Step Reading0
10.83821	Jogo executando - Escolha certa
11.05359	Big Time Step Reading0
11.05359	Jogo executando - Escolha certa
11.07014	Big Time Step Reading0
11.07014	Jogo executando - Turno terminando
11.08671	Big Time Step Reading0
11.08671	Jogo executando - Turno terminando
11.2027	Big Time Step Reading0.01660156
11.2027	Jogo executando - Turno terminando
11.23581	Big Time Step Reading0.01660156
11.23581	Jogo executando - Turno terminando
11.25237	Big Time Step Reading0.01660156
11.25237	Jogo executando - Turno terminando
11.56975	Big Time Step Reading0.01660156
11.56975	Jogo executando - Turno terminando
11.81825	Big Time Step Reading0.01660156
11.81825	Jogo executando - Turno terminando
11.95078	Big Time Step Reading0.01660156
11.95078	Jogo executando - Turno terminando
11.96735	Big Time Step Reading0.01660156
11.96735	Jogo executando - Turno terminando
11.98392	Big Time Step Reading0.01660156
11.98392	Jogo executando - Turno terminando
12.01727	Big Time Step Reading0.01660156
12.01727	Jogo executando - Turno terminando
12.03379	Big Time Step Reading0
12.03379	Jogo executando - Turno terminando
12.08332	Big Time Step Reading0.01660156
12.08332	Jogo executando - Turno terminando
12.48461	Jogo executando - Novo turno
12.50065	Jogo executando - Esperando jogador ler
12.52895	Jogo executando - Esperando jogador iniciar
12.54565	Big Time Step Reading0
12.54565	Jogo executando - Esperando jogador iniciar
12.56216	Big Time Step Reading0.01660156
12.56216	Jogo executando - Esperando jogador iniciar
12.59522	Big Time Step Reading0.01660156
12.59522	Jogo executando - Esperando jogador iniciar
12.82716	Big Time Step Reading0.01660156
12.82716	Jogo executando - Esperando jogador iniciar
12.84372	Big Time Step Reading0.01660156
12.84372	Jogo executando - Esperando jogador iniciar
12.86029	Big Time Step Reading0.01660156
12.86029	Jogo executando - Esperando jogador iniciar
12.93021	Big Time Step Reading0
12.93021	Jogo executando - Esperando jogador iniciar
12.94678	Big Time Step Reading0
12.94678	Jogo executando - Esperando jogador iniciar
12.99648	Big Time Step Reading0
12.99648	Jogo executando - Esperando jogador iniciar
13.11255	Big Time Step Reading0
13.11255	Jogo executando - Esperando jogador iniciar
13.14558	Big Time Step Reading0
13.14558	Jogo executando - Esperando jogador iniciar
13.16214	Big Time Step Reading0
13.16214	Jogo executando - Esperando jogador iniciar
13.19528	Big Time Step Reading0.01660156
13.19528	Jogo executando - Esperando jogador iniciar
13.27817	Big Time Step Reading0
13.27817	Jogo executando - Esperando jogador iniciar
13.42721	Big Time Step Reading0.01660156
13.42721	Jogo executando - Esperando jogador iniciar
13.44378	Big Time Step Reading0.01660156
13.44378	Jogo executando - Esperando jogador iniciar
13.46034	Big Time Step Reading0.01660156
13.46034	Jogo executando - Esperando jogador iniciar
13.56318	Big Time Step Reading0.01953125
13.56318	Jogo executando - Esperando jogador iniciar
13.67915	Big Time Step Reading0.01660156
13.67915	Jogo executando - Esperando jogador iniciar
13.69571	Big Time Step Reading0.01660156
13.69571	Jogo executando - Esperando jogador iniciar
13.95114	Jogo executando - Esperando jogador escolher
14.14978	Big Time Step Reading0.01660156
14.14978	Jogo executando - Esperando jogador escolher
14.16613	Big Time Step Reading0.01660156
14.16613	Jogo executando - Esperando jogador escolher
14.35147	Big Time Step Reading0.03613281
14.35147	Jogo executando - Esperando jogador escolher
14.48401	Big Time Step Reading0
14.48401	Jogo executando - Esperando jogador escolher
14.59997	Big Time Step Reading0.01660156
14.59997	Jogo executando - Esperando jogador escolher
14.63311	Big Time Step Reading0.01660156
14.63311	Jogo executando - Esperando jogador escolher
14.94787	Big Time Step Reading0
14.94787	Jogo executando - Esperando jogador escolher
14.96444	Big Time Step Reading0.01660156
14.96444	Jogo executando - Esperando jogador escolher
15.04727	Big Time Step Reading0
15.04727	Jogo executando - Esperando jogador escolher
15.34828	Big Time Step Reading0.01660156
15.34828	Jogo executando - Esperando jogador escolher
15.36484	Big Time Step Reading0.01660156
15.36484	Jogo executando - Esperando jogador escolher
15.39816	Big Time Step Reading0.01660156
15.39816	Jogo executando - Esperando jogador escolher
15.59678	Big Time Step Reading0.01660156
15.59678	Jogo executando - Esperando jogador escolher
15.81214	Big Time Step Reading0
15.81214	Jogo executando - Esperando jogador escolher
16.06468	Big Time Step Reading0.01660156
16.06468	Jogo executando - Esperando jogador escolher
16.08124	Big Time Step Reading0
16.08124	Jogo executando - Esperando jogador escolher
16.11438	Big Time Step Reading0.01660156
16.11438	Jogo executando - Esperando jogador escolher
16.23034	Big Time Step Reading0.01660156
16.23034	Jogo executando - Esperando jogador escolher
16.32974	Jogo executando - Escolha certa
16.34631	Big Time Step Reading0
16.34631	Jogo executando - Escolha certa
16.39654	Big Time Step Reading0.01660156
16.39654	Jogo executando - Escolha certa
16.41311	Big Time Step Reading0.01660156
16.41311	Jogo executando - Escolha certa
16.4464	Big Time Step Reading0.01660156
16.4464	Jogo executando - Escolha certa
16.49594	Big Time Step Reading0.01660156
16.49594	Jogo executando - Escolha certa
16.53614	Big Time Step Reading0.04101563
16.53614	Jogo executando - Escolha certa
16.5527	Big Time Step Reading0
16.5527	Jogo executando - Escolha certa
16.68524	Big Time Step Reading0.01660156
16.68524	Jogo executando - Escolha certa
16.85091	Big Time Step Reading0
16.85091	Jogo executando - Escolha certa
16.86747	Big Time Step Reading0
16.86747	Jogo executando - Escolha certa
16.88404	Big Time Step Reading0.01660156
16.88404	Jogo executando - Escolha certa
16.91717	Big Time Step Reading0
16.91717	Jogo executando - Escolha certa
16.9503	Big Time Step Reading0
16.9503	Jogo executando - Escolha certa
16.98344	Big Time Step Reading0
16.98344	Jogo executando - Escolha certa
17.11597	Big Time Step Reading0.01660156
17.11597	Jogo executando - Escolha certa
17.33593	Big Time Step Reading0.01660156
17.33593	Jogo executando - Escolha certa
17.3525	Big Time Step Reading0.03320313
17.3525	Jogo executando - Escolha certa
17.40258	Jogo executando - Turno terminando
17.46847	Big Time Step Reading0.01660156
17.46847	Jogo executando - Turno terminando
18.19203	Big Time Step Reading0.01660156
18.19203	Jogo executando - Turno terminando
18.27486	Big Time Step Reading0.01660156
18.27486	Jogo executando - Turno terminando
18.34125	Big Time Step Reading0.01660156
18.34125	Jogo executando - Turno terminando
18.4074	Big Time Step Reading0
18.4074	Jogo executando - Turno terminando
18.42397	Big Time Step Reading0
18.42397	Jogo executando - Turno terminando
18.53993	Big Time Step Reading0.01660156
18.53993	Jogo executando - Turno terminando
18.5565	Big Time Step Reading0
18.5565	Jogo executando - Turno terminando
18.57307	Big Time Step Reading0
18.57307	Jogo executando - Turno terminando
18.85711	Jogo executando - Novo turno
18.87353	Jogo executando - Esperando jogador ler
18.89863	Jogo executando - Esperando jogador iniciar
18.98147	Big Time Step Reading0.01660156
18.98147	Jogo executando - Esperando jogador iniciar
19.01473	Big Time Step Reading0.03320313
19.01473	Jogo executando - Esperando jogador iniciar
19.08087	Big Time Step Reading0
19.08087	Jogo executando - Esperando jogador iniciar
19.114	Big Time Step Reading0.01660156
19.114	Jogo executando - Esperando jogador iniciar
19.39564	Big Time Step Reading0.01660156
19.39564	Jogo executando - Esperando jogador iniciar
19.4122	Big Time Step Reading0.01660156
19.4122	Jogo executando - Esperando jogador iniciar
19.49912	Big Time Step Reading0
19.49912	Jogo executando - Esperando jogador iniciar
19.54882	Big Time Step Reading0
19.54882	Jogo executando - Esperando jogador iniciar
19.79732	Big Time Step Reading0.01660156
19.79732	Jogo executando - Esperando jogador iniciar
19.81389	Big Time Step Reading0.01660156
19.81389	Jogo executando - Esperando jogador iniciar
19.83046	Big Time Step Reading0.01660156
19.83046	Jogo executando - Esperando jogador iniciar
19.84702	Big Time Step Reading0.01660156
19.84702	Jogo executando - Esperando jogador iniciar
19.91329	Big Time Step Reading0.01660156
19.91329	Jogo executando - Esperando jogador iniciar
19.92986	Big Time Step Reading0.01660156
19.92986	Jogo executando - Esperando jogador iniciar
20.04597	Big Time Step Reading0.01757813
20.04597	Jogo executando - Esperando jogador iniciar
20.06248	Big Time Step Reading0
20.06248	Jogo executando - Esperando jogador iniciar
20.28069	Big Time Step Reading0.01660156
20.28069	Jogo executando - Esperando jogador iniciar
20.29726	Big Time Step Reading0.01660156
20.29726	Jogo executando - Esperando jogador iniciar
20.31383	Big Time Step Reading0.01660156
20.31383	Jogo executando - Esperando jogador iniciar
20.39666	Big Time Step Reading0.01660156
20.39666	Jogo executando - Esperando jogador iniciar
20.56233	Jogo executando - Esperando jogador escolher
20.66173	Big Time Step Reading0.01660156
20.66173	Jogo executando - Esperando jogador escolher
20.71143	Big Time Step Reading0
20.71143	Jogo executando - Esperando jogador escolher
20.89607	Big Time Step Reading0.01660156
20.89607	Jogo executando - Esperando jogador escolher
20.91258	Big Time Step Reading0.01660156
20.91258	Jogo executando - Esperando jogador escolher
20.92901	Big Time Step Reading0.01660156
20.92901	Jogo executando - Esperando jogador escolher
21.40945	Big Time Step Reading0
21.40945	Jogo executando - Esperando jogador escolher
21.72704	Big Time Step Reading0.01660156
21.72704	Jogo executando - Esperando jogador escolher
22.02138	Big Time Step Reading0.078125
22.02138	Jogo executando - Esperando jogador escolher
22.03793	Big Time Step Reading0
22.03793	Jogo executando - Esperando jogador escolher
22.31956	Jogo executando - Escolha certa
22.51836	Big Time Step Reading0.01660156
22.51836	Jogo executando - Escolha certa
22.5562	Big Time Step Reading0.01660156
22.5562	Jogo executando - Escolha certa
22.57277	Big Time Step Reading0.01660156
22.57277	Jogo executando - Escolha certa
22.58934	Big Time Step Reading0.01660156
22.58934	Jogo executando - Escolha certa
23.36798	Jogo executando - Turno terminando
23.38454	Big Time Step Reading0.03320313
23.38454	Jogo executando - Turno terminando
23.4098	Big Time Step Reading0.03320313
23.4098	Jogo executando - Turno terminando
23.42637	Big Time Step Reading0.03320313
23.42637	Jogo executando - Turno terminando
23.44338	Big Time Step Reading0.03320313
23.44338	Jogo executando - Turno terminando
23.4595	Big Time Step Reading0.03320313
23.4595	Jogo executando - Turno terminando
23.47641	Big Time Step Reading0.09179688
23.47641	Jogo executando - Turno terminando
23.55897	Big Time Step Reading0.01660156
23.55897	Jogo executando - Turno terminando
23.59204	Big Time Step Reading0.01660156
23.59204	Jogo executando - Turno terminando
23.6086	Big Time Step Reading0
23.6086	Jogo executando - Turno terminando
23.84066	Big Time Step Reading0.01660156
23.84066	Jogo executando - Turno terminando
23.93994	Big Time Step Reading0.01660156
23.93994	Jogo executando - Turno terminando
24.14138	Big Time Step Reading0
24.14138	Jogo executando - Turno terminando
24.15791	Big Time Step Reading0
24.15791	Jogo executando - Turno terminando
24.17448	Big Time Step Reading0.01660156
24.17448	Jogo executando - Turno terminando
24.45611	Big Time Step Reading0
24.45611	Jogo executando - Turno terminando
24.47268	Big Time Step Reading0.01660156
24.47268	Jogo executando - Turno terminando
24.63835	Big Time Step Reading0.01660156
24.63835	Jogo executando - Turno terminando
24.65492	Big Time Step Reading0.01660156
24.65492	Jogo executando - Turno terminando
24.68805	Big Time Step Reading0.01660156
24.68805	Jogo executando - Turno terminando
24.70461	Big Time Step Reading0.01660156
24.70461	Jogo executando - Turno terminando
24.73775	Big Time Step Reading0.01660156
24.73775	Jogo executando - Turno terminando
24.80876	Jogo executando - Novo turno
24.82533	Jogo executando - Esperando jogador ler
24.85148	Jogo executando - Esperando jogador iniciar
25.00058	Big Time Step Reading0
25.00058	Jogo executando - Esperando jogador iniciar
25.01715	Big Time Step Reading0.01660156
25.01715	Jogo executando - Esperando jogador iniciar
25.06685	Big Time Step Reading0.01660156
25.06685	Jogo executando - Esperando jogador iniciar
