Border Calculated	
X min	Y min	X max	Y max	
-0.3127317	-0.3708358	0.2564867	0.2370881	
X center	Y center	X bases	Y bases	
-0.0281225	-0.06687386	0.2846092	0.303962	

0	0.1437649	0.2004219	
1	0.155849	0.2054911	
2	0.08495551	0.2194344	
3	0.1588282	0.2392255	
4	0.2361128	0.261465	
5	0.3100811	0.2832201	
6	0.3187712	0.3022395	
7	0.3347621	0.3169008	
8	0.338552	0.326115	
9	0.3035535	0.3292547	
10	0.3321055	0.326115	
11	0.09813721	0.3169008	
12	0.3336725	0.3022395	
13	0.2562886	0.2832201	
14	0.2439424	0.261465	
15	0.2442652	0.2392255	
16	0.1916508	0.2194344	
17	0.109397	0.2054912	
18	0.07112775	0.2004219	
19	0.06050596	0.2054912	
20	0.04872579	0.2194344	
21	0.04296023	0.2392255	
22	-0.1929483	0.261465	
23	0.2247085	0.2832201	
24	0.3173888	0.3022395	
25	0.3104793	0.3169008	
26	0.2192194	0.3261149	
27	-0.1929483	0.3292547	
28	0.06117016	0.3261149	
29	0.05705943	0.3169008	
30	0.0451666	0.3022395	
31	0.07407372	0.2832201	
32	0.07686116	0.261465	
33	0.0818943	0.2392256	
34	0.09456424	0.2194344	
35	0.1133103	0.2054912	
0	0.2503514	0.2498905	
1	0.2308917	0.2502722	
2	0.1487563	0.2513681	
3	0.09520318	0.2530379	
4	0.07930345	0.2550713	
5	0.07393369	0.2572175	
6	0.0733313	0.2592181	
7	0.2002183	0.2608376	
8	0.2654689	0.2618893	
9	0.2462214	0.2622535	
10	0.2658384	0.2618893	
11	0.07477414	0.2608376	
12	0.06826945	0.2592181	
13	0.06945832	0.2572175	
14	0.05910473	0.2550713	
15	0.2483622	0.2530379	
16	0.2667223	0.2513681	
17	0.1871032	0.2502722	
18	0.1214256	0.2498905	
19	0.02458669	0.2502722	
20	0.0207251	0.2513681	
21	0.03708195	0.2530379	
22	0.04500746	0.2550713	
23	0.2229937	0.2572175	
24	0.2157437	0.2592181	
25	0.2362929	0.2608376	
26	0.2572865	0.2618893	
27	0.262793	0.2622535	
28	0.2142368	0.2618893	
29	0.2292484	0.2608376	
30	0.1677663	0.2592181	
31	0.1591046	0.2572175	
32	0.06371243	0.2550713	
33	0.06132865	0.2530379	
34	0.07011629	0.2513681	
35	0.2055788	0.2502722	
0	0.2653648	0.2846092	
1	0.2049133	0.285212	
2	0.1666366	0.2869405	
3	0.1193913	0.2895687	
4	0.2739295	0.2927604	
5	0.2708243	0.2961192	
6	0.2687829	0.2992411	
7	0.07783394	0.3017622	
8	0.1606196	0.3033965	
9	0.2060965	0.303962	
10	0.2474332	0.3033965	
11	0.3342528	0.3017622	
12	0.3271233	0.2992412	
13	0.2349212	0.2961192	
14	0.1663257	0.2927604	
15	0.1498846	0.2895687	
16	0.3018281	0.2869405	
17	0.1986083	0.285212	
18	0.1420521	0.2846092	
19	0.1045608	0.285212	
20	0.04427461	0.2869405	
21	0.07072858	0.2895687	
22	0.06133369	0.2927604	
23	0.058441	0.2961192	
24	0.06951726	0.2992411	
25	0.1137091	0.3017622	
26	0.2026431	0.3033965	
27	0.2814271	0.303962	
28	0.3101796	0.3033965	
29	0.2530317	0.3017622	
30	0.2393469	0.2992411	
31	0.3296176	0.2961192	
32	0.1313355	0.2927604	
33	0.1146378	0.2895687	
34	0.07748788	0.2869405	
35	0.2866166	0.285212	
