	Guilherme				Gustavo				Henrique Garcia				
0	0.1437649	0.2004219	0.7173113	1.866196	0.2503514	0.2498905	1.001844	1.368821	0.2653648	0.2846092	0.9323832	1.486998	
10	0.155849	0.2054911	0.7584219	1.642935	0.2308917	0.2502722	0.9225623	1.677877	0.2049133	0.285212	0.7184597	1.578075	
20	0.08495551	0.2194344	0.3871567	2.090213	0.1487563	0.2513681	0.5917865	1.863736	0.1666366	0.2869405	0.5807357	1.604454	
30	0.1588282	0.2392255	0.6639265	2.535324	0.09520318	0.2530379	0.3762408	1.427467	0.1193913	0.2895687	0.4123075	2.127268	
40	0.2361128	0.261465	0.903038	2.019434	0.07930345	0.2550713	0.310907	1.609319	0.2739295	0.2927604	0.9356781	1.401983	
50	0.3100811	0.2832201	1.094841	2.75812	0.07393369	0.2572175	0.2874365	1.791172	0.2708243	0.2961192	0.9145784	1.623875	
60	0.3187712	0.3022395	1.054697	2.718362	0.0733313	0.2592181	0.2828942	1.415072	0.2687829	0.2992411	0.8982149	1.828656	
70	0.3347621	0.3169008	1.056363	3.596288	0.2002183	0.2608376	0.7675977	1.56763	0.07783394	0.3017622	0.2579314	2.679946	
80	0.338552	0.326115	1.038137	2.49828	0.2654689	0.2618893	1.013668	1.742052	0.1606196	0.3033965	0.5294051	1.552213	
90	0.3035535	0.3292547	0.9219414	1.978971	0.2462214	0.2622535	0.938868	1.536532	0.2060965	0.303962	0.6780338	1.733137	
100	0.3321055	0.326115	1.01837	2.198063	0.2658384	0.2618893	1.015079	1.682009	0.2474332	0.3033965	0.8155441	1.982461	
110	0.09813721	0.3169008	0.309678	1.924727	0.07477414	0.2608376	0.2866693	1.59436	0.3342528	0.3017622	1.107669	1.96161	
120	0.3336725	0.3022395	1.104	1.728531	0.06826945	0.2592181	0.2633669	1.35658	0.3271233	0.2992412	1.093176	1.994914	
130	0.2562886	0.2832201	0.9049096	2.248946	0.06945832	0.2572175	0.2700374	1.374659	0.2349212	0.2961192	0.7933331	1.708017	
140	0.2439424	0.261465	0.9329832	1.690977	0.05910473	0.2550713	0.2317185	1.367071	0.1663257	0.2927604	0.568129	1.421121	
150	0.2442652	0.2392255	1.021067	2.3452	0.2483622	0.2530379	0.9815217	1.655538	0.1498846	0.2895687	0.5176133	1.343393	
160	0.1916508	0.2194344	0.8733853	3.276194	0.2667223	0.2513681	1.061082	1.61245	0.3018281	0.2869405	1.051884	1.386281	
170	0.109397	0.2054912	0.5323685	1.725672	0.1871032	0.2502722	0.7475988	1.569362	0.1986083	0.285212	0.6963534	1.274962	
180	0.07112775	0.2004219	0.3548901	1.378161	0.1214256	0.2498905	0.4859151	1.480872	0.1420521	0.2846092	0.4991129	1.812207	
190	0.06050596	0.2054912	0.2944456	1.591814	0.02458669	0.2502722	0.09823977	1.42548	0.1045608	0.285212	0.3666073	1.445646	
200	0.04872579	0.2194344	0.2220517	1.577451	0.0207251	0.2513681	0.08244921	1.393313	0.04427461	0.2869405	0.1542989	1.15146	
210	0.04296023	0.2392255	0.1795805	2.012364	0.03708195	0.2530379	0.146547	1.816626	0.07072858	0.2895687	0.2442549	1.535698	
220	-0.1929483	0.261465	-0.7379509	1.995972	0.04500746	0.2550713	0.1764505	1.372701	0.06133369	0.2927604	0.2095013	1.613588	
230	0.2247085	0.2832201	0.7934057	1.951466	0.2229937	0.2572175	0.8669462	1.548041	0.058441	0.2961192	0.1973563	1.899201	
240	0.3173888	0.3022395	1.050123	1.906959	0.2157437	0.2592181	0.8322864	1.737199	0.06951726	0.2992411	0.2323119	1.673372	
250	0.3104793	0.3169008	0.9797364	2.820302	0.2362929	0.2608376	0.9059007	1.092969	0.1137091	0.3017622	0.3768168	2.753896	
260	0.2192194	0.3261149	0.6722152	1.933228	0.2572865	0.2618893	0.9824247	1.748709	0.2026431	0.3033965	0.667915	1.536559	
270	-0.1929483	0.3292547	-0.5860155	1.799372	0.262793	0.2622535	1.002057	1.47715	0.2814271	0.303962	0.925863	1.889526	
280	0.06117016	0.3261149	0.1875724	2.119155	0.2142368	0.2618893	0.8180435	1.024357	0.3101796	0.3033965	1.022357	2.263541	
290	0.05705943	0.3169008	0.1800546	2.179178	0.2292484	0.2608376	0.8788933	1.87797	0.2530317	0.3017622	0.8385135	2.002281	
300	0.0451666	0.3022395	0.1494398	2.623432	0.1677663	0.2592181	0.6472012	1.434217	0.2393469	0.2992411	0.7998462	2.136574	
310	0.07407372	0.2832201	0.2615411	1.646461	0.1591046	0.2572175	0.6185605	1.43793	0.3296176	0.2961192	1.113124	1.983623	
320	0.07686116	0.261465	0.2939635	1.866748	0.06371243	0.2550713	0.2497829	1.253954	0.1313355	0.2927604	0.4486107	2.017216	
330	0.0818943	0.2392256	0.3423309	1.737593	0.06132865	0.2530379	0.2423694	1.418052	0.1146378	0.2895687	0.3958917	1.415845	
340	0.09456424	0.2194344	0.4309453	2.014874	0.07011629	0.2513681	0.2789387	1.45822	0.07748788	0.2869405	0.2700486	1.503675	
350	0.1133103	0.2054912	0.5514121	1.529858	0.2055788	0.2502722	0.8214206	1.498389	0.2866166	0.285212	1.004925	1.50133	
