	Guilherme				Gustavo				Henrique Garcia				
0	0.1437649	0.2004219	0.7173113	1	0.2503514	0.2498905	1.001844	0	0.2653648	0.2846092	0.9323832	0	
10	0.155849	0.2054911	0.7584219	0	0.2308917	0.2502722	0.9225623	0	0.2049133	0.285212	0.7184597	0	
20	0.08495551	0.2194344	0.3871567	0	0.1487563	0.2513681	0.5917865	0	0.1666366	0.2869405	0.5807357	0	
30	0.1588282	0.2392255	0.6639265	0	0.09520318	0.2530379	0.3762408	0	0.1193913	0.2895687	0.4123075	0	
40	0.2361128	0.261465	0.903038	0	0.07930345	0.2550713	0.310907	0	0.2739295	0.2927604	0.9356781	0	
50	0.3100811	0.2832201	1.094841	0	0.07393369	0.2572175	0.2874365	0	0.2708243	0.2961192	0.9145784	0	
60	0.3187712	0.3022395	1.054697	0	0.0733313	0.2592181	0.2828942	0	0.2687829	0.2992411	0.8982149	0	
70	0.3347621	0.3169008	1.056363	0	0.2002183	0.2608376	0.7675977	0	0.07783394	0.3017622	0.2579314	0	
80	0.338552	0.326115	1.038137	0	0.2654689	0.2618893	1.013668	0	0.1606196	0.3033965	0.5294051	0	
90	0.3035535	0.3292547	0.9219414	0	0.2462214	0.2622535	0.938868	0	0.2060965	0.303962	0.6780338	0	
100	0.3321055	0.326115	1.01837	0	0.2658384	0.2618893	1.015079	0	0.2474332	0.3033965	0.8155441	0	
110	0.09813721	0.3169008	0.309678	0	0.07477414	0.2608376	0.2866693	0	0.3342528	0.3017622	1.107669	0	
120	0.3336725	0.3022395	1.104	0	0.06826945	0.2592181	0.2633669	0	0.3271233	0.2992412	1.093176	0	
130	0.2562886	0.2832201	0.9049096	0	0.06945832	0.2572175	0.2700374	0	0.2349212	0.2961192	0.7933331	0	
140	0.2439424	0.261465	0.9329832	0	0.05910473	0.2550713	0.2317185	0	0.1663257	0.2927604	0.568129	0	
150	0.2442652	0.2392255	1.021067	0	0.2483622	0.2530379	0.9815217	0	0.1498846	0.2895687	0.5176133	0	
160	0.1916508	0.2194344	0.8733853	0	0.2667223	0.2513681	1.061082	0	0.3018281	0.2869405	1.051884	0	
170	0.109397	0.2054912	0.5323685	0	0.1871032	0.2502722	0.7475988	0	0.1986083	0.285212	0.6963534	0	
180	0.07112775	0.2004219	0.3548901	0	0.1214256	0.2498905	0.4859151	0	0.1420521	0.2846092	0.4991129	0	
190	0.06050596	0.2054912	0.2944456	0	0.02458669	0.2502722	0.09823977	0	0.1045608	0.285212	0.3666073	0	
200	0.04872579	0.2194344	0.2220517	0	0.0207251	0.2513681	0.08244921	0	0.04427461	0.2869405	0.1542989	1	
210	0.04296023	0.2392255	0.1795805	0	0.03708195	0.2530379	0.146547	0	0.07072858	0.2895687	0.2442549	0	
220	-0.1929483	0.261465	-0.7379509	0	0.04500746	0.2550713	0.1764505	0	0.06133369	0.2927604	0.2095013	0	
230	0.2247085	0.2832201	0.7934057	0	0.2229937	0.2572175	0.8669462	0	0.058441	0.2961192	0.1973563	0	
240	0.3173888	0.3022395	1.050123	0	0.2157437	0.2592181	0.8322864	0	0.06951726	0.2992411	0.2323119	0	
250	0.3104793	0.3169008	0.9797364	0	0.2362929	0.2608376	0.9059007	0	0.1137091	0.3017622	0.3768168	0	
260	0.2192194	0.3261149	0.6722152	0	0.2572865	0.2618893	0.9824247	0	0.2026431	0.3033965	0.667915	0	
270	-0.1929483	0.3292547	-0.5860155	0	0.262793	0.2622535	1.002057	0	0.2814271	0.303962	0.925863	0	
280	0.06117016	0.3261149	0.1875724	0	0.2142368	0.2618893	0.8180435	0	0.3101796	0.3033965	1.022357	0	
290	0.05705943	0.3169008	0.1800546	0	0.2292484	0.2608376	0.8788933	0	0.2530317	0.3017622	0.8385135	0	
300	0.0451666	0.3022395	0.1494398	0	0.1677663	0.2592181	0.6472012	0	0.2393469	0.2992411	0.7998462	0	
310	0.07407372	0.2832201	0.2615411	0	0.1591046	0.2572175	0.6185605	0	0.3296176	0.2961192	1.113124	0	
320	0.07686116	0.261465	0.2939635	0	0.06371243	0.2550713	0.2497829	0	0.1313355	0.2927604	0.4486107	0	
330	0.0818943	0.2392256	0.3423309	0	0.06132865	0.2530379	0.2423694	0	0.1146378	0.2895687	0.3958917	0	
340	0.09456424	0.2194344	0.4309453	0	0.07011629	0.2513681	0.2789387	0	0.07748788	0.2869405	0.2700486	0	
350	0.1133103	0.2054912	0.5514121	0	0.2055788	0.2502722	0.8214206	0	0.2866166	0.285212	1.004925	0	
